,https://roic.ai/company/PBH,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,709000,12568000,17349000,34840000,68400000,73334000,70805000,77093000,81206000,75983000,94733000,124561000,155332000,151435000,198664000,206896000,242853000,360639000,259896000,261068000,250070000
11,COGS and Expenses,3784000,31303000,44366000,71117000,209748000,212764000,223952000,235189000,230651000,220570000,260365000,338262000,431713000,413265000,507064000,545932000,624627000,825313000,680097000,671855000,645963000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,143000,1000,1000,18000,13000,60000,92000,162000,203000,388000,217000,342000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,28579000,22936000,27318000,41338000,84420000,68642000,81326000,85322000,93546000,106267000,105299000,96566000,82328000
14,Depreciation and Amortization,- -,3992000,5274000,5429000,12743000,13426000,13641000,14021000,11219000,11450000,10108000,10734000,13235000,13486000,17740000,23676000,25792000,33426000,31779000,28995000,30164000
15,EBITDA,2528000,4537000,-9622000,12350000,34724000,60984000,68817000,68229000,-156164000,88350000,85995000,113229000,203689000,183876000,226524000,266183000,230188000,246779000,99023000,316712000,316605000
16,EBITDA ratio,0.2921,0.0981,-0.1341,0.1405,0.1145,0.2056,0.2160,0.2089,-0.4994,0.2925,0.2555,0.2567,0.3266,0.3055,0.3170,0.3302,0.2610,0.2370,0.1015,0.3289,0.3356
17,Operating Income,4871000,14950000,27368000,16803000,93570000,83904000,94682000,91414000,-167526000,78702000,76145000,102823000,191884000,188616000,207559000,260315000,205613000,215866000,67503000,291155000,297402000
18,Operating Income ratio,0.5628,0.3232,0.3815,0.1911,0.3085,0.2828,0.2971,0.2799,-0.5357,0.2606,0.2263,0.2331,0.3077,0.3134,0.2904,0.3229,0.2331,0.2073,0.0692,0.3023,0.3153
19,Total Other Income Expenses (Gains),-2480000,-13971000,-21548000,-9882000,-71589000,-36346000,-39506000,-37206000,-28436000,-25591000,-27617000,-41666000,-85850000,-86868000,-80101000,-103130000,-94763000,-108780000,-105558000,-100004000,-93289000
