,https://roic.ai/company/JEF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226080000,189496000,24000000,42443000,72283000,86377000,104730000,95233000,170113000,138964000,139744000,172073000,166789000,164039000,105156000,129766000,142394000,151169000
15,EBITDA,34100000,56600000,-14800000,31900000,76600000,61200000,95100000,143600000,306100000,100300000,132200000,71700000,651500000,29200000,259500000,188764000,-24156000,16758000,52853000,351388000,694455000,255170000,-33034000,-643996000,772603000,1029533000,502594000,1401073000,622342000,514083000,565670000,418899000,1096732000,514567000,610507000,1216306000,2402250000
16,EBITDA ratio,0.1158,0.1764,-0.0402,0.0354,0.1145,0.0907,0.0875,0.0913,0.2174,0.0725,0.0848,0.0476,1.0124,0.0550,0.3673,0.2638,-0.0644,0.0565,0.0835,0.1836,1.0175,0.5660,-0.0376,-0.5959,0.6904,0.7799,0.3200,0.1785,0.0597,0.0448,0.0520,0.0416,0.0959,0.1616,0.1568,0.1749,0.2657
17,Operating Income,68200000,32800000,18300000,93700000,91200000,126100000,146900000,182000000,216200000,145500000,185000000,132600000,21200000,74500000,294100000,251015000,108873000,46734000,86468000,-195737000,-152117000,-198607000,-222657000,-221097000,-122170000,493812000,792865000,-305280000,353002000,242695000,246255000,161832000,1088715000,483479000,275613000,1142566000,2348524000
18,Operating Income ratio,0.2315,0.1022,0.0497,0.1041,0.1364,0.1868,0.1352,0.1157,0.1536,0.1051,0.1187,0.0880,0.0329,0.1404,0.4162,0.3508,0.2901,0.1576,0.1365,-0.1022,-0.2229,-0.4405,-0.2537,-0.2046,-0.1092,0.3741,0.5048,-0.0389,0.0338,0.0211,0.0226,0.0161,0.0952,0.1519,0.0708,0.1643,0.2598
19,Total Other Income Expenses (Gains),-35000000,-29800000,-31200000,-61800000,-56200000,-47200000,-52300000,-38400000,-39300000,-45200000,-52800000,-54100000,-54100000,-53400000,-56200000,-63234000,-60721000,-39068000,-46311000,327501000,290280000,370147000,165569000,-145471000,-128803000,-124809000,-111877000,1271800000,119041000,138527000,110281000,154598000,-74901000,-73812000,202995000,-75483000,-94419000
20,Income Before Tax,33200000,3000000,-12900000,31900000,35000000,78900000,94600000,143600000,176900000,100300000,132200000,78500000,-32900000,21100000,237900000,187781000,48152000,7666000,40157000,131764000,138163000,171540000,-57088000,-366568000,-250973000,369003000,680988000,966520000,472043000,381222000,356536000,316430000,1013814000,409667000,478608000,1067083000,2254105000
21,Income Before Tax Ratio,0.1127,0.0094,-0.0350,0.0354,0.0523,0.1169,0.0871,0.0913,0.1256,0.0725,0.0848,0.0521,-0.0511,0.0398,0.3367,0.2625,0.1283,0.0259,0.0634,0.0688,0.2024,0.3805,-0.0650,-0.3392,-0.2243,0.2795,0.4335,0.1231,0.0453,0.0332,0.0328,0.0314,0.0886,0.1287,0.1229,0.1534,0.2494
22,Income Tax expense (Gain),11000000,-8100000,3300000,8200000,12300000,13900000,200000,13000000,60600000,29500000,24700000,23000000,-10300000,-25100000,44500000,72756000,-16648000,-144865000,-44201000,-20192000,-1131082000,41771000,-559771000,1673675000,7143000,-1139318000,270253000,376494000,110741000,165971000,109947000,122109000,760967000,250650000,-483955000,298673000,576729000
23,Net Income,23100000,64700000,-18100000,23700000,64300000,47300000,94900000,130600000,245500000,70800000,107500000,48700000,661800000,54300000,215000000,116008000,-7508000,161623000,97054000,145500000,1636041000,189399000,484294000,-2535425000,550280000,1939312000,25231000,854466000,372637000,208368000,283650000,130001000,171726000,158761000,964696000,775239000,1674352000
24,Net Income ratio,0.0784,0.2017,-0.0492,0.0263,0.0961,0.0701,0.0873,0.0830,0.1744,0.0511,0.0690,0.0323,1.0284,0.1024,0.3043,0.1621,-0.0200,0.5451,0.1532,0.0760,2.3972,0.4201,0.5517,-2.3462,0.4918,1.4692,0.0161,0.1088,0.0357,0.0181,0.0261,0.0129,0.0150,0.0499,0.2478,0.1115,0.1852
25,EPS,0.12,0.38,-0.11,0.15,0.40,0.32,0.67,0.89,1.47,0.41,0.60,0.27,3.55,0.29,1.21,0.70,-0.05,0.97,0.53,0.68,7.59,0.88,2.22,-11.00,2.28,7.97,0.10,3.49,1.07,0.54,0.74,0.34,0.45,0.52,3.07,2.68,3.07
26,EPS Diluted,0.11,0.37,-0.11,0.15,0.39,0.32,0.66,0.89,1.40,0.40,0.59,0.27,3.55,0.29,1.21,0.70,-0.05,0.96,0.52,0.67,7.13,0.85,2.10,-11.00,2.25,7.85,0.10,3.44,1.06,0.54,0.74,0.34,0.45,0.52,3.03,2.65,2.97
27,Weighted Average Shares Outstanding,178196616,171684069,159626069,157921039,159341817,146215552,142278861,146668239,167302712,174814815,178176796,182625000,186597744,189418605,178176796,166518660,160885714,167196207,184279747,213970588,215552174,215226136,218150450,230494000,241437000,243379000,244425000,244583000,339673000,371889000,372430000,371211000,368197000,307515472,310694000,285693000,263087000
28,Weighted Average Shares Outstanding Diluted,183437693,173216963,159626069,161510154,163392880,146215552,142993830,146668239,175687812,176265560,182203390,182625000,186597744,189418605,178176796,166518660,160885714,168357292,185453503,217164179,229297968,222822353,230616190,230494000,247849000,247672000,244573000,248914000,347734000,373333000,372431000,371518000,370701000,307515472,317032000,290490000,271405000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084580/000095014801000473/0000950148-01-000473-index.html,https://www.sec.gov/Archives/edgar/data/1084580/000095014802000462/0000950148-02-000462-index.html,https://www.sec.gov/Archives/edgar/data/1084580/000095014803000639/0000950148-03-000639-index.html,https://www.sec.gov/Archives/edgar/data/1084580/000095012304002644/0000950123-04-002644-index.html,https://www.sec.gov/Archives/edgar/data/1084580/000095012905003057/0000950129-05-003057-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96223/000009622309000010/0000096223-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/96223/000009622310000004/0000096223-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622311000005/0000096223-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622312000009/0000096223-12-000009-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622313000013/0000096223-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622314000006/0000096223-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622315000006/0000096223-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622316000049/0000096223-16-000049-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622317000009/0000096223-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622318000009/0000096223-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622319000017/0000096223-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622320000008/0000096223-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622321000009/0000096223-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622322000006/0000096223-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,296000000,552000000,377000000,419000000,214000000,124773000,386957000,287199000,456970000,237503000,154128000,441340000,168490000,145960000,3907595000,4276775000,3638648000,3807558000,5275480000,5258809000,7678821000,9055148000,10755133000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,597442000,1323562000,903973000,983199000,366464000,84707000,264572000,150135000,1672602000,19565685000,21221259000,18500445000,15286286000,16229291000,- -,16895741000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,296000000,552000000,377000000,419000000,214000000,722215000,1710519000,1191172000,1440169000,603967000,238835000,705912000,318625000,1818562000,23473280000,25498034000,22139093000,19093844000,21504771000,5258809000,24574562000,9055148000,10755133000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18683000,377216000,69822000,133765000,138363000,207090000,150328000,369123000,259031000,3227941000,3934825000,3830967000,4425178000,5419015000,6287401000,5744106000,6608767000,9585030000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58280000,354578000,383492000,364326000,422903000,288073000,309935000,- -,246687000,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24295000,140880000,105215000,146199000,124308000,105549000,71070000,211153000,60181000,3616602000,3444674000,751084000,985420000,578014000,-11259048000,796797000,604321000,1015107000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,765193000,2228615000,1366209000,1720133000,866638000,551474000,985590000,1253479000,2521266000,30682149000,33300436000,27009217000,24814377000,27501800000,533849000,31115465000,16268236000,21355270000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237021000,234216000,512804000,534640000,715248000,587371000,1053689000,857360000,885859000,726376000,721875000,709242000,750403000,351000000,- -,897204000,911230000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8151000,9316000,9316000,8151000,18119000,24195000,1748099000,1742389000,1736341000,1715714000,1722150000,14991000,1739980000,1746314000,1745098000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85083000,59437000,71355000,75532000,65707000,34485000,858470000,829831000,1020529000,978374000,912021000,797964000,741030000,188291000,182954000,167153000,152402000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85083000,59437000,79506000,84848000,75023000,42636000,876589000,854026000,2768628000,2720763000,2648362000,2513678000,2463180000,188291000,1922934000,1913467000,1897500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1353000000,2239000000,4139000000,3034586000,4893123000,6106822000,4218670000,3632618000,10433455000,12779417000,13190971000,14246466000,14048137000,30614444000,13586697000,31850188000,33887863000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1094017000,978415000,1113925000,40235000,- -,1175558000,1440605000,1196543000,1809943000,1712535000,1575368000,1461815000,743811000,- -,462468000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3070200000,3143637000,2577239000,2541778000,4397164000,2574253000,263148000,426547000,561254000,637546000,527496000,452321000,420157000,287305000,1286747000,1384381000,1194019000,1325729000,1661777000,9308665000,2372670000,2189257000,2352247000
