,https://roic.ai/company/JEF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,14600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-251865000,2006084000,-714663000,220627000,-956461000,-377229000,311257000,138597000,864440000,13826315000,-1199749000,-1116306000,-4224839000,2916746000,-38702500000,39115048000,-15056322000,-353710000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23358000,225000,-349767000,58233000,340690000,-732344000,-38056000,524656000,-962620000,-1102638000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30069000,- -,- -,- -,- -,- -,14615000,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28839000,-162377000,965069000,261130000,930541000,-652401000,-1851000,-49027000,1878055000,3020994000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-251865000,1754219000,1039556000,1260183000,303722000,-73507000,237750000,376347000,1240787000,15067102000,13867353000,12751047000,8526208000,11442954000,-27259546000,11855502000,-3200820000,34237000
82,Other Non-Cash Items,- -,- -,- -,- -,-8200000,7900000,-21100000,-143500000,-770500000,28300000,7500000,-48400000,-804600000,-178200000,-163500000,-305569000,48102000,-78198000,-97707000,-171513000,-2375411000,492796000,-197869000,1744169000,-423570000,-761876000,-295665000,-1691459000,-11411787000,2384074000,1079987000,5087776000,166305000,38845031000,-40438347000,16109932000,-73843000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,70700000,55200000,73800000,-12900000,-489700000,119500000,137300000,14400000,-149800000,-116300000,92200000,-146431000,-23493000,55377000,-24500000,-53402000,321110000,91522000,-18369000,8812000,-133424000,431266000,9084000,696993000,3083485000,1769160000,627507000,1311955000,4179255000,691103000,-717181000,2075948000,1573018000
84,CAPEX,- -,- -,- -,- -,-30500000,-27000000,-27900000,-27400000,-19400000,-122100000,-54700000,-25500000,-57200000,-79300000,-127900000,-93233000,-53337000,- -,-152590000,- -,-162313000,-110526000,-135093000,-184148000,-33661000,-52517000,-46618000,3039000,-4599000,30103000,-295894000,-318678000,-193473000,-960000,-232229000,-176958000,-165605000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37854000,114524000,- -,-170516000,-105282000,-90269000,-792048000,-179670000,169528000,-1719665000,-61196000,3017958000,-269458000,-16512000,-9999000,441743000,100000000,890789000,179654000,- -
86,Purchases of Investments,- -,- -,- -,- -,-1444900000,-1068800000,-3029500000,-2650500000,-1582900000,-1251600000,-1893400000,-2252700000,-1849400000,-2897200000,-1811000000,-1043416000,-1309854000,-1143361000,-1655294000,-2315528000,-3385117000,-4382603000,-6813932000,-4409391000,-2235140000,-1779821000,-3532925000,-2689715000,-3789166000,-1821635000,-873831000,-739298000,-1146595000,-1130854000,-2995000,-906000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1293800000,861900000,3006300000,3090200000,1792600000,1314100000,1727700000,2352600000,1174500000,2978500000,2543100000,1267814000,1219305000,1205736000,1238900000,2004104000,3241865000,4087569000,5974676000,4937981000,2458901000,1246756000,4733721000,1873213000,4206763000,3069776000,2311285000,645753000,787523000,- -,1444279000,22986000,3274000
88,Other Investing Activites,- -,- -,- -,- -,167700000,-69900000,110200000,78500000,-132200000,-101900000,-31200000,49900000,1257100000,12400000,161600000,230138000,99721000,-81041000,238667000,3125000,39578000,204438000,103014000,-63507000,51446000,199163000,382158000,750455000,-2376945000,-2910478000,-1738987000,-920543000,-3042883000,1174257000,-503405000,-210968000,-238262000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-13900000,-303800000,59100000,490800000,58100000,-161500000,-251600000,124300000,525000000,14400000,765800000,361303000,-44165000,-56520000,-215793000,-308299000,-436503000,-306404000,-961604000,-403031000,71971000,-208718000,-175297000,-198568000,921480000,-2530454000,-613939000,-1342765000,-3153685000,142443000,1596439000,-186192000,-400593000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15862000,-42966000,-94999000,-144558000,-572924000,-1894301000,-434278000,-1316494000,-1009051000,-1405506000,-2678323000,-1055095000,-3084531000,-3202314000
91,Common Stock Issued,- -,- -,- -,- -,-10200000,- -,14800000,- -,- -,- -,43900000,- -,- -,- -,- -,- -,- -,150042000,1293000,22006000,3689000,4294000,253441000,106324000,958000,11277000,6971000,- -,5557000,2190000,1223000,1062000,1501000,3611000,1112000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1700000,-37400000,-1400000,-17600000,-2500000,-500000,-700000,-800000,-1500000,-59300000,-125500000,-32094000,-45000,-115000,-61000,- -,-167000,-187000,-163000,-122000,- -,- -,- -,- -,-40024000,-75728000,-125754000,-95020000,-100477000,-1127243000,-509914000,-816871000,-269400000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-5600000,-7000000,-7000000,-15000000,-15100000,-16000000,-8400000,-811900000,-13824000,-13829000,-13841000,-17706000,-26901000,-27008000,-54085000,-55644000,- -,- -,-60952000,-61146000,-61146000,-91335000,-93071000,-92550000,-91296000,-117407000,-151758000,-149647000,-160940000,-222798000
94,Other Financing Activites,- -,- -,- -,- -,-34200000,198600000,70500000,-241600000,61900000,10500000,99700000,-2200000,65500000,48000000,-72400000,96159000,-68989000,-89471000,51662000,437412000,-419172000,44766000,947826000,84478000,20060000,209338000,92096000,-17638000,1749596000,1518669000,881592000,1425211000,2056690000,3377870000,3303122000,3338817000,4688806000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-46100000,161200000,83900000,-264800000,52400000,3000000,127900000,-18100000,48000000,-19700000,-1009800000,50241000,-82863000,46615000,35188000,432517000,-442658000,-5212000,1145460000,174818000,-21948000,64664000,-106637000,-651708000,-270507000,917782000,-651983000,230906000,434801000,-575843000,1589578000,-723525000,994294000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11800000,-9013000,-2749000,-94000,895000,- -,-1034000,108000,39000,-66000,26000,- -,- -,- -,6180000,-10525000,-5554000,-25980000,10687000,-19546000,-1063000,18306000,-3387000
97,Net Change In Cash,- -,- -,- -,- -,-46100000,161200000,83900000,-264800000,52400000,-38900000,127900000,120600000,48000000,-19700000,-163600000,256100000,-153270000,45378000,-204210000,70816000,-99991000,-99758000,169771000,-219467000,-83375000,287212000,-272850000,-22530000,3761635000,369180000,-638127000,168910000,1467922000,238157000,2467773000,1184537000,2163332000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,252500000,- -,386800000,- -,- -,296100000,552158000,376542000,418600000,214390000,124773000,386957000,287199000,456970000,237503000,154128000,441340000,168490000,145960000,3907595000,4276775000,3638648000,3807558000,5275480000,5513637000,8480435000,9664972000,11828304000
99,Cash at the Beginning of Period,- -,- -,- -,- -,317600000,328200000,240800000,457600000,670600000,291400000,252500000,266200000,184000000,581200000,459700000,296058000,529812000,373222000,418600000,53957000,486948000,386957000,287199000,456970000,237503000,154128000,441340000,168490000,145960000,3907595000,4276775000,3638648000,3807558000,5275480000,6012662000,8480435000,9664972000
100,Free Cash Flow,- -,- -,- -,- -,40200000,28200000,45900000,-40300000,-509100000,-2600000,82600000,-11100000,-207000000,-195600000,-35700000,-239664000,-76830000,55377000,-177090000,-53402000,158797000,-19004000,-153462000,-175336000,-167085000,378749000,-37534000,625668000,2946355000,1170501000,331613000,993277000,3985782000,365437000,-949410000,1898990000,1407413000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084580/000095014801000473/0000950148-01-000473-index.html,https://www.sec.gov/Archives/edgar/data/1084580/000095014802000462/0000950148-02-000462-index.html,https://www.sec.gov/Archives/edgar/data/1084580/000095014803000639/0000950148-03-000639-index.html,https://www.sec.gov/Archives/edgar/data/1084580/000095012304002644/0000950123-04-002644-index.html,https://www.sec.gov/Archives/edgar/data/1084580/000095012905003057/0000950129-05-003057-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96223/000009622309000010/0000096223-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/96223/000009622310000004/0000096223-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622311000005/0000096223-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622312000009/0000096223-12-000009-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622313000013/0000096223-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622314000006/0000096223-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622315000006/0000096223-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622316000049/0000096223-16-000049-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622317000009/0000096223-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622318000009/0000096223-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622319000017/0000096223-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622320000008/0000096223-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622321000009/0000096223-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622322000006/0000096223-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
