,https://roic.ai/company/PCG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1004980/000092962400000321/0000929624-00-000321-index.html,- -,https://www.sec.gov/Archives/edgar/data/1004980/000095010902001149/0000950109-02-001149-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000104746903007123/0001047469-03-007123-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000095014904000430/0000950149-04-000430-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000104746905004204/0001047469-05-004204-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498006000066/form10k.htm,https://www.sec.gov/Archives/edgar/data/1004980/000100498007000057/form10k.htm,https://www.sec.gov/Archives/edgar/data/1004980/000100498008000054/form10k2007.htm,https://www.sec.gov/Archives/edgar/data/75488/000100498009000010/0001004980-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/75488/000100498010000016/0001004980-10-000016-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000119312511038959/d10k.htm,https://www.sec.gov/Archives/edgar/data/1004980/000119312512065537/0001193125-12-065537-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498013000013/0001004980-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498014000023/form10k.htm,https://www.sec.gov/Archives/edgar/data/1004980/000100498015000010/form10k.htm,https://www.sec.gov/Archives/edgar/data/1004980/000100498016000065/0001004980-16-000065-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498017000006/0001004980-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498018000003/0001004980-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498019000004/0001004980-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498020000009/0001004980-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498021000007/0001004980-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1004980/000100498022000009/0001004980-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237000000,286000000,281000000,899000000,5421000000,3895000000,3658000000,972000000,713000000,456000000,345000000,219000000,527000000,291000000,513000000,401000000,296000000,151000000,123000000,177000000,449000000,1668000000,1570000000,484000000,165000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237000000,286000000,281000000,899000000,5421000000,3895000000,3658000000,972000000,713000000,456000000,345000000,219000000,527000000,291000000,513000000,401000000,296000000,151000000,123000000,177000000,449000000,1668000000,1570000000,484000000,165000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3002000000,2363000000,2018000000,4564000000,3091000000,2845000000,2687000000,3106000000,3149000000,2950000000,3120000000,3753000000,3516000000,2434000000,2777000000,3210000000,3867000000,4577000000,4162000000,4811000000,4272000000,6292000000,6987000000,6139000000,8483000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,626000000,835000000,598000000,392000000,462000000,347000000,292000000,304000000,364000000,330000000,371000000,423000000,314000000,357000000,420000000,444000000,454000000,476000000,439000000,463000000,481000000,554000000,647000000,628000000,596000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1160000000,1471000000,927000000,5320000000,799000000,2393000000,511000000,2026000000,1754000000,2131000000,1675000000,2008000000,1300000000,2460000000,2770000000,1066000000,1360000000,1185000000,1098000000,713000000,1079000000,681000000,961000000,2351000000,1842000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5025000000,4955000000,3824000000,11175000000,9773000000,9480000000,7148000000,6408000000,5980000000,5867000000,5511000000,6403000000,5657000000,5542000000,6480000000,5121000000,5977000000,6389000000,5822000000,6164000000,6281000000,9195000000,10165000000,9602000000,11086000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20472000000,17818000000,16776000000,16591000000,19167000000,16928000000,18107000000,18989000000,19955000000,21785000000,23656000000,26261000000,28892000000,31449000000,33655000000,37523000000,41252000000,43941000000,46723000000,50581000000,53789000000,58557000000,63921000000,67877000000,71060000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5235000000,2919000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1718000000,1899000000,2009000000,2041000000,2161000000,2342000000,2421000000,2470000000,2606000000,2863000000,2730000000,3173000000,3538000000,3798000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5060000000,10461000000,9115000000,7525000000,6922000000,2053000000,2001000000,9143000000,8139000000,7151000000,7481000000,6478000000,6497000000,7025000000,7574000000,7644000000,6034000000,7376000000,8324000000,9247000000,5079000000,6513000000,7937000000,16839000000,17233000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25532000000,28279000000,25891000000,24116000000,26089000000,24216000000,23027000000,28132000000,28094000000,28936000000,31137000000,34457000000,37288000000,40483000000,43270000000,47328000000,49628000000,53738000000,57517000000,62434000000,61731000000,67800000000,75031000000,88254000000,92091000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30557000000,33234000000,29715000000,35291000000,35862000000,33696000000,30175000000,34540000000,34074000000,34803000000,36648000000,40860000000,42945000000,46025000000,49750000000,52449000000,55605000000,60127000000,63339000000,68598000000,68012000000,76995000000,85196000000,97856000000,103177000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2132000000,1904000000,2131000000,6511000000,2047000000,2293000000,1245000000,3625000000,3994000000,4234000000,3763000000,3749000000,2387000000,2509000000,2644000000,1241000000,1293000000,1244000000,1414000000,1495000000,1646000000,1975000000,1954000000,2402000000,2853000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,887000000,2272000000,2381000000,7211000000,1001000000,4818000000,600000000,1348000000,868000000,1670000000,873000000,1257000000,1561000000,2066000000,2120000000,892000000,2063000000,633000000,1179000000,2216000000,1376000000,21995000000,1500000000,4108000000,7106000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,965000000,2579000000,1819000000,3562000000,1818000000,2158000000,1293000000,1945000000,2070000000,2346000000,2087000000,2620000000,2865000000,2610000000,2985000000,4123000000,4137000000,4043000000,3770000000,3853000000,4107000000,17725000000,4177000000,7071000000,7351000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3984000000,6755000000,6331000000,17284000000,4866000000,9269000000,3138000000,6918000000,6932000000,8250000000,6723000000,7626000000,6813000000,7185000000,7749000000,6256000000,7493000000,5920000000,6363000000,7564000000,7129000000,41695000000,7631000000,13581000000,17310000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7659000000,7422000000,6673000000,6476000000,14398000000,11110000000,4184000000,7903000000,9542000000,8633000000,9753000000,10534000000,11208000000,11329000000,11766000000,12517000000,12717000000,15050000000,16030000000,16220000000,17753000000,- -,- -,38496000000,34442000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4368000000,4144000000,3378000000,1848000000,1819000000,1583000000,983000000,3652000000,3092000000,2946000000,3152000000,3526000000,4732000000,5547000000,6008000000,6748000000,7823000000,8513000000,9206000000,10213000000,5822000000,3281000000,320000000,1398000000,3409000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4810000000,6847000000,6447000000,6511000000,10457000000,8121000000,17655000000,7434000000,7290000000,7163000000,8467000000,9797000000,9607000000,10430000000,11874000000,13602000000,12978000000,14644000000,14912000000,16409000000,17836000000,19116000000,71857000000,23128000000,22406000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16837000000,18413000000,16498000000,14835000000,26674000000,20814000000,22822000000,18989000000,19924000000,18742000000,21372000000,23857000000,25547000000,27306000000,29648000000,32867000000,33518000000,38207000000,40148000000,42842000000,41411000000,22397000000,72177000000,63022000000,60257000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2286000000,1741000000,1277000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20821000000,24388000000,22049000000,31339000000,31240000000,30083000000,25960000000,25907000000,26856000000,26992000000,28095000000,31483000000,32360000000,34491000000,37397000000,39123000000,41011000000,44127000000,46511000000,50406000000,48540000000,64092000000,79808000000,76603000000,77567000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6366000000,5862000000,5906000000,5971000000,5986000000,6274000000,6468000000,6518000000,5827000000,- -,- -,- -,- -,- -,- -,8428000000,9550000000,10421000000,11282000000,12198000000,12632000000,12910000000,13038000000,30224000000,1322000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2531000000,2204000000,1670000000,-2105000000,-1004000000,-1878000000,-1458000000,2863000000,2139000000,2671000000,3151000000,3614000000,4213000000,4606000000,4712000000,4747000000,4742000000,5316000000,5301000000,5751000000,6596000000,-250000000,-7892000000,-9196000000,-4247000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16041000000,-12026000000,-11291000000,-11878000000,-13845000000,-14251000000,-11115000000,-11520000000,-8000000,-19000000,10000000,-221000000,-160000000,-202000000,-213000000,-101000000,50000000,11000000,-7000000,-9000000,-8000000,-9000000,-10000000,-27000000,-9000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16880000000,12806000000,11381000000,11964000000,13185000000,13468000000,10320000000,10772000000,-740000000,5159000000,5392000000,5984000000,6280000000,6878000000,7602000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,28286000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9736000000,8846000000,7666000000,3952000000,4322000000,3613000000,4215000000,8633000000,7218000000,7811000000,8553000000,9377000000,10333000000,11282000000,12101000000,13074000000,14342000000,15748000000,16576000000,17940000000,19220000000,12651000000,5136000000,21001000000,25610000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30557000000,33234000000,29715000000,35291000000,35562000000,33696000000,30175000000,34540000000,34074000000,34803000000,36648000000,40860000000,42693000000,45773000000,49498000000,52197000000,55353000000,59875000000,63087000000,68346000000,67760000000,76743000000,84944000000,97604000000,103177000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000000,- -,- -,- -,- -,- -,- -,- -,252000000,252000000,252000000,252000000,252000000,252000000,252000000,252000000,252000000,252000000,252000000,252000000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30557000000,33234000000,29715000000,35291000000,35862000000,33696000000,30175000000,34540000000,34074000000,34803000000,36648000000,40860000000,42945000000,46025000000,49750000000,52449000000,55605000000,60127000000,63339000000,68598000000,68012000000,76995000000,85196000000,97856000000,103177000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1004980/000092962400000321/0000929624-00-000321-index.html,- -,https://www.sec.gov/Archives/edgar/data/1004980/000095010902001149/0000950109-02-001149-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000104746903007123/0001047469-03-007123-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000095014904000430/0000950149-04-000430-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000104746905004204/0001047469-05-004204-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498006000066/form10k.htm,https://www.sec.gov/Archives/edgar/data/1004980/000100498007000057/form10k.htm,https://www.sec.gov/Archives/edgar/data/1004980/000100498008000054/form10k2007.htm,https://www.sec.gov/Archives/edgar/data/75488/000100498009000010/0001004980-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/75488/000100498010000016/0001004980-10-000016-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000119312511038959/d10k.htm,https://www.sec.gov/Archives/edgar/data/1004980/000119312512065537/0001193125-12-065537-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498013000013/0001004980-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498014000023/form10k.htm,https://www.sec.gov/Archives/edgar/data/1004980/000100498015000010/form10k.htm,https://www.sec.gov/Archives/edgar/data/1004980/000100498016000065/0001004980-16-000065-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498017000006/0001004980-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498018000003/0001004980-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498019000004/0001004980-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498020000009/0001004980-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1004980/000100498021000007/0001004980-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1004980/000100498022000009/0001004980-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1338900000,755200000,716000000,719000000,-73000000,-3364000000,1099000000,-874000000,420000000,4504000000,917000000,991000000,1006000000,1338000000,1234000000,1113000000,858000000,830000000,828000000,1450000000,888000000,1407000000,1660000000,-6837000000,-7642000000,-1304000000,-88000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2272000000,2077000000,2433000000,2612000000,2755000000,2854000000,3036000000,3234000000,3469000000,3403000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-116100000,-150000000,-159000000,-107000000,-754000000,-767000000,-409000000,-521000000,190000000,2607000000,-659000000,-285000000,55000000,590000000,809000000,756000000,544000000,648000000,1075000000,690000000,693000000,1030000000,1254000000,-2532000000,-2948000000,1141000000,1846000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
