,https://roic.ai/company/NOC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5056600000,5608400000,6052500000,5797100000,5248400000,5489800000,5694200000,5550000000,5063000000,6711000000,6818000000,8071000000,9153000000,8902000000,8995000000,7618000000,13558000000,17206000000,26206000000,29853000000,30721000000,30148000000,32018000000,33887000000,33755000000,34757000000,26412000000,25218000000,24661000000,23979000000,23526000000,24508000000,25803000000,30095000000,33841000000,36799000000,35667000000
2,COGS,4012000000,4760300000,5110900000,5016800000,4471300000,4561100000,4640000000,4708000000,4148000000,5210000000,5039000000,5849000000,6622000000,6537000000,6463000000,5065000000,11219000000,14104000000,22322000000,25135000000,25590000000,24660000000,25804000000,27698000000,28130000000,28609000000,20786000000,19638000000,19282000000,18378000000,17884000000,18731000000,19849000000,23304000000,26582000000,29321000000,28399000000
3,Gross Profit,1044600000,848100000,941600000,780300000,777100000,928700000,1054200000,842000000,915000000,1501000000,1779000000,2222000000,2531000000,2365000000,2532000000,2553000000,2339000000,3102000000,3884000000,4718000000,5131000000,5488000000,6214000000,6189000000,5625000000,6148000000,5626000000,5580000000,5379000000,5601000000,5642000000,5777000000,5954000000,6791000000,7259000000,7478000000,7268000000
4,Gross Profit Ratio,0.2066,0.1512,0.1556,0.1346,0.1481,0.1692,0.1851,0.1517,0.1807,0.2237,0.2609,0.2753,0.2765,0.2657,0.2815,0.3351,0.1725,0.1803,0.1482,0.1580,0.1670,0.1820,0.1941,0.1826,0.1666,0.1769,0.2130,0.2213,0.2181,0.2336,0.2398,0.2357,0.2307,0.2257,0.2145,0.2032,0.2038
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1335000000,1711000000,2346000000,2712000000,2953000000,3034000000,3208000000,3240000000,3142000000,3078000000,2350000000,2450000000,2256000000,2405000000,2566000000,2584000000,2655000000,3011000000,3290000000,3413000000,3597000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",543400000,551700000,527600000,514300000,533200000,450500000,531400000,455000000,485000000,1035000000,963000000,1197000000,1233000000,1216000000,1174000000,1074000000,1335000000,1711000000,2346000000,2712000000,2953000000,3034000000,3208000000,3240000000,3142000000,3078000000,2350000000,2450000000,2256000000,2405000000,2566000000,2584000000,2655000000,3011000000,3290000000,3413000000,3597000000
9,Other Expenses,193400000,225600000,246800000,240800000,220600000,186600000,171300000,158000000,211000000,267000000,280000000,367000000,418000000,393000000,389000000,381000000,- -,- -,- -,-35000000,- -,- -,- -,3060000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,736800000,777300000,774400000,755100000,753800000,637100000,702700000,613000000,696000000,1302000000,1243000000,1564000000,1651000000,1609000000,1563000000,1455000000,1335000000,1711000000,2346000000,2677000000,2953000000,3034000000,3208000000,6300000000,3142000000,3078000000,2350000000,2450000000,2256000000,2405000000,2566000000,2584000000,2655000000,3011000000,3290000000,3413000000,3597000000
11,COGS and Expenses,4748800000,5537600000,5885300000,5771900000,5225100000,5198200000,5342700000,5321000000,4844000000,6512000000,6282000000,7413000000,8273000000,8146000000,8026000000,6520000000,12554000000,15815000000,24668000000,27812000000,28543000000,27694000000,29012000000,33998000000,31272000000,31687000000,23136000000,22088000000,21538000000,20783000000,20450000000,21315000000,22504000000,26315000000,29872000000,32734000000,31996000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281000000,281000000,221000000,212000000,257000000,282000000,301000000,301000000,360000000,562000000,528000000,593000000,556000000
14,Depreciation and Amortization,193400000,225600000,246800000,240800000,220600000,186600000,171300000,158000000,211000000,267000000,280000000,367000000,418000000,393000000,389000000,381000000,645000000,525000000,635000000,717000000,755000000,691000000,719000000,761000000,585000000,738000000,544000000,510000000,495000000,462000000,467000000,456000000,475000000,800000000,1018000000,1267000000,1239000000
15,EBITDA,541500000,275100000,384200000,186900000,109100000,499100000,448500000,338000000,381000000,332000000,689000000,751000000,1069000000,705000000,1135000000,1339000000,1344000000,901000000,1824000000,2323000000,2816000000,2942000000,3392000000,412000000,3245000000,3629000000,3880000000,3687000000,3615000000,3681000000,3558000000,3680000000,3884000000,5104000000,4094000000,5588000000,10733000000
16,EBITDA ratio,0.1071,0.0491,0.0635,0.0322,0.0208,0.0909,0.0788,0.0609,0.0753,0.0495,0.1011,0.0930,0.1168,0.0792,0.1262,0.1758,0.0991,0.0524,0.0696,0.0778,0.0917,0.0976,0.1059,0.0122,0.0961,0.1044,0.1469,0.1462,0.1466,0.1535,0.1512,0.1502,0.1505,0.1696,0.1210,0.1519,0.3009
17,Operating Income,307800000,70800000,167200000,25200000,23300000,291600000,351500000,229000000,219000000,199000000,536000000,658000000,880000000,756000000,969000000,1098000000,1004000000,1391000000,1538000000,2041000000,2178000000,2454000000,3006000000,-111000000,2483000000,3070000000,3276000000,3130000000,3123000000,3196000000,3076000000,3193000000,3299000000,3780000000,3969000000,4065000000,5651000000
