,https://roic.ai/company/WMB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3139600000,1858600000,1779800000,1673100000,1717400000,1822100000,2104700000,2448100000,2438200000,1751100000,2855700000,3531200000,4409600000,7658300000,8593100000,10398000000,11034700000,5608400000,16834100000,12461300000,12583600000,11812900000,10558000000,12352000000,8255000000,9616000000,7930000000,7486000000,6860000000,7637000000,7360000000,7499000000,8031000000,8686000000,8201000000,7719000000,10627000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8079000000,9156000000,6081000000,7185000000,5550000000,4252000000,3842000000,4192000000,3517000000,3488000000,4036000000,4569000000,3780000000,1545000000,5874000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2479000000,3196000000,2174000000,2431000000,2380000000,3234000000,3018000000,3445000000,3843000000,4011000000,3995000000,4117000000,4421000000,6174000000,4753000000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2348,0.2587,0.2634,0.2528,0.3001,0.4320,0.4399,0.4511,0.5221,0.5349,0.4974,0.4740,0.5391,0.7998,0.4473
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,257200000,526500000,626900000,831000000,1204900000,1372600000,1138300000,934900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,466000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,257200000,526500000,626900000,831000000,1204900000,1372600000,1138300000,934900000,723900000,499200000,475300000,480300000,581300000,632000000,653000000,512000000,719000000,512000000,571000000,512000000,661000000,741000000,723000000,608000000,569000000,558000000,466000000,558000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1187700000,1742100000,2064100000,2620000000,5532400000,6358000000,7489600000,7678900000,3920500000,15156800000,10751700000,10871000000,10192700000,- -,- -,181000000,-24000000,- -,1051000000,1131000000,1447000000,1904000000,1722000000,1665000000,1574000000,1476000000,860000000,1562000000
