,https://roic.ai/company/REX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,43500000,57400000,59600000,54600000,43700000,40000000,47400000,52300000,63600000,75800000,88400000,94800000,97100000,96800000,104058000,110179000,112157000,106535000,108933000,103437000,101609000,91032000,61288000,53796000,6025000,9719000,10376000,12545000,17846000,19422000,19813000,21388000,24060000,20551000,19258000,17661000,28476000
11,COGS and Expenses,168300000,214600000,205200000,188400000,147100000,158100000,196100000,224000000,282900000,360300000,413600000,409700000,391900000,396500000,438007000,451288000,442267000,408036000,404089000,385484000,388331000,345035000,219308000,237343000,156556000,281019000,386492000,656746000,619786000,449713000,405467000,404148000,432485000,477007000,424807000,376646000,705718000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2374000,- -,- -,445000,447000,417000,166000,136000,369000,625000,596000,2265000,3514000,4120000,1818000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1893000,- -,- -,4741000,5593000,3484000,4870000,3902000,2074000,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,800000,1300000,1900000,2100000,1000000,300000,200000,700000,1100000,1600000,2400000,2900000,3000000,3200000,3469000,3917000,4198000,4325000,3994000,4158000,4645000,4190000,2428000,5061000,10603000,17943000,12086000,16602000,17284000,16787000,18639000,19519000,21462000,24828000,29311000,26264000,23591000
15,EBITDA,14000000,14900000,8400000,7000000,-2200000,5100000,5100000,8600000,15300000,22400000,26500000,15100000,15200000,18400000,28112000,28898000,33960000,34918000,29663000,24867000,40312000,22809000,50985000,-623000,28549000,31624000,59742000,17538000,76954000,155847000,64183000,69245000,41649000,33551000,23925000,22165000,-4675000
16,EBITDA ratio,0.0769,0.0651,0.0397,0.0358,-0.0153,0.0312,0.0253,0.0369,0.0513,0.0585,0.0599,0.0353,0.0370,0.0442,0.0605,0.0611,0.0731,0.0815,0.0711,0.0635,0.1018,0.0657,0.2276,-0.0027,0.1677,0.1048,0.1457,0.0267,0.1155,0.2724,0.1470,0.1526,0.0920,0.0689,0.0572,0.0594,-0.0060
17,Operating Income,13700000,14200000,6500000,7300000,-3400000,5600000,5700000,9100000,15300000,22500000,28600000,17700000,19100000,20200000,26293000,21732000,22236000,20589000,13313000,5816000,7701000,2299000,4667000,-6716000,13708000,20655000,23460000,991000,46305000,122517000,31021000,49651000,20101000,9664000,-6773000,-3800000,56807000
18,Operating Income ratio,0.0753,0.0621,0.0307,0.0373,-0.0237,0.0342,0.0282,0.0390,0.0513,0.0588,0.0647,0.0414,0.0465,0.0485,0.0566,0.0459,0.0479,0.0480,0.0319,0.0149,0.0194,0.0066,0.0208,-0.0291,0.0805,0.0685,0.0572,0.0015,0.0695,0.2141,0.0711,0.1094,0.0444,0.0199,-0.0162,-0.0102,0.0733
19,Total Other Income Expenses (Gains),-500000,-600000,- -,-2400000,200000,-800000,-800000,-1200000,-1100000,-1700000,-4500000,-5500000,-6900000,-5000000,-933000,3249000,7771000,10095000,12356000,15230000,28429000,13941000,35106000,-1098000,-97000,-10866000,24365000,-4847000,13465000,30285000,20497000,7260000,5292000,4924000,5604000,2318000,19031000
20,Income Before Tax,13200000,13600000,6500000,4900000,-3200000,4800000,4900000,7900000,14200000,20800000,24100000,12200000,12200000,15200000,25360000,24981000,30007000,30684000,25669000,21046000,36130000,16240000,39773000,-7814000,13611000,9789000,47825000,-3856000,59770000,152802000,51518000,56911000,25393000,14588000,-1169000,-1482000,75838000
21,Income Before Tax Ratio,0.0725,0.0594,0.0307,0.0250,-0.0223,0.0293,0.0243,0.0339,0.0476,0.0543,0.0545,0.0285,0.0297,0.0365,0.0546,0.0528,0.0646,0.0716,0.0615,0.0538,0.0912,0.0468,0.1776,-0.0339,0.0799,0.0324,0.1167,-0.0059,0.0897,0.2670,0.1180,0.1254,0.0561,0.0300,-0.0028,-0.0040,0.0979
22,Income Tax expense (Gain),5700000,6100000,2600000,1800000,-1000000,1900000,1900000,3100000,5600000,8200000,9500000,4800000,4800000,4000000,6350000,6245000,7453000,7661000,-1771000,-6840000,7398000,5375000,14690000,-2387000,4553000,3019000,15902000,-1639000,20695000,49649000,14108000,17393000,-19519000,-22922000,-12813000,-7100000,-19031000
23,Net Income,7500000,7500000,3900000,3100000,-2200000,2900000,3000000,4800000,8600000,12600000,14600000,7400000,7400000,11200000,18293000,18736000,22309000,22932000,27440000,27549000,28269000,11351000,33867000,-3297000,8652000,5069000,28270000,-2295000,35073000,87337000,31436000,32333000,39706000,31645000,7427000,3001000,-9235000
24,Net Income ratio,0.0412,0.0328,0.0184,0.0158,-0.0153,0.0177,0.0149,0.0206,0.0288,0.0329,0.0330,0.0173,0.0180,0.0269,0.0394,0.0396,0.0480,0.0535,0.0657,0.0704,0.0714,0.0327,0.1512,-0.0143,0.0508,0.0168,0.0690,-0.0035,0.0527,0.1526,0.0720,0.0712,0.0877,0.0650,0.0178,0.0080,-0.0119
25,EPS,0.26,0.21,0.12,0.12,-0.14,0.20,0.20,0.32,0.54,0.66,0.69,0.36,0.42,0.67,1.01,1.32,1.91,1.89,2.53,2.49,2.64,1.10,3.25,-0.32,0.93,0.53,3.10,-0.28,4.31,10.77,4.31,4.91,6.02,4.91,1.18,0.49,-1.50
26,EPS Diluted,0.26,0.21,0.12,0.12,-0.14,0.20,0.20,0.32,0.49,0.62,0.69,0.36,0.40,0.64,0.92,1.21,1.65,1.61,2.17,2.17,2.31,0.98,2.89,-0.32,0.91,0.52,3.08,-0.28,4.29,10.76,4.30,4.91,6.02,4.91,1.18,0.49,-1.50
27,Weighted Average Shares Outstanding,29065712,35121074,33716316,25807526,15951739,14814739,14985015,14985015,15975747,19136256,21071250,20742750,17817750,16710750,18049500,14141250,11698000,12142000,10863000,11081000,10688000,10291000,10420000,10170000,9254000,9651000,9117000,8272000,8137000,8109000,7297000,6587000,6596000,6440000,6318000,6167000,6167000
28,Weighted Average Shares Outstanding Diluted,29065712,35121074,33716316,25807526,15951739,14814739,14985015,14985015,17573328,20229752,21072669,21853147,18400500,17624250,20018250,15489000,13509000,14192000,12648000,12714000,12220000,11576000,11721000,10170000,9551000,9825000,9187000,8272000,8180000,8118000,7307000,6587000,6596000,6440000,6318000,6167000,6167000
