,https://roic.ai/company/REX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
77,Change in Working Capital,- -,- -,- -,- -,-700000,-900000,300000,3700000,22400000,24200000,1300000,200000,-1300000,-1500000,23356000,-17008000,8508000,1085000,5113000,-10494000,69000,62000,44244000,-47959000,16872000,34000,-11484000,-6330000,33202000,39518000,3537000,44273000,13171000,16443000,5924000,-11523000,66671000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4926000,-2472000,4216000,1217000,-4919000,7692000,-496000,-2535000,-1089000,1535000,-1591000,-6744000,-6108000
79,Inventory,- -,- -,- -,- -,-2600000,-300000,-2500000,-11800000,-16700000,-40400000,-31200000,11500000,8500000,-5500000,-7265000,-4883000,43133000,-41046000,25308000,-7433000,26817000,27293000,20145000,25559000,15676000,-554000,-14039000,5430000,5549000,1308000,884000,121000,-3649000,2278000,-17157000,-2246000,-4799000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8457000,761000,1191000,-1448000,1721000,2030000,387000,36000,-1705000,339000,11400000,-2346000,16005000
81,Other Working Capital,- -,- -,- -,- -,29000000,28100000,28400000,32100000,54500000,78700000,80000000,80200000,78900000,77400000,100756000,83748000,92256000,93341000,98454000,87960000,88029000,88091000,132335000,84376000,101248000,101282000,89798000,83468000,116670000,156188000,159725000,203998000,217169000,233612000,239536000,228013000,294684000
82,Other Non-Cash Items,- -,- -,- -,- -,-2700000,4300000,-2200000,-1200000,-30900000,-54400000,-26700000,-2800000,27400000,-2600000,-34025000,-3904000,7834000,-69083000,6258000,-13880000,-14722000,12267000,-68619000,48517000,-38341000,1072000,-4661000,9575000,-37111000,-28899000,-9290000,-31373000,-16406000,-2290000,-21646000,-1434000,-74236000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-11800000,7100000,900000,7100000,3000000,-16000000,-4000000,10900000,35500000,10200000,10323000,1053000,42275000,-37227000,35877000,-8226000,17776000,31825000,14829000,2923000,10978000,27921000,34896000,17048000,64435000,137216000,40190000,69109000,40969000,47931000,10343000,8623000,91711000
84,CAPEX,- -,- -,- -,- -,-900000,-1800000,-6100000,-4200000,-13900000,-28100000,-23100000,-23400000,-8000000,-12700000,-20213000,-27696000,-9948000,- -,-4043000,-6919000,-2171000,-1668000,-68754000,-101271000,-35652000,-6033000,-7342000,-3684000,-3518000,-9927000,-15495000,-14208000,-24017000,-10775000,-3776000,-10412000,-5126000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1665000,8703000,- -,- -,- -,12293000,- -,- -,- -,- -,- -,-12049000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900000,- -,-100000,- -,- -,- -,- -,- -,-19000,- -,- -,-48000,-40883000,-10075000,-933000,-25000,-9214000,-1947000,- -,- -,- -,- -,- -,- -,-125989000,-26025000,-96233000,-88949000
87,Sales/Maturities of Investments,- -,- -,- -,- -,200000,1000000,100000,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,-2404000,- -,7000000,30510000,3716000,54751000,1461000,184000,500000,3120000,- -,- -,- -,45476000,4492000,64000,112091000,15000000,86328000,99309000
88,Other Investing Activites,- -,- -,- -,- -,57800000,100000,- -,200000,600000,100000,100000,500000,600000,1300000,1342000,11676000,16603000,12137000,23152000,21371000,1523000,14934000,94775000,9172000,-30896000,2918000,-2897000,25000,6832000,-7320000,-13275000,-12239000,-23961000,-10743000,-3407000,-10886000,-5066000
89,Cash Used for Investing Activites,- -,- -,- -,- -,57100000,-700000,-6000000,-4000000,-12500000,-28900000,-23000000,-23000000,-7400000,-11400000,-18871000,-16020000,6655000,9714000,19109000,21452000,29814000,-22236000,79400000,-91571000,-30737000,-5796000,10569000,25000,6832000,-7320000,32201000,-7747000,-35946000,-24641000,-14432000,-20791000,5294000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20376000,-24793000,-36904000,-16820000,-31203000,-75726000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,1500000,- -,- -,- -,17500000,21300000,600000,500000,700000,700000,51445000,1133000,11133000,4961000,5602000,6447000,5696000,2559000,5596000,1453000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-40200000,- -,-1900000,- -,- -,- -,-2300000,-7500000,-5000000,-7500000,-20111000,-48512000,-16663000,-16762000,-8214000,-9374000,-28314000,- -,-14587000,-17708000,-6454000,-8229000,-22218000,-4373000,-3486000,-18138000,-69852000,-4709000,- -,-21855000,- -,-19629000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-37000000,-2000000,2900000,100000,8400000,15800000,16800000,22400000,-10800000,3000000,-9089000,37424000,-4646000,1253000,-24728000,-25408000,-9547000,9497000,-530000,69178000,54996000,1518000,-2349000,-1820000,-502000,-3484000,-4471000,-3842000,-2611000,-3965000,-3952000,-2816000,-11399000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-75700000,-2000000,1000000,100000,25900000,37100000,15100000,15400000,-15100000,-3800000,22245000,-9955000,-10176000,-10548000,-27340000,-28335000,-32165000,12056000,-9521000,52923000,28166000,-31504000,-61471000,-23013000,-35191000,-97348000,-74323000,-8551000,-2611000,-25820000,-3952000,-22445000,-11399000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-75700000,-2000000,1000000,100000,25900000,37100000,15100000,15400000,-15100000,-3800000,13697000,-24922000,38754000,-38061000,27646000,-15109000,15425000,21645000,84708000,-35725000,8407000,-9379000,-16006000,-5940000,36076000,32548000,-1932000,52811000,2412000,-2530000,-8041000,-34613000,85910000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25609000,687000,39441000,1380000,29026000,4671000,20096000,43008000,127716000,91991000,100398000,91019000,75013000,69073000,105149000,137697000,135765000,188576000,190988000,188812000,180771000,146158000,232068000
99,Cash at the Beginning of Period,- -,- -,- -,- -,31000000,700000,5100000,900000,4100000,20400000,12700000,700000,4000000,16900000,11912000,25609000,687000,39441000,1380000,19780000,4671000,21363000,43008000,127716000,91991000,100398000,91019000,75013000,69073000,105149000,137697000,135765000,188576000,191342000,188812000,180771000,146158000
100,Free Cash Flow,- -,- -,- -,- -,-12700000,5300000,-5200000,2900000,-10900000,-44100000,-27100000,-12500000,27500000,-2500000,-9890000,-26643000,32327000,-37227000,31834000,-15145000,15605000,30157000,-53925000,-98348000,-24674000,21888000,27554000,13364000,60917000,127289000,24695000,54901000,16952000,37156000,6567000,-1789000,86585000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744187/000074418796000001/0000744187-96-000001-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744187/000095011702000900/0000950117-02-000900-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744187/000095011706001735/a41777.htm,https://www.sec.gov/Archives/edgar/data/744187/000093041307003503/0000930413-07-003503-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041308002363/0000930413-08-002363-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041309002072/0000930413-09-002072-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041310001955/0000930413-10-001955-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041311002755/0000930413-11-002755-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041312002109/c69053_10k.htm,https://www.sec.gov/Archives/edgar/data/744187/000093041313002135/0000930413-13-002135-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041314001685/0000930413-14-001685-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041315001585/c80752_10k.htm,https://www.sec.gov/Archives/edgar/data/744187/000093041316006190/0000930413-16-006190-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041317001219/0000930413-17-001219-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041318001149/0000930413-18-001149-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041319001085/0000930413-19-001085-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041320000944/0000930413-20-000944-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041321000765/0000930413-21-000765-index.htm,https://www.sec.gov/Archives/edgar/data/744187/000093041322000653/0000930413-22-000653-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
