,https://roic.ai/company/DUK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,2050800000,2115000000,2258500000,3930700000,3997000000,5040000000,5054000000,5902000000,6258000000,9499000000,6023000000,5992000000,7261000000,5719000000,5754000000,5654000000,6160000000,6280000000,3274000000,4107000000,4279000000,4279000000,4436000000,4760000000,5354000000,5855000000,6042000000,6379000000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,3309200000,3327500000,3395700000,14338900000,15177000000,19947000000,45505000000,55403000000,13212000000,23154000000,19456000000,13855000000,12493000000,10222000000,10774000000,10098000000,11085000000,11425000000,15848000000,19201000000,18602000000,18007000000,17411000000,17530000000,19345000000,19374000000,18341000000,19381000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77000000,- -,- -,50000000,26000000,57000000,38000000,21000000,13000000,20000000,31000000,32000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,751000000,840000000,859000000,1242000000,1546000000,1622000000,1613000000,1916000000,1986000000,2094000000,2204000000,2162000000,2280000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1348000000,1450000000,- -,- -,- -,- -,- -,- -,- -,1846000000,1994000000,2026000000,2652000000,3229000000,3507000000,3613000000,3880000000,4046000000,4696000000,5176000000,5486000000,4990000000
15,EBITDA,437600000,467800000,500200000,448100000,571600000,538200000,583600000,508100000,626400000,1035900000,1180900000,1205700000,1613300000,2029000000,1960000000,4144000000,4498000000,1652000000,-2030000000,2030000000,3107000000,2706000000,2212000000,1978000000,4430000000,5044000000,5343000000,6367000000,8701000000,8681000000,9368000000,9104000000,10287000000,9904000000,11647000000,8789000000,11370000000
16,EBITDA ratio,0.1510,0.1376,0.1350,0.1235,0.1571,0.1462,0.1529,0.1283,0.1463,0.2308,0.2525,0.2534,0.0989,0.1152,0.0901,0.0840,0.0756,0.1055,-0.0901,0.0902,0.1855,0.1782,0.1739,0.1498,0.3480,0.3534,0.3677,0.3244,0.3537,0.3628,0.3993,0.4003,0.4365,0.4039,0.4644,0.3682,0.4530
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,1179700000,1349200000,1362300000,1970000000,2433000000,1795000000,3813000000,4100000000,2451000000,-625000000,3047000000,2891000000,2691000000,2498000000,2433000000,2249000000,2461000000,2777000000,3126000000,4982000000,5258000000,5367000000,5341000000,5781000000,4685000000,5709000000,4553000000,5373000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2628,0.2885,0.2863,0.1208,0.1382,0.0826,0.0773,0.0689,0.1565,-0.0277,0.1354,0.1726,0.1772,0.1964,0.1842,0.1767,0.1724,0.1911,0.1593,0.2025,0.2198,0.2288,0.2348,0.2453,0.1911,0.2276,0.1908,0.2141
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-143800000,-168300000,-156600000,-356700000,-396000000,-495000000,-1017000000,-956000000,-799000000,-1087000000,-1275000000,925000000,171000000,-264000000,-538000000,-418000000,-251000000,-312000000,-675000000,-1062000000,-1124000000,-1230000000,-1607000000,-1515000000,-1612000000,-1612000000,-3714000000,-1609000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,1035900000,1180900000,1205700000,1613300000,2037000000,1300000000,2796000000,3144000000,1652000000,-1712000000,1772000000,3816000000,2862000000,2234000000,1895000000,1831000000,2210000000,2465000000,2451000000,3920000000,4134000000,4137000000,3734000000,4266000000,3073000000,4097000000,839000000,3764000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2308,0.2525,0.2534,0.0989,0.1157,0.0598,0.0567,0.0528,0.1055,-0.0760,0.0787,0.2279,0.1885,0.1756,0.1435,0.1438,0.1548,0.1697,0.1249,0.1594,0.1728,0.1764,0.1642,0.1810,0.1253,0.1634,0.0352,0.1500
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,397000000,466400000,475700000,638900000,777000000,453000000,1020000000,1150000000,618000000,-707000000,540000000,1283000000,843000000,712000000,616000000,758000000,890000000,752000000,705000000,1261000000,1669000000,1326000000,1156000000,1196000000,448000000,519000000,-236000000,192000000
23,Net Income,437600000,467800000,500200000,448100000,571600000,538200000,583600000,508100000,626400000,638900000,714500000,730000000,974400000,1252000000,1507000000,1776000000,1898000000,1034000000,-1323000000,1490000000,1824000000,1863000000,1500000000,1362000000,1075000000,1320000000,1706000000,1768000000,2665000000,1883000000,2816000000,2152000000,3059000000,2666000000,3748000000,1377000000,3908000000
24,Net Income ratio,0.1510,0.1376,0.1350,0.1235,0.1571,0.1462,0.1529,0.1283,0.1463,0.1423,0.1528,0.1534,0.0597,0.0711,0.0693,0.0360,0.0319,0.0660,-0.0587,0.0662,0.1089,0.1227,0.1179,0.1031,0.0844,0.0925,0.1174,0.0901,0.1083,0.0787,0.1200,0.0946,0.1298,0.1087,0.1494,0.0577,0.1557
25,EPS,2.79,3.03,3.30,2.94,3.87,3.60,3.90,3.33,3.18,4.32,4.88,5.06,3.77,5.12,6.12,7.17,7.35,3.66,-4.44,4.77,5.82,4.77,3.57,3.24,2.49,3.00,3.84,3.07,3.77,2.66,4.05,3.11,4.36,3.76,5.06,1.72,4.65
26,EPS Diluted,2.79,3.03,3.30,2.94,3.87,3.60,3.90,3.33,3.18,4.32,4.88,5.06,3.75,5.10,6.11,7.14,7.32,3.66,-4.44,4.62,5.64,4.71,3.54,3.21,2.49,3.00,3.84,3.07,3.76,2.66,4.05,3.11,4.36,3.76,5.06,1.72,4.65
27,Weighted Average Shares Outstanding,135017786,134983363,135121077,134285580,134134233,134888754,135615249,135645510,136286413,136572530,136572530,135701864,239866426,240666426,243333090,245333088,255666411,278666388,300999699,310333023,311333022,389999610,419999580,421666245,430999569,439332894,443999556,574000000,706000000,707000000,694000000,691000000,700000000,708000000,729000000,737000000,769000000
28,Weighted Average Shares Outstanding Diluted,135017786,134983363,135121077,134285580,134134233,134888754,135615249,135645510,136286413,136585885,136643220,165384450,240426426,241372308,243570600,246078185,257376792,278666388,300999699,320562450,323333010,395999604,421999578,422666244,431332902,439666227,444332889,575000000,706000000,707000000,694000000,691000000,700000000,708000000,729000000,738000000,769000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/20290/000119312507071402/0001193125-07-071402-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000119312508043884/d10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000119312509041096/0001193125-09-041096-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000119312510043083/0001193125-10-043083-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000119312511047229/d10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000119312512085533/0001193125-12-085533-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000132616013000009/form10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616014000003/form10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616015000008/duk-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616016000221/duk-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616017000016/duk-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000034/0001326160-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000057/0001326160-19-000057-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000132616020000034/0001326160-20-000034-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000132616021000063/0001326160-21-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616022000072/0001326160-22-000072-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,857000000,1160000000,533000000,511000000,948000000,678000000,986000000,1542000000,1670000000,2110000000,1424000000,1501000000,2036000000,857000000,392000000,358000000,442000000,311000000,259000000,343000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190000000,333000000,44000000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,857000000,1160000000,533000000,511000000,948000000,678000000,986000000,1542000000,1670000000,2300000000,1757000000,1545000000,2036000000,857000000,392000000,358000000,442000000,311000000,259000000,343000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6766000000,2888000000,3237000000,2580000000,2256000000,1767000000,1653000000,1741000000,2157000000,784000000,2717000000,3005000000,2764000000,2451000000,2644000000,2774000000,3134000000,3060000000,3153000000,3610000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1134000000,1156000000,942000000,863000000,1358000000,1012000000,1135000000,1515000000,1318000000,1588000000,3223000000,3250000000,3459000000,3810000000,3522000000,3250000000,3084000000,3232000000,3167000000,3199000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3096000000,2684000000,3259000000,4003000000,2378000000,1468000000,1499000000,968000000,1078000000,2208000000,2425000000,2716000000,3316000000,1204000000,1481000000,2071000000,3054000000,2560000000,2103000000,2788000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11853000000,7888000000,7971000000,7957000000,6940000000,4925000000,5273000000,5766000000,6223000000,6880000000,10122000000,10516000000,11575000000,8322000000,8039000000,8453000000,9714000000,9163000000,8682000000,9940000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36219000000,34986000000,33506000000,29200000000,41447000000,31110000000,34036000000,37950000000,40344000000,42661000000,68558000000,69490000000,70046000000,75709000000,82520000000,86391000000,91694000000,103785000000,108306000000,112674000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4350000000,3858000000,3849000000,16365000000,16340000000,16321000000,16343000000,19425000000,19396000000,19303000000,19303000000,19303000000,19303000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,593000000,467000000,363000000,372000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3747000000,3962000000,4148000000,3775000000,9080000000,5362000000,5400000000,4943000000,4325000000,4212000000,16737000000,16340000000,16321000000,16343000000,19425000000,19396000000,19303000000,19303000000,19303000000,19303000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2305000000,696000000,473000000,2201000000,2458000000,2520000000,4725000000,5522000000,5904000000,6324000000,7130000000,8272000000,8129000000,10076000000,10075000000,11371000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9147000000,9367000000,9845000000,13791000000,8928000000,7611000000,7895000000,6180000000,5740000000,6253000000,13714000000,12911000000,16863000000,14458000000,15647000000,15402000000,16552000000,16511000000,16022000000,16299000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49113000000,48315000000,47499000000,46766000000,61760000000,44779000000,47804000000,51274000000,52867000000,55646000000,103734000000,104263000000,109134000000,112834000000,124722000000,129461000000,135678000000,149675000000,153706000000,159647000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60966000000,56203000000,55470000000,54723000000,68700000000,49704000000,53077000000,57040000000,59090000000,62526000000,113856000000,114779000000,120709000000,121156000000,132761000000,137914000000,145392000000,158838000000,162388000000,169587000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5590000000,2331000000,2414000000,2431000000,1686000000,1585000000,1477000000,1390000000,1587000000,1433000000,2444000000,2391000000,2271000000,2400000000,2994000000,3043000000,3487000000,3487000000,3144000000,3629000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2246000000,1330000000,1900000000,1483000000,2055000000,2268000000,1189000000,902000000,491000000,2321000000,4167000000,2943000000,5321000000,5707000000,4806000000,5407000000,6816000000,6276000000,7111000000,6691000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,428000000,412000000,431000000,459000000,551000000,569000000,348000000,384000000,551000000,577000000,392000000,482000000,749000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8878000000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4154000000,4037000000,3224000000,4504000000,2872000000,1855000000,1679000000,1796000000,1819000000,1774000000,3418000000,3310000000,3641000000,3293000000,3751000000,4032000000,4738000000,-3889000000,6050000000,5611000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11990000000,7698000000,7538000000,8418000000,6613000000,5708000000,4345000000,4088000000,3897000000,5528000000,10029000000,8644000000,11233000000,11400000000,11551000000,12482000000,15041000000,14752000000,16305000000,15931000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20221000000,20622000000,16932000000,14547000000,18118000000,9498000000,13250000000,16113000000,17935000000,18679000000,35034000000,37023000000,35999000000,36608000000,44769000000,48579000000,50788000000,54016000000,56965000000,61522000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5010000000,4285000000,5382000000,5397000000,7178000000,4912000000,5265000000,5925000000,7337000000,7965000000,10948000000,12539000000,13850000000,13177000000,14648000000,7160000000,8374000000,9502000000,9931000000,10212000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10689000000,8387000000,9229000000,9028000000,7268000000,7489000000,16811000000,15165000000,18728000000,20200000000,20752000000,27956000000,27355000000,32617000000,30003000000,30786000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25231000000,24907000000,22314000000,19944000000,35985000000,22797000000,27744000000,31066000000,32540000000,34133000000,62793000000,64727000000,68577000000,69985000000,80169000000,83695000000,86517000000,96135000000,96899000000,102520000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55794000000,57829000000,52185000000,49061000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1317000000,1129000000,1214000000,887000000,807000000,456000000,335000000,2401000000,1340000000,1074000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42553000000,40620000000,37409000000,37535000000,41793000000,28324000000,31926000000,35154000000,36437000000,39661000000,72822000000,73371000000,79810000000,81385000000,91720000000,96177000000,101558000000,110887000000,113204000000,118451000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157000000,134000000,134000000,- -,- -,- -,- -,- -,- -,- -,93000000,- -,- -,- -,- -,- -,- -,1962000000,1962000000,1962000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9236000000,9519000000,11252000000,10388000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6417000000,4060000000,4539000000,5335000000,5652000000,1398000000,1607000000,1460000000,1496000000,1873000000,1889000000,2363000000,2012000000,2564000000,2384000000,3013000000,3113000000,4108000000,2471000000,3265000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-709000000,169000000,650000000,716000000,595000000,-133000000,-726000000,-372000000,2000000,-234000000,-306000000,-399000000,-543000000,-806000000,-93000000,-67000000,-92000000,-130000000,-237000000,-303000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19854000000,19933000000,20106000000,20661000000,21023000000,21132000000,39279000000,39365000000,39405000000,37968000000,38741000000,38792000000,40795000000,40881000000,43767000000,44371000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15101000000,13882000000,16575000000,16439000000,26102000000,21199000000,20988000000,21750000000,22522000000,22772000000,40956000000,41330000000,40875000000,39727000000,41033000000,41739000000,43817000000,46822000000,47964000000,49296000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57654000000,54502000000,53984000000,53974000000,67895000000,49523000000,52914000000,56904000000,58959000000,62433000000,113778000000,114701000000,120685000000,121112000000,132753000000,137916000000,145375000000,157709000000,161168000000,167747000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3312000000,1701000000,1486000000,749000000,805000000,181000000,163000000,136000000,131000000,93000000,78000000,78000000,24000000,44000000,8000000,-2000000,17000000,1129000000,1220000000,1840000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60966000000,56203000000,55470000000,54723000000,68700000000,49704000000,53077000000,57040000000,59090000000,62526000000,113856000000,114779000000,120709000000,121156000000,132761000000,137914000000,145392000000,158838000000,162388000000,169587000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/20290/000119312507071402/0001193125-07-071402-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000119312508043884/d10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000119312509041096/0001193125-09-041096-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000119312510043083/0001193125-10-043083-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000119312511047229/d10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000119312512085533/0001193125-12-085533-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000132616013000009/form10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616014000003/form10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616015000008/duk-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616016000221/duk-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616017000016/duk-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000034/0001326160-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000057/0001326160-19-000057-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000132616020000034/0001326160-20-000034-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000132616021000063/0001326160-21-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616022000072/0001326160-22-000072-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,638900000,714500000,730000000,974400000,1252000000,1507000000,1776000000,1898000000,1034000000,-1323000000,1490000000,1824000000,1863000000,1500000000,1362000000,1075000000,1320000000,1706000000,1768000000,2665000000,1883000000,2816000000,2152000000,3059000000,2666000000,3748000000,1377000000,3908000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1348000000,1450000000,- -,- -,- -,- -,- -,- -,- -,1846000000,1994000000,2026000000,2652000000,3229000000,3507000000,3613000000,3880000000,4046000000,4696000000,5176000000,5486000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,94300000,6000000,-27600000,105700000,-35000000,-210000000,152000000,129000000,495000000,-534000000,867000000,282000000,250000000,669000000,485000000,941000000,741000000,602000000,584000000,1264000000,1149000000,1244000000,900000000,1433000000,1079000000,806000000,54000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71000000,66100000,-34300000,69800000,-56000000,-19000000,-350000000,238000000,- -,327000000,243000000,-894000000,788000000,-1110000000,1711000000,750000000,648000000,-974000000,-1259000000,1779000000,-1530000000,-3420000000,-434000000,-517000000,-1298000000,-262000000,-2034000000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28600000,-14500000,40500000,-6600000,-104000000,-89000000,-97000000,-192000000,134000000,-30000000,-48000000,-80000000,-24000000,-36000000,-209000000,-298000000,198000000,-247000000,-258000000,-31000000,-269000000,-237000000,272000000,268000000,156000000,-122000000,66000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80000000,167000000,41000000,131000000,73000000,-30000000,-6000000,266000000,-204000000,479000000,-164000000,-21000000,- -
