,https://roic.ai/company/SLGN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,306400000,571700000,607700000,651100000,825300000,796400000,903800000,874200000,904700000,1075800000,1041300000,1010100000,1290600000,1368800000,1325600000,1300200000,1311523000,1645400000,1915000000,2238700000,2138700000,2147421000,2187212000,3353527000,3289160000,3524251000,4712393000,5475000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,504300000,900000000,913500000,1050600000,1224000000,1185300000,1383800000,1311800000,1404000000,1621100000,1597200000,1530600000,2008400000,2140000000,2164300000,2214400000,2176018000,2979100000,3293500000,3321100000,3274100000,3192679000,3149390000,4645449000,4579294000,4931059000,6511586000,7770800000
48,Accounts Payable,36800000,138200000,122600000,142300000,184500000,175400000,208100000,173900000,172700000,211600000,244100000,247600000,299900000,273000000,298600000,277800000,288858000,319300000,318700000,352200000,423900000,477171000,504798000,659629000,712739000,727053000,802541000,- -
49,Short-Term Debt,21968000,28140000,66200000,20200000,36100000,39400000,44948000,57999000,20170000,48670000,21804000,846000,26417000,112921000,158877000,26067000,13949000,87776000,255349000,146174000,125130000,152398000,217127000,108789000,170214000,29813000,28036000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48055000,51433000,50398000,48143000,50337000,56721000,45146000,43508000,38283000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262394000,268036000,254836000,- -,- -
52,Other Current Liabilities,62332000,87760000,59000000,72400000,79200000,92200000,79252000,85801000,72030000,90530000,78496000,71754000,106683000,104979000,113723000,120433000,121301000,188424000,128551000,121926000,115470000,151644000,139900000,-72535000,-71921000,6827000,361043000,1488200000
53,Total Current Liabilities,121100000,254100000,247800000,234900000,299800000,307000000,332300000,317700000,264900000,350800000,344400000,320200000,433000000,490900000,571200000,424300000,424108000,595500000,702600000,620300000,664500000,781213000,861825000,958277000,1079068000,1018529000,1191620000,1488200000
54,Long-Term Debt,510800000,750900000,721600000,785000000,891000000,843900000,986500000,886800000,936700000,953900000,819900000,699500000,929200000,879600000,726000000,773300000,890725000,1288500000,1416000000,1557700000,1458900000,1361149000,1344456000,2438502000,2134400000,2214608000,3223217000,3793200000
