,https://roic.ai/company/DZSI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,80756000,75645309,-3731958,83138000,97168000,151828000,194344000,175448000,146160000,126501000,129036000,124502000,115385000,122248000,120582000,100756000,150304000,247114000,282348000,306882000,300640000,350206000
2,COGS,59384000,87346868,76908181,51081000,55095000,88805000,131749000,116370000,101096000,81106000,79864000,80541000,79101000,76116000,78748000,61989000,109357000,165745000,191017000,206771000,203761000,229938000
3,Gross Profit,21372000,-11701559,-80640139,32057000,42073000,63023000,62595000,59078000,45064000,45395000,49172000,43961000,36284000,46132000,41834000,38767000,40947000,81369000,91331000,100111000,96879000,120268000
4,Gross Profit Ratio,0.2646,-0.1547,21.6080,0.3856,0.4330,0.4151,0.3221,0.3367,0.3083,0.3589,0.3811,0.3531,0.3145,0.3774,0.3469,0.3848,0.2724,0.3293,0.3235,0.3262,0.3222,0.3434
5,Research and Development Exp.,86398000,61243867,42091834,22495000,23210000,26839000,36099000,32720000,27063000,22113000,21188000,21380000,18542000,15326000,17340000,15449000,25396000,35437000,35306000,38516000,37459000,47052000
6,General and Administrative Exp.,- -,55442934,47890135,21183000,33770000,44666000,52261000,43362000,15609000,9933000,9855000,7784000,7157000,6199000,9409000,8691000,27348000,- -,48321000,61206000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,28269000,22042000,23982000,22297000,19304000,20159000,19079000,16375000,- -,43888000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,55442934,47890135,21183000,33770000,44666000,52261000,43362000,43878000,31975000,33837000,30081000,26461000,26358000,28488000,25066000,27348000,43888000,48321000,61206000,- -,90241000
9,Other Expenses,131462000,91615464,245705723,10780000,10132000,114405000,116430000,-5659000,-4852000,- -,-1959000,- -,- -,- -,- -,- -,1556000,1322000,524000,1507000,65473000,1182000
10,Operating Expenses,217860000,208302265,335687692,54458000,67112000,185910000,204790000,70423000,66089000,54088000,53066000,51461000,45003000,41684000,45828000,40515000,54300000,80647000,84151000,101229000,102932000,138475000
