,https://roic.ai/company/AMWD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,1.6364,0.1114,0.0656,0.0740,0.0071,-0.0280,-0.0466,-0.0048,0.0204,0.0451,0.0316,0.0780,0.0881,0.0873,0.0634,0.0739,0.1064,0.0956,0.0779,0.0751,0.0641,0.0673,0.0094,-0.0113,-0.0911,-0.0662,-0.0645,0.0266,0.0463,0.0659,0.0969,0.1057,0.0758,0.0674,0.0609,0.0444
22,Income Tax expense (Gain),4500000,6100000,3200000,4200000,500000,-1600000,-2400000,-300000,1300000,3500000,2400000,6566000,8257000,11038000,10088000,11771000,20960000,21189000,20289000,22754000,20491000,18617000,1414000,-2917000,-14714000,-9942000,-12502000,6982000,13209000,18888000,33063000,37726000,31619000,27200000,25687000,18672000
23,Net Income,4500000,6800000,5300000,7500000,600000,-2600000,-4000000,-500000,2200000,5400000,3800000,10548000,13031000,17509000,14467000,17420000,32155000,32704000,31707000,35591000,33210000,32561000,4271000,-3234000,-22341000,-20018000,-20786000,9758000,20461000,35499000,58723000,71199000,63141000,83688000,74861000,58763000
24,Net Income ratio,0.8182,0.0587,0.0409,0.0474,0.0039,-0.0174,-0.0291,-0.0030,0.0128,0.0274,0.0194,0.0481,0.0539,0.0535,0.0374,0.0418,0.0644,0.0580,0.0475,0.0458,0.0396,0.0428,0.0071,-0.0059,-0.0550,-0.0442,-0.0403,0.0155,0.0282,0.0430,0.0620,0.0691,0.0505,0.0509,0.0454,0.0337
25,EPS,0.38,0.42,0.32,0.46,0.04,-0.17,-0.27,-0.03,0.14,0.35,0.26,0.69,0.84,1.11,0.91,1.08,1.97,2.00,1.96,2.16,2.04,2.08,0.30,-0.23,-1.57,-1.40,-1.44,0.66,1.32,2.21,3.62,4.39,3.61,4.97,4.42,3.50
26,EPS Diluted,0.38,0.42,0.32,0.46,0.04,-0.17,-0.27,-0.03,0.14,0.35,0.26,0.69,0.82,1.09,0.90,1.07,1.91,1.95,1.90,2.11,2.00,2.04,0.29,-0.23,-1.58,-1.40,-1.45,0.66,1.31,2.21,3.57,4.34,3.61,4.83,4.42,3.45
27,Weighted Average Shares Outstanding,12000000,16190476,16562500,16483516,15000000,15294118,14814815,16666667,15172414,15088770,15189954,15345746,15513095,15712000,15920000,16114000,16346000,16346000,16188000,16473000,16280000,15690000,14472000,14055000,14137325,14295540,14395273,14822580,15476298,16079671,16244041,16232775,17503922,16849026,16926537,16801101
28,Weighted Average Shares Outstanding Diluted,12000000,16190476,16562500,16483516,15000000,15294118,14814815,16666667,15172414,15272727,15189954,15510204,15795152,16094000,16190000,16288000,16872000,16800000,16668000,16880000,16586000,15976000,14540000,14055000,14146133,14295540,14395273,14832688,15653251,16079671,16441571,16398240,17503922,17330419,16952480,17036730
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794619/0000794619-96-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794619/000079461900500009/0000794619-00-500009-index.html,https://www.sec.gov/Archives/edgar/data/794619/000095010901502222/d10k405.txt,https://www.sec.gov/Archives/edgar/data/794619/000091664102001084/0000916641-02-001084-index.html,https://www.sec.gov/Archives/edgar/data/794619/000119312503018991/d10k.htm,https://www.sec.gov/Archives/edgar/data/794619/000119312504117768/d10k.htm,https://www.sec.gov/Archives/edgar/data/794619/000119312505141904/d10k.htm,https://www.sec.gov/Archives/edgar/data/794619/000119312506145097/d10k.htm,https://www.sec.gov/Archives/edgar/data/794619/000119312507153789/0001193125-07-153789-index.html,https://www.sec.gov/Archives/edgar/data/794619/000119312508149242/0001193125-08-149242-index.html,https://www.sec.gov/Archives/edgar/data/794619/000119312509141647/0001193125-09-141647-index.html,https://www.sec.gov/Archives/edgar/data/794619/000119312510151335/0001193125-10-151335-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461911000012/0000794619-11-000012-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461912000019/awcfy1210k.htm,https://www.sec.gov/Archives/edgar/data/794619/000079461913000024/0000794619-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461914000016/0000794619-14-000016-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461915000137/0000794619-15-000137-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461916000374/0000794619-16-000374-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461917000087/0000794619-17-000087-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461918000077/0000794619-18-000077-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461919000046/0000794619-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461920000047/0000794619-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/794619/000079461921000046/0000794619-21-000046-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1200000,1400000,1200000,2800000,1200000,600000,400000,1800000,500000,2900000,7200000,17339000,23925000,14165000,4183000,1714000,13083000,15512000,29432000,24406000,47955000,58125000,56932000,82821000,53233000,55420000,66620000,96971000,135700000,149541000,174463000,176978000,78410000,57656000,97059000,91071000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35500000,25750000,51750000,8000000,1500000,- -,- -
33,Cash and Short-Term Investments,1200000,1400000,1200000,2800000,1200000,600000,400000,1800000,500000,2900000,7200000,17339000,23925000,14165000,4183000,1714000,13083000,15512000,29432000,24406000,47955000,58125000,56932000,82821000,53233000,55420000,66620000,96971000,135700000,185041000,200213000,228728000,86410000,59156000,97059000,91071000
34,Net Receivables,10700000,12000000,11200000,16500000,17100000,15100000,14100000,17300000,18800000,19600000,19700000,20488000,27365000,38925000,35813000,29410000,32246000,40615000,48286000,52877000,53514000,38074000,27744000,26944000,38217000,34866000,35056000,39044000,46475000,46142000,55813000,63115000,162351000,126910000,106344000,146866000
35,Inventory,12400000,14400000,17400000,19900000,16200000,16100000,17800000,14300000,11700000,10800000,10300000,10356000,11884000,18008000,22739000,30267000,34872000,44986000,54921000,65213000,68522000,56349000,46981000,32684000,25239000,24471000,22340000,29338000,31523000,35988000,39319000,42859000,104801000,108528000,111836000,140282000
36,Other Current Assets,700000,900000,2400000,2000000,2700000,3300000,4200000,2000000,1400000,2900000,1500000,1660000,2400000,3423000,4900000,6488000,10310000,11239000,12019000,14158000,13608000,11260000,11731000,11089000,6355000,5659000,7086000,12565000,11718000,14324000,6864000,4526000,10805000,11441000,9933000,13861000
37,Total Current Assets,25000000,28700000,32200000,41200000,37200000,35100000,36500000,35400000,32400000,36200000,38700000,49843000,65574000,74521000,67635000,67879000,90511000,112352000,144658000,156654000,183599000,163808000,143388000,153538000,123044000,120416000,131102000,177918000,225416000,281495000,302209000,339228000,364367000,306035000,325172000,392080000
38,PP&E,20900000,34800000,51600000,48900000,44800000,42200000,43000000,39200000,35400000,33700000,33200000,32252000,34522000,53739000,86954000,93641000,122405000,136551000,143136000,185513000,175384000,166821000,150840000,132928000,114107000,100628000,75375000,74064000,74049000,85516000,99332000,107933000,218102000,208263000,331492000,327120000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,767451000,767612000,767612000,767612000
40,Intangible Assets,- -,- -,- -,- -,900000,600000,700000,700000,800000,800000,500000,727000,781000,2290000,- -,- -,- -,906000,964000,1011000,1056000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267667000,218666000,169666000,121778000
41,Intangible Assets,- -,- -,- -,- -,900000,600000,700000,700000,800000,800000,500000,727000,781000,2290000,- -,- -,- -,906000,964000,1011000,1056000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1035118000,986278000,937278000,889390000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12793000,11738000,7330000,5073000,- -,- -,- -,18250000,20500000,1500000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1393000,13440000,21178000,34969000,29262000,19194000,23821000,32574000,18047000,732000,773000,915000,1118000
44,Other Non-Current Assets,300000,500000,900000,700000,800000,1000000,2100000,3200000,3700000,3700000,3900000,4335000,5604000,10059000,12067000,18848000,21306000,12919000,18293000,17990000,17504000,18066000,20571000,3085000,20104000,18818000,18602000,12749000,11405000,8072000,14328000,15565000,25526000,28582000,27949000,26806000
