,https://roic.ai/company/AMWD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,923000,3814000,5869000,5113000,723000,6301000,-858000,-4775000,-6237000,32752000
81,Other Working Capital,- -,- -,- -,- -,18900000,15300000,8400000,6500000,9700000,14200000,15400000,23442000,31367000,29486000,22051000,22660000,26114000,48554000,69338000,74112000,100526000,95748000,87354000,95371000,73465000,69572000,71881000,108810000,148997000,196705000,209896000,237731000,193912000,156445000,169566000,1226000
82,Other Non-Cash Items,- -,- -,- -,- -,400000,3100000,5300000,5700000,-2400000,-7100000,-800000,-8351000,-12163000,-12923000,-613000,-18360000,-5614000,-47505000,-39906000,-9883000,-28655000,26089000,22189000,7767000,16071000,14674000,20020000,-45871000,-45077000,-44941000,-26862000,-54004000,-2052000,54943000,-1443000,46400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,9500000,2300000,-1400000,9500000,10600000,10900000,11700000,17404000,16344000,12474000,21252000,21491000,53450000,39181000,40978000,65674000,66629000,91006000,47639000,46812000,1292000,13196000,16053000,24527000,40535000,58737000,71778000,77080000,86775000,190845000,177542000,151763000
84,CAPEX,- -,- -,- -,- -,-2800000,-3300000,-5000000,-2800000,-3400000,-3900000,-5000000,-4537000,-7304000,-21691000,-40787000,-17445000,-39829000,-28918000,-22755000,-61054000,-13243000,-14681000,-8252000,-4824000,-2861000,-4952000,-6679000,-8860000,-7903000,-20015000,-28685000,-21811000,-47590000,-32128000,-31670000,-35734000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57200000,-7182000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9005000,-8737000,-3456000,-3310000,- -,- -,-35500000,-46750000,-85000000,-25000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2939000,- -,- -,- -,- -,38250000,56750000,87750000,8000000,1500000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,600000,-1400000,900000,1100000,500000,200000,85000,67000,39000,16000,26000,27000,39000,5000,-12705000,-13380000,-13465000,-10778000,64000,131000,3000,71000,2743000,-1680000,-1091000,-3588000,-3683000,-2276000,-6613000,-8746000,-6695000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2800000,-2700000,-6400000,-1900000,-2300000,-3400000,-4800000,-4452000,-7237000,-21652000,-40771000,-17419000,-39802000,-28879000,-22750000,-73759000,-26623000,-28146000,-19030000,-13765000,-11467000,-5466000,-9918000,-6117000,-9583000,-56606000,-40773000,-53744000,-44316000,-37923000,-38916000,-42429000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-864000,-10859000,-892000,-1021000,-1019000,-4516000,-1309000,-1547000,-11731000,-96572000,-122205000,-98468000,-441041000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,200000,366000,562000,507000,324000,512000,4674000,824000,471000,2465000,1815000,13242000,1099000,152000,743000,399000,18000,5878000,15330000,14268000,8114000,2366000,1289000,500000,295000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-10300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-493000,-3544000,-9844000,-2228000,-11521000,-15267000,-62897000,-24783000,-2457000,- -,- -,- -,- -,-3141000,-5053000,-16593000,-13407000,-29000000,-50000000,- -,-20000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-461000,-853000,-1180000,-1513000,-1612000,-1638000,-1635000,-1619000,-1897000,-1959000,-3297000,-4771000,-5060000,-5090000,-5130000,-1287000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,1900000,-200000,7500000,-6300000,-9600000,-5200000,-2800000,-2719000,-2230000,91000,10726000,-4948000,-1771000,2782000,-932000,14012000,-1046000,262000,-1347000,1071000,-4207000,80000,7355000,7082000,104000,3804000,3943000,1951000,-16744000,-1971000,-1050000,345719000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-8400000,-200000,7500000,-6300000,-9600000,-5100000,-2600000,-2814000,-2521000,-582000,9537000,-6541000,-2279000,-7873000,-4308000,3059000,-16457000,-52690000,-29802000,-7158000,-19413000,-5543000,5065000,11941000,7777000,11710000,-6083000,-20821000,-141027000,-173676000,-99223000,-115322000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10138000,6586000,-9760000,-9982000,-2469000,11369000,2429000,13920000,-5026000,23549000,10170000,-1193000,25889000,-29588000,2187000,11200000,30351000,38729000,13841000,24922000,2515000,-98568000,-20754000,39403000,-5988000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17339000,23925000,14165000,4183000,1714000,13083000,15512000,29432000,24406000,47955000,58125000,56932000,82821000,53233000,55420000,66620000,96971000,135700000,149541000,174463000,176978000,78410000,57656000,97059000,91071000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2800000,1200000,600000,400000,1800000,500000,2900000,7201000,17339000,23925000,14165000,4183000,1714000,13083000,15512000,29432000,24406000,47955000,58125000,56932000,82821000,53233000,55420000,66620000,96971000,135700000,149541000,174463000,176978000,78410000,57656000,97059000
100,Free Cash Flow,- -,- -,- -,- -,6700000,-1000000,-6400000,6700000,7200000,7000000,6700000,12867000,9040000,-9217000,-19535000,4046000,13621000,10263000,18223000,4620000,53386000,76325000,39387000,41988000,-1569000,8244000,9374000,15667000,32632000,38722000,43093000,55269000,39185000,158717000,145872000,116029000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794619/0000794619-96-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794619/000079461900500009/0000794619-00-500009-index.html,https://www.sec.gov/Archives/edgar/data/794619/000095010901502222/d10k405.txt,https://www.sec.gov/Archives/edgar/data/794619/000091664102001084/0000916641-02-001084-index.html,https://www.sec.gov/Archives/edgar/data/794619/000119312503018991/d10k.htm,https://www.sec.gov/Archives/edgar/data/794619/000119312504117768/d10k.htm,https://www.sec.gov/Archives/edgar/data/794619/000119312505141904/d10k.htm,https://www.sec.gov/Archives/edgar/data/794619/000119312506145097/d10k.htm,https://www.sec.gov/Archives/edgar/data/794619/000119312507153789/0001193125-07-153789-index.html,https://www.sec.gov/Archives/edgar/data/794619/000119312508149242/0001193125-08-149242-index.html,https://www.sec.gov/Archives/edgar/data/794619/000119312509141647/0001193125-09-141647-index.html,https://www.sec.gov/Archives/edgar/data/794619/000119312510151335/0001193125-10-151335-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461911000012/0000794619-11-000012-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461912000019/awcfy1210k.htm,https://www.sec.gov/Archives/edgar/data/794619/000079461913000024/0000794619-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461914000016/0000794619-14-000016-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461915000137/0000794619-15-000137-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461916000374/0000794619-16-000374-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461917000087/0000794619-17-000087-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461918000077/0000794619-18-000077-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461919000046/0000794619-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/794619/000079461920000047/0000794619-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/794619/000079461921000046/0000794619-21-000046-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
