,https://roic.ai/company/FIZZ,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,74700000,70600000,74000000,76000000,77100000,93000000,104700000,112300000,118200000,132500000,137000000,136500000,138700000,130037000,132800000,134700000,137500000,131100000,145600000,155885000,146400000,146800000,154500000,144427000,148384000,163252000,185646000,200473000,204394000,193791000
11,COGS and Expenses,315700000,311000000,325000000,330300000,331900000,368500000,379800000,381100000,404400000,456200000,476000000,472000000,482000000,470243000,481900000,500500000,530900000,536400000,542100000,537424000,562000000,591600000,578000000,571112000,611732000,664093000,770245000,830228000,834648000,844385000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000,37000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000,- -,- -,- -,107000,120000,99000,107000,403000,660000,371000,203000,189000,201000,202000,- -,- -
14,Depreciation and Amortization,6500000,6900000,7200000,7400000,7100000,7800000,9300000,9900000,10163000,11739000,11750000,11319000,11394000,12464000,13587000,11650000,11584000,11782000,12350000,11356000,10651000,11002000,11708000,11580000,12056000,12834000,13226000,15439000,30585000,31157000
15,EBITDA,18700000,6500000,23400000,21500000,21600000,24800000,30200000,31000000,32063000,35939000,38620000,39791000,41502000,38992000,48453000,50174000,46682000,50644000,63902000,74105000,77661000,81836000,75442000,86664000,104964000,175848000,218916000,199518000,200040000,259294000
16,EBITDA ratio,0.0557,0.0195,0.0673,0.0617,0.0616,0.0643,0.0754,0.0771,0.0752,0.0748,0.0768,0.0795,0.0810,0.0787,0.0938,0.0931,0.0825,0.0880,0.1077,0.1235,0.1235,0.1236,0.1177,0.1342,0.1489,0.2127,0.2244,0.1967,0.2000,0.2418
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25329000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165746000,227825000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0511,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1657,0.2125
19,Total Other Income Expenses (Gains),-7900000,-22000000,-16500000,-4300000,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,1093000,- -,- -,- -,- -,- -,-119000,- -,- -,- -,- -,-348000,- -,- -,- -,3709000,312000
20,Income Before Tax,12200000,-400000,6200000,14100000,14500000,17000000,20900000,21000000,21900000,24200000,26800000,28500000,30100000,26422000,34900000,38500000,35100000,38800000,51400000,62650000,66900000,70500000,63100000,74713000,92705000,162825000,205489000,183877000,169455000,228137000
21,Income Before Tax Ratio,0.0363,-0.0012,0.0178,0.0404,0.0414,0.0441,0.0522,0.0522,0.0514,0.0504,0.0533,0.0570,0.0588,0.0533,0.0675,0.0714,0.0620,0.0675,0.0866,0.1044,0.1064,0.1065,0.0984,0.1157,0.1315,0.1969,0.2106,0.1813,0.1694,0.2128
22,Income Tax expense (Gain),6600000,5600000,2700000,5500000,5500000,6300000,7800000,7900000,8300000,9200000,10270000,10872000,11408000,9536000,12666000,13824000,12598000,14055000,18532000,21896000,22903000,23531000,19474000,25402000,31507000,55780000,55715000,43024000,39483000,53991000
23,Net Income,5600000,-6000000,13500000,8600000,9000000,10700000,13100000,13200000,13600000,15000000,16600000,17600000,18700000,16886000,22200000,24700000,22500000,24700000,32900000,40754000,44000000,46900000,43600000,49311000,61198000,107045000,149774000,140853000,129972000,174146000
24,Net Income ratio,0.0167,-0.0180,0.0388,0.0247,0.0257,0.0278,0.0327,0.0328,0.0319,0.0312,0.0330,0.0352,0.0365,0.0341,0.0430,0.0458,0.0398,0.0429,0.0554,0.0679,0.0700,0.0708,0.0680,0.0764,0.0868,0.1295,0.1535,0.1389,0.1299,0.1624
25,EPS,0.06,-0.07,0.14,0.09,0.09,0.12,0.15,0.15,0.15,0.17,0.19,0.20,0.21,0.19,0.25,0.27,0.24,0.27,0.35,0.44,0.47,0.51,0.47,0.53,0.66,1.15,1.60,1.51,1.40,1.87
26,EPS Diluted,0.06,-0.07,0.14,0.08,0.09,0.12,0.14,0.14,0.15,0.17,0.18,0.19,0.20,0.18,0.24,0.27,0.24,0.27,0.35,0.44,0.47,0.51,0.46,0.53,0.66,1.15,1.59,1.50,1.39,1.86
27,Weighted Average Shares Outstanding,99595394,94704548,86295388,87840014,78576885,91723200,88689600,88675200,87940800,87168000,87417600,88320000,88648800,90189600,90734400,91526000,91788000,91998000,92130000,92376000,92534000,92620000,92662000,92706000,92904000,93128000,93196000,93266000,93256000,93280000
28,Weighted Average Shares Outstanding Diluted,99595394,94704548,86295388,90036014,80404255,91723200,92750400,92534400,91286400,90432000,91161600,91488000,91598400,91809600,91891200,92146000,92218000,92382000,92588000,92746000,92896000,92964000,93038000,93118000,93342000,93540000,93842000,93834000,93656000,93620000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69891/000095014497008440/0000950144-97-008440-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69891/000095014402007672/0000950144-02-007672-index.html,https://www.sec.gov/Archives/edgar/data/69891/000095014403009157/g84100e10vk.htm,https://www.sec.gov/Archives/edgar/data/69891/000095014404007513/g90168e10vk.htm,https://www.sec.gov/Archives/edgar/data/69891/000095014405007936/g96512e10vk.htm,https://www.sec.gov/Archives/edgar/data/69891/000095014406007084/g02587e10vk.htm,https://www.sec.gov/Archives/edgar/data/69891/000095014407006550/0000950144-07-006550-index.html,https://www.sec.gov/Archives/edgar/data/69891/000095014408005567/0000950144-08-005567-index.html,https://www.sec.gov/Archives/edgar/data/69891/000095012309022773/0000950123-09-022773-index.html,https://www.sec.gov/Archives/edgar/data/69891/000095012310065795/0000950123-10-065795-index.html,https://www.sec.gov/Archives/edgar/data/69891/000143774911004830/0001437749-11-004830-index.html,https://www.sec.gov/Archives/edgar/data/69891/000143774912006867/0001437749-12-006867-index.html,https://www.sec.gov/Archives/edgar/data/69891/000143774913008687/0001437749-13-008687-index.html,https://www.sec.gov/Archives/edgar/data/69891/000143774914012942/0001437749-14-012942-index.html,https://www.sec.gov/Archives/edgar/data/69891/000143774915013692/0001437749-15-013692-index.html,https://www.sec.gov/Archives/edgar/data/69891/000143774916035243/fizz20160430_10k.htm,https://www.sec.gov/Archives/edgar/data/69891/000143774917012545/0001437749-17-012545-index.html,https://www.sec.gov/Archives/edgar/data/69891/000143774918012472/0001437749-18-012472-index.html,https://www.sec.gov/Archives/edgar/data/69891/000143774919012816/0001437749-19-012816-index.html,https://www.sec.gov/Archives/edgar/data/69891/000143774920014395/0001437749-20-014395-index.htm,https://www.sec.gov/Archives/edgar/data/69891/000143774921016078/0001437749-21-016078-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
