,https://roic.ai/company/LOW,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2072600000,2283500000,2442200000,2516900000,2650500000,2833100000,3056200000,3846400000,4538000000,6110500000,7075400000,8600200000,10136900000,12245000000,15906000000,18779000000,22111000000,26491000000,30838000000,36464000000,43243000000,46927000000,48283000000,48230000000,47220000000,48815000000,50208000000,50521000000,53417000000,56223000000,59074000000,65017000000,68619000000,71309000000,72148000000,89597000000,24422000
2,COGS,1560400000,1724400000,1858200000,1916400000,2004200000,2130400000,2321000000,2945800000,3456700000,4594800000,5308600000,6374800000,7446900000,8950000000,11525000000,13488000000,15743000000,18465000000,21231000000,24165000000,28453000000,30729000000,31556000000,31729000000,30757000000,31663000000,32858000000,33194000000,34941000000,36665000000,38504000000,43343000000,46185000000,48401000000,49205000000,60025000000,16292000
3,Gross Profit,512200000,559100000,584000000,600500000,646300000,702700000,735200000,900600000,1081300000,1515700000,1766800000,2225400000,2690000000,3295000000,4381000000,5291000000,6368000000,8026000000,9607000000,12299000000,14790000000,16198000000,16727000000,16501000000,16463000000,17152000000,17350000000,17327000000,18476000000,19558000000,20570000000,21674000000,22434000000,22908000000,22943000000,29572000000,8130000
4,Gross Profit Ratio,0.2471,0.2448,0.2391,0.2386,0.2438,0.2480,0.2406,0.2341,0.2383,0.2480,0.2497,0.2588,0.2654,0.2691,0.2754,0.2818,0.2880,0.3030,0.3115,0.3373,0.3420,0.3452,0.3464,0.3421,0.3486,0.3514,0.3456,0.3430,0.3459,0.3479,0.3482,0.3334,0.3269,0.3212,0.3180,0.3301,0.3329
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1014600000,1176900000,1454700000,1824800000,2190000000,2871000000,3480000000,4053000000,- -,5671000000,7685000000,9156000000,9884000000,10656000000,11176000000,11623000000,11935000000,12205000000,12167000000,- -,13253000000,14105000000,14375000000,14444000000,16285000000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",366100000,406800000,435100000,432700000,472200000,505900000,583800000,653800000,746300000,1014600000,1176900000,1454700000,1824800000,2189800000,2870876000,3479885000,4053225000,4859000000,5671000000,7685000000,9156000000,9884000000,10656000000,11176000000,11737000000,12006000000,12593000000,12244000000,12865000000,13281000000,14115000000,15129000000,15376000000,17413000000,15367000000,18526000000,18301000000
9,Other Expenses,21800000,30500000,38500000,41200000,46100000,51400000,58300000,69800000,80500000,112900000,153600000,199800000,241100000,346200000,446124000,529115000,690775000,626000000,938000000,1078000000,1138000000,1316000000,1560000000,1819000000,1901000000,1918000000,1851000000,1946000000,1462000000,1955000000,1484000000,699000000,936000000,1477000000,1262000000,1399000000,- -
