,https://roic.ai/company/ENS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,339340000,859643000,969079000,1083862000,1283265000,1504474000,2026640000,1972867000,1579385000,1964462000,2283369000,2277559000,2474433000,2505512000,2316249000,2367149000,2581891000,2808017000,3087868000,2977932000
2,COGS,271596000,653998000,722825000,828447000,1006467000,1193266000,1644753000,1559433000,1218481000,1514618000,1770664000,1708203000,1844813000,1864601000,1704472000,1716524000,1924951000,2114991000,2303002000,2238782000
3,Gross Profit,67744000,205645000,246254000,255415000,276798000,311208000,381887000,413434000,360904000,449844000,512705000,569356000,629620000,640911000,611777000,650625000,656940000,693026000,784866000,739150000
4,Gross Profit Ratio,0.1996,0.2392,0.2541,0.2357,0.2157,0.2069,0.1884,0.2096,0.2285,0.2290,0.2245,0.2500,0.2545,0.2558,0.2641,0.2749,0.2544,0.2468,0.2542,0.2482
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,179015000,199900000,221102000,249350000,256507000,235597000,259217000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,150618000,170412000,179015000,199900000,221102000,249350000,256507000,235597000,259217000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,53514000,51000,21198000,- -,- -,-3753000,- -,-11308000,-2919000,- -,297806000,312324000,344421000,358381000,352767000,369863000,382077000,441415000,529643000,482401000
10,Operating Expenses,53514000,150669000,191610000,179015000,199900000,217349000,249350000,245199000,232678000,259217000,297806000,312324000,344421000,358381000,352767000,369863000,382077000,441415000,529643000,482401000
11,COGS and Expenses,325110000,804667000,914435000,1007462000,1206367000,1410615000,1894103000,1804632000,1451159000,1773835000,2068470000,2020527000,2189234000,2222982000,2057239000,2086387000,2307028000,2556406000,2832645000,2721183000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,22646000,22658000,22038000,16484000,18719000,17105000,19644000,22343000,22197000,25001000,30868000,43673000,38436000
14,Depreciation and Amortization,- -,38002000,39047000,41541000,43270000,47358000,49215000,49095000,44851000,44393000,50360000,50502000,53972000,57040000,55994000,53945000,54317000,63348000,87344000,94082000
15,EBITDA,-41982000,73209000,46840000,91283000,88073000,110460000,135410000,194928000,154764000,217875000,258139000,301004000,238385000,325686000,264600000,290828000,317405000,276039000,277954000,302653000
16,EBITDA ratio,-0.1237,0.0852,0.0483,0.0842,0.0686,0.0734,0.0668,0.0988,0.0980,0.1109,0.1131,0.1322,0.0963,0.1300,0.1142,0.1229,0.1229,0.0983,0.0900,0.1016
17,Operating Income,-49115000,54976000,54644000,76400000,68345000,93859000,119346000,142445000,114297000,183814000,210811000,249868000,194510000,263381000,209999000,235861000,269382000,212465000,190195000,216375000
