,https://roic.ai/company/SBUX,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,57700000,93100000,163500000,284900000,465200000,698000000,975000000,1309000000,1687000000,2178000000,2648980000,3289000000,4076000000,5294000000,6369000000,7787000000,9411497000,10383000000,9775000000,10707000000,11700000000,13299500000,14867000000,16448000000,19162700000,21315900000,22386800000,24719500000,26508600000,23518000000,29060600000
2,COGS,46900000,75000000,131200000,127300000,371700000,337000000,437000000,578000000,748000000,962000000,2081584000,1347000000,1681000000,2191000000,2605000000,3179000000,7215013000,4645000000,4325000000,4417000000,4916000000,5813300000,6382000000,6859000000,13198600000,14575400000,15531500000,17367700000,19020500000,18458900000,20669600000
3,Gross Profit,10800000,18100000,32300000,157600000,93500000,361000000,538000000,731000000,939000000,1216000000,567396000,1942000000,2395000000,3103000000,3764000000,4608000000,2196484000,5738000000,5450000000,6290000000,6784000000,7486200000,8485000000,9589000000,5964100000,6740500000,6855300000,7351800000,7488100000,5059100000,8391000000
4,Gross Profit Ratio,0.1872,0.1944,0.1976,0.5532,0.2010,0.5172,0.5518,0.5584,0.5566,0.5583,0.2142,0.5905,0.5876,0.5861,0.5910,0.5918,0.2334,0.5526,0.5575,0.5875,0.5798,0.5629,0.5707,0.5830,0.3112,0.3162,0.3062,0.2974,0.2825,0.2151,0.2887
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,249000000,371000000,496000000,633000000,815000000,151416000,1344000000,1624000000,2094000000,2528000000,3167000000,783385000,4201000000,3878000000,4177000000,4344000000,4719300000,5224000000,5630000000,1196700000,1360600000,1393300000,1759000000,1824100000,1679600000,1932600000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4900000,8100000,12500000,121900000,28600000,37300000,57100000,77600000,89700000,110202000,151416000,202161000,1765470000,304293000,357114000,473023000,783385000,786100000,3878100000,4120900000,4301200000,4719300000,937900000,991300000,1196700000,1360600000,1393300000,1759000000,1824100000,1679600000,1932600000
9,Other Expenses,2900000,3600000,6800000,12500000,24800000,266700000,394900000,543400000,692300000,892798000,134886000,1425839000,208530000,2192707000,2626886000,3240977000,359154000,4447900000,1009900000,750100000,754800000,980200000,7749100000,5516700000,836900000,1208000000,1327300000,1786300000,963300000,1861600000,1801200000
10,Operating Expenses,7800000,11700000,19300000,134400000,53400000,304000000,452000000,621000000,782000000,1003000000,286302000,1628000000,1974000000,2497000000,2984000000,3714000000,1142539000,5234000000,4888000000,4871000000,5056000000,5699500000,8687000000,6508000000,2033600000,2568600000,2720600000,3545300000,2787400000,3541200000,3733800000
11,COGS and Expenses,54700000,86700000,150500000,261700000,425100000,641000000,889000000,1199000000,1530000000,1965000000,2367886000,2975000000,3655000000,4688000000,5589000000,6893000000,8357552000,9879000000,9213000000,9288000000,9972000000,11512800000,15069000000,13367000000,15232200000,17144000000,18252100000,20913000000,21807900000,22000100000,24403400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36300000,50300000,115900000,94400000,123600000,142700000,43000000,108000000,275300000,191400000,96500000,39700000,90100000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39100000,32700000,33300000,32700000,28100000,64100000,70500000,81300000,92500000,170300000,331000000,437000000,469800000
14,Depreciation and Amortization,2900000,3600000,6800000,12500000,24800000,39400000,58200000,80900000,107500000,142171000,177087000,221141000,259271000,304820000,367207000,414638000,491891000,604500000,563300000,540800000,550000000,580600000,655600000,748400000,933800000,1030100000,1067100000,1305900000,1449300000,1503200000,1524100000
15,EBITDA,5800000,10200000,20700000,30200000,67900000,107400000,149200000,196900000,271500000,303171000,466009000,558141000,691271000,925820000,1163207000,1303638000,1548255000,1064500000,1161400000,2008200000,2392400000,2671500000,453000000,3972500000,4905400000,5308800000,5476900000,7256500000,6251100000,3108200000,7349800000
