,https://roic.ai/company/AMS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3400000,3200000,5000000,8900000,15800000,19800000,17900000,29300000,20700000,16200000,17200000,12300000,12299000,10672000,3419000,4923000,6176000,9222000,10027000,10026000,11083000,6156000,6592000,4323000,4270000,4240000,4041000,4045000,4025000,3630000,3496000,3802000,4323000,3994000,4060000,4608000,5375000
11,COGS and Expenses,6300000,5900000,14100000,36800000,48200000,56400000,51000000,51400000,49200000,40100000,41100000,33400000,32945000,30942000,3968000,6090000,7530000,11149000,13202000,13111000,14760000,10656000,19946000,15200000,14051000,13706000,18265000,14163000,14665000,13768000,13329000,13707000,15216000,16222000,17745000,17979000,16277000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000,- -,804000,480000,171000,121000,102000,202000,308000,328000,404000,60000,107000,108000,190000,25000,28000,18000,15000,3000,198000,16000,10000,- -
13,Interest Expense (Gain),1400000,1000000,- -,3500000,7800000,8600000,8500000,7500000,6800000,7400000,5300000,4200000,- -,3186000,- -,2118000,2456000,2437000,2547000,2261000,2075000,2161000,1946000,2437000,2064000,2104000,2367000,2155000,1799000,1699000,1239000,1707000,1927000,1631000,1318000,1057000,739000
14,Depreciation and Amortization,2100000,2000000,2400000,3300000,8200000,11000000,10800000,9900000,8600000,10200000,8800000,7000000,6752000,6095000,1621000,2357000,3003000,3529000,4313000,4892000,5502000,5963000,6111000,6715000,6492000,6001000,6272000,6096000,6410000,6383000,6190000,6327000,6677000,6818000,7411000,6970000,59
15,EBITDA,3000000,3300000,3600000,8600000,12300000,16000000,18800000,7800000,-200000,12500000,21400000,10800000,8284000,30845000,3612000,5787000,6960000,7523000,9029000,9550000,10124000,10982000,9927000,10163000,8615000,8328000,9353000,8396000,7981000,7259000,6341000,9907000,9424000,9923000,9516000,-768000,1202059
16,EBITDA ratio,0.4478,0.4714,0.2308,0.2161,0.2515,0.2649,0.3186,0.1598,-0.0051,0.3247,0.6276,0.2919,0.2229,0.8772,0.5048,0.6199,0.5919,0.5628,0.5581,0.5827,0.5553,0.5387,0.4388,0.5321,0.5138,0.4994,0.4209,0.4925,0.4539,0.4708,0.3832,0.5298,0.4819,0.5033,0.4618,-0.0431,0.0682
17,Operating Income,400000,1100000,1500000,3000000,700000,4000000,8000000,-2600000,-9700000,-1600000,-7000000,3600000,4227000,4220000,3188000,3246000,4228000,2217000,2976000,3278000,3471000,3864000,2676000,1462000,653000,865000,1589000,730000,1120000,-50000,1980000,3286000,2413000,1861000,1542000,-9463000,1351000
18,Operating Income ratio,0.0597,0.1571,0.0962,0.0754,0.0143,0.0662,0.1356,-0.0533,-0.2456,-0.0416,-0.2053,0.0973,0.1137,0.1200,0.4455,0.3477,0.3596,0.1659,0.1840,0.2000,0.1904,0.1896,0.1183,0.0765,0.0389,0.0519,0.0715,0.0428,0.0637,-0.0032,0.1197,0.1757,0.1234,0.0944,0.0748,-0.5305,0.0766
19,Total Other Income Expenses (Gains),500000,-800000,-300000,-1200000,-4400000,1100000,700000,-7000000,800000,3500000,-100000,200000,-2695000,17344000,-1197000,-1934000,-2727000,-660000,-807000,-881000,-924000,-1006000,-806000,-451000,60000,107000,108000,190000,-1149000,-383000,-2122000,-93000,-576000,220000,16000,10000,-404000
20,Income Before Tax,- -,300000,1200000,1800000,-3700000,- -,- -,-9600000,- -,- -,- -,- -,1532000,21564000,1991000,1312000,1501000,1557000,2169000,2397000,2547000,2858000,1870000,1011000,713000,972000,1697000,920000,-29000,-433000,-142000,3193000,1837000,2081000,1558000,-9453000,947000
21,Income Before Tax Ratio,- -,0.0429,0.0769,0.0452,-0.0757,- -,- -,-0.1967,- -,- -,- -,- -,0.0412,0.6133,0.2782,0.1405,0.1277,0.1165,0.1341,0.1463,0.1397,0.1402,0.0827,0.0529,0.0425,0.0583,0.0764,0.0540,-0.0016,-0.0281,-0.0086,0.1707,0.0939,0.1056,0.0756,-0.5300,0.0537
22,Income Tax expense (Gain),- -,100000,300000,200000,-400000,- -,100000,-100000,- -,- -,- -,- -,10000,1513000,-716000,- -,433000,455000,787000,412000,780000,1202000,919000,534000,247000,166000,208000,107000,84000,129000,434000,943000,-1103000,451000,128000,-1737000,269000
23,Net Income,-500000,200000,900000,1600000,-3300000,-3600000,- -,-9500000,-15600000,-5100000,7300000,-400000,1522000,20051000,2707000,1312000,1068000,1102000,1382000,1985000,1767000,1656000,951000,477000,-188000,57000,506000,38000,-312000,-952000,-1522000,930000,1923000,1023000,659000,-7058000,194000
24,Net Income ratio,-0.0746,0.0286,0.0577,0.0402,-0.0675,-0.0596,- -,-0.1947,-0.3949,-0.1325,0.2141,-0.0108,0.0409,0.5702,0.3783,0.1405,0.0908,0.0824,0.0854,0.1211,0.0969,0.0812,0.0420,0.0250,-0.0112,0.0034,0.0228,0.0022,-0.0177,-0.0618,-0.0920,0.0497,0.0983,0.0519,0.0320,-0.3957,0.0110
25,EPS,-0.24,0.11,0.42,0.64,-1.16,-1.30,0.01,-3.39,-5.46,-1.80,1.75,-0.08,0.32,4.23,0.68,0.34,0.30,0.30,0.36,0.46,0.36,0.33,0.19,0.10,-0.04,0.01,0.11,0.01,-0.07,-0.19,-0.28,0.17,0.33,0.18,0.11,-1.14,0.03
26,EPS Diluted,-0.24,0.11,0.42,0.64,-1.16,-1.30,0.01,-3.39,-5.46,-1.80,1.75,-0.08,0.24,3.15,0.48,0.24,0.21,0.22,0.27,0.39,0.35,0.33,0.19,0.10,-0.04,0.01,0.11,0.01,-0.07,-0.19,-0.28,0.17,0.33,0.17,0.11,-1.14,0.03
27,Weighted Average Shares Outstanding,2083333,1818182,2142857,2500000,2844828,2769231,2752000,2802360,2857143,2867000,4201000,4498000,4756250,4740189,3980882,3858824,3560000,3673333,3838889,4315217,4908333,5018182,5005263,4990000,4700000,4596000,4607000,4609000,4457143,5010526,5435714,5470588,5827273,5683333,5919000,6182000,6182000
28,Weighted Average Shares Outstanding Diluted,2083333,1818182,2142857,2500000,2844828,2769231,2752000,2802360,2857143,2867000,4204000,4498000,6309000,4769384,3980882,3858824,3560000,4853846,4800000,5089744,5048571,5018182,5005263,4992000,4700000,4612000,4622000,4630000,4457143,5010526,5435714,5470588,5827273,6017647,5930000,6182000,6182000
