,https://roic.ai/company/AMS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744825/000095014903000733/f87890e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095013404004283/f97562e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095014905000116/f07365e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095013406006314/f18881e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095013407007237/0000950134-07-007237-index.html,https://www.sec.gov/Archives/edgar/data/744825/000095013408005643/f39302e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095013409006565/0000950134-09-006565-index.html,https://www.sec.gov/Archives/edgar/data/744825/000095012310030745/0000950123-10-030745-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420411018922/v216530_10k.htm,https://www.sec.gov/Archives/edgar/data/744825/000114420412018468/0001144204-12-018468-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420413018676/0001144204-13-018676-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420414019552/v371940_10k.htm,https://www.sec.gov/Archives/edgar/data/744825/000114420415020527/0001144204-15-020527-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420416091106/0001144204-16-091106-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420417016805/0001144204-17-016805-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420418017461/0001144204-18-017461-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420419016999/0001144204-19-016999-index.html,https://www.sec.gov/Archives/edgar/data/744825/000074482520000024/ams-20191231.htm,https://www.sec.gov/Archives/edgar/data/744825/000074482521000030/0000744825-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/744825/000143774922007687/0001437749-22-007687-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-500000,200000,- -,1600000,-3300000,-3600000,- -,-9500000,-15600000,-5100000,7300000,-400000,1522000,20051000,2707000,1312000,1068000,1102000,1382000,1985000,1767000,1656000,951000,477000,-188000,57000,506000,38000,-312000,-952000,-1522000,930000,1923000,1023000,659000,-7058000,678000
74,Depreciation and Amortization,2100000,2000000,- -,3300000,8200000,11000000,10800000,9900000,8600000,10200000,8800000,7000000,6752000,6095000,1621000,2357000,3003000,3529000,4313000,4892000,5502000,5963000,6111000,6715000,6492000,6001000,6272000,6096000,6410000,6383000,6190000,6327000,6677000,6818000,7411000,6970000,59000
75,Deferred Income Tax,- -,- -,- -,- -,-400000,- -,- -,-100000,- -,- -,- -,- -,- -,-164000,- -,- -,383000,207000,669000,264000,121000,852000,536000,365000,409000,168000,76000,25000,59000,76000,298000,772000,-1266000,48000,-444000,-2162000,60000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137000,135000,110000,125000,74000,88000,138000,226000,215000,323000,223000,230000,299000,- -
77,Change in Working Capital,- -,900000,- -,27000000,-21800000,-9500000,-300000,-29200000,-23400000,23200000,26600000,-4100000,2861000,17127000,2037000,-970000,-804000,-2176000,-1907000,-551000,-2294000,-2964000,1288000,-952000,6702000,1134000,40000,-1368000,-10382000,2075000,-687000,2398000,179000,586000,2056000,-4058000,10726000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,655000,-643000,1069000,178000,-1230000,-860000,-420000,-1187000,2966000,- -
79,Inventory,- -,- -,- -,- -,200000,100000,-100000,200000,200000,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000,263000,851000
81,Other Working Capital,-300000,600000,- -,27600000,5800000,-3700000,-4000000,-33200000,-56600000,-33400000,-6800000,-10900000,-8039000,9088000,11125000,10155000,9351000,7175000,5268000,4717000,2423000,-541000,747000,-205000,6497000,7631000,7671000,6303000,-4079000,-2004000,-2691000,-293000,-114000,472000,2528000,-1530000,9196000
82,Other Non-Cash Items,-1600000,-3100000,- -,-31900000,22800000,9600000,2100000,38300000,39900000,-23200000,-37800000,6300000,-3864000,-35378000,-2778000,-184000,516000,1526000,3683000,1018000,3384000,3657000,-402000,2205000,-5846000,-286000,-196000,2006000,12213000,-947000,4043000,-2264000,17000,-636000,-1865000,15754000,-5256000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,5500000,7500000,12600000,9400000,9500000,5100000,4900000,8800000,7271000,7731000,3587000,2515000,4166000,4188000,8140000,7608000,8480000,9164000,8484000,8947000,7704000,7184000,6823000,6871000,8076000,6773000,8548000,8378000,7853000,8062000,8047000,9745000,6267000
84,CAPEX,- -,- -,- -,- -,-4700000,-1900000,-900000,-800000,-400000,-400000,-200000,-300000,-349000,-746000,-131000,-542000,-724000,-1346000,-731000,-368000,-6195000,-5146000,-16333000,-4313000,-1145000,-315000,-5613000,-6634000,-1710000,-5212000,-1916000,-1612000,-803000,-1577000,-990000,-455000,-1674000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,768000,- -,- -,- -,- -,- -,-2084000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-957000,-7334000,-7348000,-1739000,- -,-9000000,- -,-39000,-31000,-14000,-8000,-10000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,957000,7728000,3023000,3670000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-4700000,800000,1000000,5700000,700000,8300000,-400000,- -,126000,12387000,760000,265000,10000,283000,- -,- -,- -,20000,-617000,1473000,- -,- -,1509000,- -,- -,- -,- -,- -,150000,51000,- -,150000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-9400000,-1100000,100000,4900000,300000,7900000,-600000,-300000,-223000,11641000,629000,-277000,-714000,-1063000,-731000,-1325000,-12572000,-4746000,-15666000,830000,-10145000,-315000,-4143000,-6665000,-1724000,-4452000,-1926000,-1612000,-653000,-1526000,-990000,-2389000,-1674000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9942000,-9139000,-8165000,-7872000,-11150000,-7078000,-8892000,-14864000,-7139000,-7268000,-6556000,-6173000,-5444000,-12846000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,37000,- -,16000,226000,25000,40000,157000,5000,- -,- -,- -,- -,- -,- -,- -,1800000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,-2000,-1201000,-443000,-596000,-135000,-14000,-45000,-670000,- -,- -,-443000,-271000,- -,- -,-28000,- -,-2000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-361000,-438000,-610000,-1098000,-1814000,-954000,-715000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-12200000,-13400000,-14800000,-14100000,-10200000,-12700000,-5000000,-8600000,-7399000,-8273000,-1263000,-2277000,-3352000,-4434000,-6422000,-7371000,-404000,-815000,10285000,4554000,2398000,1901000,6334000,9956000,1059000,3931000,9392000,1035000,-651000,-690000,-897000,634000,12191000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-12300000,-13500000,-14800000,-13900000,-10200000,-12700000,-5000000,-8600000,-7399000,-8275000,-2427000,-2720000,-4293000,-4781000,-7021000,-8474000,-2731000,-1764000,9570000,-5831000,-7012000,-6264000,-1538000,-1222000,-6019000,-3163000,-5472000,-6104000,-7919000,-7246000,-7070000,-4810000,-655000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,-8000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,-351000,11097000,1789000,-482000,-841000,-1656000,388000,-2191000,-6823000,2654000,2388000,3946000,-9453000,605000,1142000,-1016000,345000,-850000,1150000,662000,-719000,-710000,-13000,2546000,3938000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,- -,- -,17000,11114000,12903000,12421000,11580000,9924000,10312000,8121000,1298000,3952000,6340000,10286000,833000,1438000,2580000,1564000,1909000,1059000,2209000,2871000,2152000,1792000,1779000,4325000,8263000
99,Cash at the Beginning of Period,- -,- -,- -,- -,26400000,10200000,3100000,1100000,1400000,1000000,1200000,500000,368000,17000,11114000,12903000,12421000,11580000,9924000,10312000,8121000,1298000,3952000,6340000,10286000,833000,1438000,2580000,1564000,1909000,1059000,2209000,2871000,2502000,1792000,1779000,4325000
100,Free Cash Flow,- -,- -,- -,- -,800000,5600000,11700000,8600000,9100000,4700000,4700000,8500000,6922000,6985000,3456000,1973000,3442000,2842000,7409000,7240000,2285000,4018000,-7849000,4634000,6559000,6869000,1210000,237000,6366000,1561000,6632000,6766000,7050000,6485000,7057000,9290000,4593000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744825/000095014903000733/f87890e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095013404004283/f97562e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095014905000116/f07365e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095013406006314/f18881e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095013407007237/0000950134-07-007237-index.html,https://www.sec.gov/Archives/edgar/data/744825/000095013408005643/f39302e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095013409006565/0000950134-09-006565-index.html,https://www.sec.gov/Archives/edgar/data/744825/000095012310030745/0000950123-10-030745-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420411018922/v216530_10k.htm,https://www.sec.gov/Archives/edgar/data/744825/000114420412018468/0001144204-12-018468-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420413018676/0001144204-13-018676-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420414019552/v371940_10k.htm,https://www.sec.gov/Archives/edgar/data/744825/000114420415020527/0001144204-15-020527-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420416091106/0001144204-16-091106-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420417016805/0001144204-17-016805-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420418017461/0001144204-18-017461-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420419016999/0001144204-19-016999-index.html,https://www.sec.gov/Archives/edgar/data/744825/000074482520000024/ams-20191231.htm,https://www.sec.gov/Archives/edgar/data/744825/000074482521000030/0000744825-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/744825/000143774922007687/0001437749-22-007687-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
