,https://roic.ai/company/CIA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.0704,0.0567,0.0620,-0.0781,0.0135,0.0378,0.0743,0.0667,0.0346,0.0787,0.0817,0.0844,0.1352,-0.0859,0.1090,0.1027,0.0573,0.0298,0.0324,-0.0121,-0.0110,0.0223,-0.0118,0.0082,0.0229,-0.0516,-0.0267
22,Income Tax expense (Gain),- -,- -,- -,600000,1700000,1200000,2100000,1600000,1001356,1405305,604221,1043428,-298623,471000,1065517,1284809,162057,356021,4493429,4665000,6941000,3112000,3266000,4119000,2790000,1507000,2138000,3725000,972000,3514000,35141000,13064000,7115000,-1329000,-43475000
23,Net Income,100000,-700000,-400000,1500000,4600000,4000000,5800000,4200000,2750212,2213726,3425523,-6720693,1271072,2052741,3963113,4254217,3126265,7731739,7302492,8677000,16557000,-15707000,17340000,15511000,8375000,4529000,4793000,-6505000,-3579000,1969000,-38127000,-11062000,-1370000,-10988000,36787000
24,Net Income ratio,0.1000,-0.0560,-0.0230,0.0728,0.1649,0.1153,0.1289,0.0852,0.0516,0.0347,0.0527,-0.0925,0.0177,0.0308,0.0586,0.0513,0.0329,0.0752,0.0506,0.0549,0.0953,-0.1071,0.0918,0.0811,0.0429,0.0223,0.0224,-0.0283,-0.0151,0.0080,-0.1509,-0.0453,-0.0055,-0.0460,0.1469
25,EPS,0.05,-0.03,-0.01,0.07,0.20,0.16,0.23,0.16,0.10,0.07,0.10,-0.19,0.03,0.06,0.11,0.11,0.08,0.17,0.13,0.16,0.18,-0.42,0.31,0.31,0.17,0.09,0.10,-0.13,-0.07,0.04,-0.77,-0.22,-0.03,-0.22,0.74
26,EPS Diluted,0.05,-0.03,-0.01,0.07,0.20,0.16,0.23,0.16,0.10,0.07,0.10,-0.19,0.03,0.06,0.11,0.11,0.08,0.17,0.13,0.16,0.18,-0.42,0.31,0.31,0.17,0.09,0.10,-0.13,-0.07,0.04,-0.77,-0.22,-0.03,-0.22,0.73
27,Weighted Average Shares Outstanding,24131733,24608029,28123462,21092596,23101763,24455558,25487335,25678336,27724449,32459955,34532151,34967863,35301573,36148755,34895196,37225705,39769564,45960893,40967746,41218000,41315000,43483333,48556000,49689000,49811000,50007000,50082000,50082000,50082000,50082000,50082000,50082000,45666667,49945455,49972000
28,Weighted Average Shares Outstanding Diluted,24131733,24608029,28123462,21092596,23101763,24455558,25487335,25678336,27724449,32459955,34532151,34967863,35301573,36148755,34895196,37225705,39769564,45960893,40967746,43203066,41315000,43483333,48556000,49689000,49814000,50007000,50082000,50082000,50082000,50082000,50082000,50141000,45666667,49945455,50645000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24090/000095013497002535/0000950134-97-002535-index.html,https://www.sec.gov/Archives/edgar/data/24090/000103570498000230/0001035704-98-000230-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24090/000095013402002672/0000950134-02-002672-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/24090/000095013405006603/0000950134-05-006603-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000095013406005321/0000950134-06-005321-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000095013407007086/0000950134-07-007086-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000103570408000122/0001035704-08-000122-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000136231009003835/0001362310-09-003835-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000095012310024113/0000950123-10-024113-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000095012311024767/0000950123-11-024767-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000114036112014956/0001140361-12-014956-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000144530513000562/0001445305-13-000562-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000144530514000987/0001445305-14-000987-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409015000018/0000024090-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409016000049/0000024090-16-000049-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409017000008/0000024090-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409018000011/0000024090-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409019000010/0000024090-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409020000016/0000024090-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409021000012/0000024090-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409022000005/0000024090-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,4160156,6085383,6454956,9868728,11149084,4064035,6793852,19211802,15016254,31720787,18311105,24521000,21123000,63792000,48625000,49723000,33255000,56299000,54593000,50708000,82827000,35510000,46064000,45492000,46205000,34131000,27294000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,3088697,200000,300000,300000,- -,- -,- -,- -,- -,- -,- -,- -,17650000,2250000,2510000,- -,2048000,606860000,605256000,707227000,735899000,882176000,974609000,1238904000,1379260000,1489383000,1470617000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,7248853,6285383,6754956,10168728,11149084,4064035,6793852,19211802,15016254,31720787,18311105,24521000,38773000,66042000,51135000,49723000,35303000,663159000,659849000,757935000,818726000,917686000,1020673000,1284396000,1425465000,1523514000,1497911000
34,Net Receivables,- -,- -,- -,- -,800000,- -,- -,- -,3077007,2725237,3077301,2188881,- -,2837702,2450015,2254175,3337761,17806573,19118009,16044000,14207000,11048000,12983000,10451000,10070000,20448000,15603000,15202000,15985000,16714000,16480000,16989000,16352000,17062000,17049000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,106600000,126900000,141800000,173748139,184690203,213828557,225205974,229260398,246433065,258760221,275241824,345825935,-17806573,18273675886,-16044000,-31857000,-13298000,-15493000,-10451000,-12118000,-627308000,-620859000,-722429000,-751884000,-898890000,-991089000,-1255893000,-1111653000,-1238523000,-1160925000
37,Total Current Assets,- -,- -,- -,- -,- -,106600000,126900000,141800000,184073999,193700823,223660814,237563583,240409482,253334802,268004088,296707801,364179950,31720787,18311105000,24521000,21123000,63792000,48625000,49723000,33255000,56299000,54593000,50708000,82827000,35510000,46064000,45492000,330164000,302053000,354035000
38,PP&E,- -,- -,- -,- -,- -,1900000,3700000,4700000,5546075,5442578,5795573,5155088,5071735,5469583,5946806,5590498,5942726,8797445,7736623,7350000,6795000,6466000,6018000,7101000,7860000,7383000,6662000,6352000,6338000,7890000,6624000,5943000,5904000,16312000,14074000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,14045848,13677800,17466123,8375799,8021044,7362654,6767244,7783405,12938862,12401990,12401990,11386000,11386000,- -,17160000,17160000,17160000,17160000,17160000,17255000,17255000,17255000,12624000,12624000,- -,- -,- -
40,Intangible Assets,- -,- -,700000,700000,600000,3800000,3500000,3300000,1820325,1633625,2596925,2289725,1982525,1675325,1368125,16209297,7031759,47235650,28952411,35905000,32702000,16760000,35774000,1019000,906000,25995000,24225000,24518000,22556000,20381000,18460000,16181000,- -,- -,- -
41,Intangible Assets,- -,- -,700000,700000,600000,3800000,3500000,3300000,15866173,15311425,20063048,10665524,10003569,9037979,8135369,23992702,19970621,59637640,41354401,47291000,44088000,16760000,52934000,18179000,18066000,43155000,41385000,41773000,39811000,37636000,31084000,28805000,13575000,13570000,941000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203801078,250348217,448630839,458180432,488630000,553745000,530405000,628475000,679273000,789938000,847609000,880211000,1002038000,1019290000,1147339000,1224734000,1253972000,1395293000,1511485000,1485461000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-203801078,-250348217,112424851,-18156487645,-534828000,-585381000,-530405000,-663203000,-679273000,-606247000,-690689000,-383036000,-759057000,-764126000,-879698000,-982934000,-1074182000,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,5700000,7200000,8000000,21412248,20754003,25858621,15820612,15075304,14507562,14082175,29583200,25913347,629490775,-17649216189,8443000,19247000,23226000,24224000,25280000,209617000,207458000,545222000,291106000,301313000,313167000,279508000,214538000,1414772000,1541367000,1500476000
46,Other Assets,5900000,45000000,54400000,61700000,76400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3159708000,3384787000,3354987000
47,Total Assets,5900000,45000000,54400000,61700000,76400000,112300000,134100000,149800000,205486247,214454826,249519435,253384195,255484786,267842364,282086263,326291001,390093297,661211562,661888811,32964000,40370000,87018000,72849000,75003000,242872000,263757000,599815000,341814000,384140000,348677000,325572000,260030000,1744936000,1843420000,1854511000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,692578,928288,880811,833881,530928,- -,1506700,1912972,2272216,2325503,2666764,2581000,2385000,- -,8434000,- -,2851000,11015000,9488000,9560000,9653000,9538000,8610000,7614000,8059000,13206000,14590000
49,Short-Term Debt,- -,- -,900000,900000,1400000,1400000,1100000,700000,800000,500000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,311884,613123,1307249,447829,2031000,- -,- -,- -,- -,- -,- -,590000,78818000,71225000,81270000,93365000,41281000,44622000,43916000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-382000,9410000,15204000,6286000,-7784000,- -,- -,- -,- -,-1905000,- -,- -,- -
53,Total Current Liabilities,- -,- -,900000,900000,1400000,1400000,1100000,700000,1492578,1428288,1280811,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8052000,9410000,18055000,17301000,1704000,- -,- -,- -,- -,5709000,- -,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,-27166,-10834,537430,333333,- -,- -,- -,- -,- -,30000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2372742,842250,- -,- -,- -,- -,- -,- -,- -,805387,1620839,1498000,4810000,3951000,8052000,9410000,- -,17301000,1704000,- -,- -,- -,- -,5709000,12428000,9564000,15456000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-805387,- -,- -,- -,- -,- -,- -,18055000,- -,- -,- -,68764000,76869000,50797000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2345576,831416,537430,333333,- -,- -,- -,- -,- -,30000000,- -,- -,- -,- -,- -,- -,18055000,17301000,1704000,- -,68764000,76869000,50797000,5709000,- -,- -,- -
59,Other Liabilities,4700000,40300000,47000000,52800000,61900000,88100000,104700000,114000000,141611301,146974938,169194356,178813849,183217817,190529333,199364465,224498696,263066575,556080483,524925721,571573000,611752000,660735000,703199000,749462000,835585000,911840000,970471000,1159196000,1310287000,1411437000,1471737000,1427828000,1485100000,1542475000,1533940000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,4700000,40300000,47900000,53700000,63300000,89500000,105800000,114700000,140758303,147571810,169937737,178480516,183217817,190529333,199364465,224498696,263066575,526080483,524925721,571573000,611752000,660735000,711251000,758872000,835585000,911840000,970471000,1159196000,1241523000,1334568000,1420940000,1427828000,1485100000,1542475000,1533940000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,44290601,46224814,53073905,53073905,- -,80612072,80612072,130995488,180503017,201094146,217492015,213250000,228996000,- -,- -,- -,- -,262567000,262567000,262567000,262567000,262567000,262567000,262977000,264699000,266053000,268745000
64,Retained Earnings,-300000,-1000000,-1400000,100000,4700000,8700000,14600000,18500000,21216908,23430634,26856157,20135464,10756800,1311655,5274768,-25887787,-46077094,-55321287,-64717088,-56282000,-39725000,-55432000,-38092000,-22581000,-14208000,-17335000,-12542000,-19047000,-22626000,-16248000,-54375000,-69599000,-70969000,-82352000,-45565000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3582025,1272107,-749199,-4801231,-6346000,-2103000,-5711000,5291000,1339000,19172000,28887000,6795000,25850000,13587000,13792000,26332000,5366000,77117000,128255000,117492000
66,Other Total Stockholders Equity,1500000,5700000,7900000,7900000,8400000,14100000,13700000,16600000,- -,- -,- -,1694310,61510169,- -,- -,-6897421,-8671308,-9892581,-11010606,-11011000,-11011000,232973000,249167000,249215000,250893000,-11011000,-11011000,-11011000,-11011000,-11011000,-11011000,-11011000,-11011000,-11011000,- -
67,Total Stockholders Equity,1200000,4700000,6500000,8000000,13100000,22800000,28300000,35100000,64727944,66883016,79581698,74903679,72266969,77313031,82721798,101792305,127026722,135131079,136963090,139611000,176157000,171541000,216075000,227634000,255685000,263108000,245809000,258359000,242517000,249100000,223513000,187733000,259836000,300945000,320571000
68,Total Liabilities And Stockholders Equity,5900000,45000000,54400000,61700000,76400000,112300000,134100000,149800000,205486247,214454826,249519435,253384195,255484786,267842364,282086263,326291001,390093297,661211562,661888811,711184000,787909000,832276000,927326000,986506000,1091270000,1174948000,1216280000,1417555000,1484040000,1583668000,1644453000,1615561000,1744936000,1843420000,1854511000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-678220000,-747539000,-745258000,-854477000,-911503000,-848398000,-911191000,-616465000,-1075741000,-1099900000,-1234991000,-1318881000,-1355531000,- -,- -,- -
70,Total Liabilities & Equity,5900000,45000000,54400000,61700000,76400000,112300000,134100000,149800000,205486247,214454826,249519435,253384195,255484786,267842364,282086263,326291001,390093297,661211562,661888811,32964000,40370000,87018000,72849000,75003000,242872000,263757000,599815000,341814000,384140000,348677000,325572000,260030000,1744936000,1843420000,1854511000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24090/000095013497002535/0000950134-97-002535-index.html,https://www.sec.gov/Archives/edgar/data/24090/000103570498000230/0001035704-98-000230-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24090/000095013402002672/0000950134-02-002672-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/24090/000095013405006603/0000950134-05-006603-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000095013406005321/0000950134-06-005321-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000095013407007086/0000950134-07-007086-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000103570408000122/0001035704-08-000122-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000136231009003835/0001362310-09-003835-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000095012310024113/0000950123-10-024113-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000095012311024767/0000950123-11-024767-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000114036112014956/0001140361-12-014956-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000144530513000562/0001445305-13-000562-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000144530514000987/0001445305-14-000987-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409015000018/0000024090-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409016000049/0000024090-16-000049-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409017000008/0000024090-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409018000011/0000024090-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409019000010/0000024090-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409020000016/0000024090-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409021000012/0000024090-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409022000005/0000024090-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-400000,1500000,4600000,4000000,5800000,4200000,2750212,2213726,3425523,-6720693,1271072,2052741,3963113,4254217,3126265,7731739,7302492,8677000,16557000,-15707000,17340000,15511000,8375000,4529000,4793000,-6505000,-3579000,1969000,-38127000,-11062000,-1370000,-10988000,36787000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,700000,600000,700000,1400000,2300000,11600000,2630772,2604193,2647134,3323675,7799349,5013971,7932652,7414000,5522000,4013000,4665000,4134000,4055000,3700000,3665000,3298000,3096000,2869000,3194000,3909000,1677000,1423000,1140000
75,Deferred Income Tax,- -,- -,- -,- -,-300000,300000,400000,-400000,-1000000,-400000,-1000000,-1500000,- -,12000,418881,792216,-87812,-1117448,2902862,829000,1202000,496000,2329000,627000,-1835000,- -,-3733000,-79175000,4043000,-9834000,20687000,62633000,1573000,-402000,427000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,410000,2099000,2223000,646000
77,Change in Working Capital,- -,- -,-2200000,- -,-500000,106600000,20600000,15300000,41481421,9691114,30107468,15183580,2845899,12925320,14669286,28703713,67472149,-332459163,18279384213,-18286584000,-3398000,42669000,-23219000,-260000,-25113000,23798000,13891000,-2181000,32119000,-47317000,10554000,-6281000,53075000,41239000,-9164000
78,Accounts Receivable,- -,- -,-100000,300000,- -,-100000,100000,-2000000,500000,1000000,-100000,9700000,- -,-461512,201114,-215908,-714297,7899940,21327785,33460000,34974000,-1227000,47000,423000,-632000,-1447000,4575000,401000,-783000,-729000,234000,-509000,-32000,-2057000,214000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,600000,300000,- -,300000,11500000,10400000,11200000,8600000,-900000,800000,- -,585372,1818715,746362,1651805,-1519138,7335485,4808000,-3092000,- -,- -,- -,- -,- -,732000,13003000,- -,- -,-6753000,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-900000,-900000,-1400000,105200000,125800000,141100000,182581421,192272535,222380003,237563583,240409482,253334802,268004088,296707801,364179950,31720787,18311105000,24521000,21123000,63792000,40573000,40313000,15200000,38998000,52889000,50708000,82827000,35510000,46064000,39783000,-1038000,-1696000,1435000
82,Other Non-Cash Items,- -,- -,5200000,2400000,3100000,-104400000,-17200000,-11600000,-31509908,-960508,-20905657,-5427260,884482,-8192345,-7174205,-26477696,-64679713,330299667,-18263016601,18308741000,18034000,14961000,50978000,40527000,78799000,37243000,62798000,182497000,51474000,154584000,96704000,35011000,15169000,15339000,10619000
83,Cash Provided by Operating Activities,- -,- -,2600000,3900000,6900000,6500000,10300000,8100000,12421725,11944332,13927334,13135627,7632225,9401909,14524209,10596125,13630238,9468766,34505618,39077000,37917000,46432000,52093000,60539000,64281000,69270000,81414000,97934000,87153000,102271000,93012000,84620000,72223000,48834000,40455000
84,CAPEX,- -,- -,- -,- -,- -,- -,-2000000,-1200000,-947733,-691632,-197286,-1027697,-717046,-1073424,-1492538,-486854,-1231432,-3485049,-431875,-1277000,-4357000,-1110000,-2735000,-2366000,-1800000,-619000,-393000,-481000,-590000,-2214000,-1326000,-724000,-511000,-221000,-1007000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,1178600,355654,-165710,- -,1512255,- -,- -,2882353,4600511,- -,- -,- -,- -,-8242000,9770000,- -,- -,- -,- -,-4810000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-4800000,-21600000,-32300000,-116900000,-89000000,-40500000,-42433418,-34865670,-37888179,-40620129,-18742695,-57178261,-100688474,-96026994,-183759796,-82828250,-132656686,-107080000,-135109000,-190667000,-465545000,-477308000,-265570000,-378665000,-181809000,-183239000,-190343000,-241068000,-167699000,-202860000,-332270000,-306203000,-135053000
