,https://roic.ai/company/JNJ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6421300000,7002900000,8012000000,9000000000,9757000000,11232000000,12447000000,13753000000,14138000000,- -,18842000000,21620000000,22629000000,- -,23657000000,29139000000,33004000000,36298000000,41862000000,- -,47348000000,53324000000,61095000000,63747000000,- -,61897000000,61587000000,67224000000,71312000000,74331000000,- -,70074000000,76450000000,81581000000,82059000000,- -,82584000000
2,COGS,2343700000,2354900000,2602000000,2901000000,3066000000,3463000000,3711000000,4118000000,4174000000,- -,5378000000,7018000000,7152000000,- -,7496000000,7346000000,9536000000,10447000000,12176000000,- -,13422000000,15057000000,17751000000,18511000000,- -,18447000000,18792000000,21658000000,21659000000,22746000000,- -,21455000000,25354000000,26986000000,27456000000,- -,28427000000
3,Gross Profit,4077600000,4648000000,5410000000,6099000000,6691000000,7769000000,8736000000,9635000000,9964000000,- -,13464000000,14602000000,15477000000,- -,16161000000,21793000000,23468000000,25851000000,29686000000,- -,33926000000,38267000000,43344000000,45236000000,- -,43450000000,42795000000,45566000000,49653000000,51585000000,- -,48619000000,51096000000,54595000000,54603000000,- -,54157000000
4,Gross Profit Ratio,0.6350,0.6637,0.6752,0.6777,0.6858,0.6917,0.7019,0.7006,0.7048,- -,0.7146,0.6754,0.6839,- -,0.6831,0.7479,0.7111,0.7122,0.7091,- -,0.7165,0.7176,0.7095,0.7096,- -,0.7020,0.6949,0.6778,0.6963,0.6940,- -,0.6938,0.6684,0.6692,0.6654,- -,0.6558
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1905000000,2140000000,- -,2269000000,2926000000,3591000000,3957000000,4684000000,- -,5203000000,7125000000,7680000000,7577000000,- -,6986000000,6844000000,7666000000,8187000000,8494000000,- -,9047000000,10962000000,10775000000,11355000000,- -,12159000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9096000000,8394000000,8715000000,- -,8907000000,10875000000,11992000000,12216000000,14131000000,- -,15860000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20451000000,21490000000,- -,19801000000,19424000000,20869000000,21830000000,21954000000,- -,21203000000,21420000000,22540000000,22178000000,- -,- -
8,"Selling, General and Administrative Exp.",2987100000,3389200000,3845000000,4304000000,4616000000,5303000000,6079000000,6798000000,6953000000,- -,9096000000,10299000000,8715000000,- -,8907000000,10875000000,11992000000,12216000000,14131000000,- -,15860000000,17433000000,20451000000,21490000000,- -,19801000000,19424000000,20869000000,21830000000,21954000000,- -,21203000000,21420000000,22540000000,22178000000,- -,22084000000
9,Other Expenses,250500000,275200000,356000000,391000000,414000000,474000000,493000000,560000000,617000000,- -,857000000,-1635000000,46000000,- -,716000000,1515000000,- -,387000000,563000000,- -,25000000,- -,1930000000,-760000000,- -,908000000,-420000000,3256000000,4165000000,574000000,- -,-827000000,- -,3281000000,3742000000,- -,- -
