,https://roic.ai/company/GTY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1315600000,931900000,1335800000,1040800000,1183700000,1263300000,1117400000,903700000,802600000,781600000,820600000,888200000,89839000,61341000,63859000,70475000,69645000,68306000,66331000,71377000,72405000,78462000,81163000,84539000,88332000,112876000,102168000,102463000,99867000,110733000,115266000,120153000,136106000,140655000,147346000,155408000
2,COGS,1255000000,854100000,1243400000,930700000,1075600000,1195000000,1091000000,872300000,726900000,713400000,747300000,878500000,24372000,- -,- -,- -,11975000,- -,- -,- -,- -,- -,9390000,10851000,10128000,16723000,30232000,29326000,23752000,23649000,22725000,22345000,23649000,24978000,23520000,-22048000
3,Gross Profit,60600000,77800000,92400000,110100000,108100000,68300000,26400000,31400000,75700000,68200000,73300000,9700000,65467000,61341000,- -,- -,57670000,- -,- -,- -,- -,- -,71773000,73688000,78204000,96153000,71936000,73137000,76115000,87084000,92541000,97808000,112457000,115677000,123826000,177456000
4,Gross Profit Ratio,0.0461,0.0835,0.0692,0.1058,0.0913,0.0541,0.0236,0.0347,0.0943,0.0873,0.0893,0.0109,0.7287,1.0000,- -,- -,0.8281,- -,- -,- -,- -,- -,0.8843,0.8716,0.8853,0.8518,0.7041,0.7138,0.7622,0.7864,0.8028,0.8140,0.8262,0.8224,0.8404,1.1419
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15211000,6129000,5642000,4944000,12359000,4074000,5006000,4925000,5607000,6669000,6831000,6849000,13605000,- -,29116000,5071000,15777000,16930000,14154000,13879000,14661000,15183000,17294000,-20151000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",35900000,37000000,37800000,35100000,38800000,44500000,40300000,31600000,28800000,27300000,25600000,25400000,15211000,6129000,5642000,4944000,12359000,4074000,5006000,4925000,5607000,6669000,6831000,15648000,13605000,29413000,29116000,5071000,15777000,16930000,14154000,13879000,14661000,15183000,17294000,-20151000
9,Other Expenses,7700000,9600000,11500000,13000000,15500000,20200000,23000000,22100000,21800000,21800000,23200000,23500000,34469000,6781000,6484000,31522000,9016000,26667000,23331000,22453000,23105000,37853000,19158000,10975000,9731000,30045000,13315000,25538000,18567000,24249000,21300000,22392000,28817000,30783000,31245000,-39066000
10,Operating Expenses,43600000,46600000,49300000,48100000,54300000,64700000,63300000,53700000,50600000,49100000,48800000,48900000,49680000,12910000,12126000,36466000,21375000,30741000,28337000,27378000,28712000,44522000,25989000,26623000,23336000,59458000,42431000,30609000,34344000,41179000,35454000,36271000,43478000,45966000,48539000,-59217000
11,COGS and Expenses,1298600000,900700000,1292700000,978800000,1129900000,1259700000,1154300000,926000000,777500000,762500000,796100000,927400000,74052000,12910000,12126000,36466000,33350000,30741000,28337000,27378000,28712000,44522000,35379000,37474000,33464000,76181000,72663000,59935000,58096000,64828000,58179000,58616000,67127000,70944000,72059000,68951000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2882000,3397000,3145000,3698000,3543000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),15500000,16600000,- -,16400000,15700000,18300000,19000000,16800000,14600000,11400000,- -,6800000,5008000,2726000,2748000,1926000,132000,128000,127000,1623000,3527000,7760000,7034000,5091000,5050000,5125000,9931000,11667000,9806000,14493000,16561000,17769000,22345000,24632000,26085000,24672000
