,https://roic.ai/company/CNP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4067800000,3536000000,3628200000,3649500000,3789800000,4178600000,4443700000,4596400000,4323900000,4001900000,3730200000,4095300000,6873400000,11488500000,15302800000,29339384000,46225837000,7922498000,9760124000,8510428000,9722000000,9319000000,9623000000,11322000000,8281000000,8785000000,8450000000,7452000000,8106000000,9226000000,7386000000,7528000000,9614000000,10589000000,12301000000,7418000000,8352000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,1269900000,1112600000,1347200000,3518300000,6999800000,10885600000,23699654000,40048260000,3990114000,5439907000,5524451000,6509000000,5909000000,5995000000,7466000000,4371000000,4574000000,4055000000,4747000000,5755000000,6890000000,5109000000,5059000000,7115000000,8109000000,9262000000,4489000000,5145000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,2732000000,2617600000,2748100000,3355100000,4488700000,4417200000,5639730000,6177577000,3932384000,4320217000,2985977000,3213000000,3410000000,3628000000,3856000000,3910000000,4211000000,4395000000,2705000000,2351000000,2336000000,2277000000,2469000000,2499000000,2480000000,3039000000,2929000000,3207000000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6827,0.7017,0.6710,0.4881,0.3907,0.2887,0.1922,0.1336,0.4964,0.4426,0.3509,0.3305,0.3659,0.3770,0.3406,0.4722,0.4793,0.5201,0.3630,0.2900,0.2532,0.3083,0.3280,0.2599,0.2342,0.2471,0.3949,0.3840
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1720000000,1712600000,1852600000,2355700000,4187500000,1353700000,3760596000,4188459000,2602948000,2716053000,1895858000,2153000000,2365000000,2411000000,2583000000,2786000000,2962000000,3097000000,1415000000,1341000000,1401000000,1344000000,1510000000,1427000000,1649000000,1765000000,1705000000,1844000000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1720000000,1712600000,1852600000,2355700000,4187500000,1353700000,3760596000,4188459000,2602948000,2716053000,1895858000,2153000000,2365000000,2411000000,2583000000,2786000000,2962000000,3097000000,1415000000,1341000000,1401000000,1344000000,1510000000,1427000000,1649000000,1765000000,1705000000,1844000000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,2989900000,2825200000,3199800000,5874000000,11187300000,12239300000,27460250000,44236719000,6593062000,8155960000,7420309000,8662000000,8274000000,8406000000,10049000000,7157000000,7536000000,7152000000,6162000000,7096000000,8291000000,6453000000,6569000000,8542000000,9758000000,11027000000,6194000000,6989000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,4000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,754441000,- -,- -,933820000,- -,710000000,600000000,- -,- -,644000000,621000000,583000000,569000000,484000000,471000000,457000000,429000000,390000000,420000000,567000000,529000000,529000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,743000000,864000000,886000000,1050000000,954000000,1013000000,970000000,1126000000,1036000000,1243000000,1311000000,1191000000,1316000000
15,EBITDA,464400000,424900000,435000000,395300000,413500000,339500000,417400000,434700000,416000000,617900000,1305100000,605100000,627500000,-171500000,2748100000,1579005000,1480404000,-3712208000,1633788000,-766398000,1115000000,1094000000,594000000,725000000,1935000000,2190000000,3230000000,2376000000,2219000000,2369000000,297000000,2241000000,2489000000,2177000000,2807000000,673000000,3441000000
16,EBITDA ratio,0.1142,0.1202,0.1199,0.1083,0.1091,0.0812,0.0939,0.0946,0.0962,0.1544,0.3499,0.1478,0.0913,-0.0149,0.1796,0.0538,0.0320,-0.4686,0.1674,-0.0901,0.1147,0.1174,0.0617,0.0640,0.2337,0.2493,0.3822,0.3188,0.2737,0.2568,0.0402,0.2977,0.2589,0.2056,0.2282,0.0907,0.4120
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,1012000000,905000000,895500000,999400000,301200000,3063500000,1879134000,1989118000,1329436000,1604164000,1090119000,1060000000,1045000000,1217000000,1273000000,1124000000,1249000000,1298000000,1038000000,1010000000,935000000,933000000,959000000,1072000000,831000000,1226000000,1039000000,1363000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2529,0.2426,0.2187,0.1454,0.0262,0.2002,0.0640,0.0430,0.1678,0.1644,0.1281,0.1090,0.1121,0.1265,0.1124,0.1357,0.1422,0.1536,0.1393,0.1246,0.1013,0.1263,0.1274,0.1115,0.0785,0.0997,0.1401,0.1632
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-385900000,-308000000,-290400000,-371900000,-472700000,-498700000,-730934000,-570333000,-735127000,-968152000,-746098000,-682000000,-551000000,-623000000,-548000000,-576000000,-544000000,-124000000,-281000000,-229000000,-50000000,-2063000000,-273000000,-9000000,-317000000,-297000000,-1904000000,-585000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,626100000,597000000,605100000,627500000,-171500000,2564800000,1148200000,1418785000,594309000,636012000,344021000,378000000,494000000,594000000,725000000,548000000,705000000,1174000000,757000000,781000000,885000000,-1130000000,686000000,1063000000,514000000,929000000,-865000000,778000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1565,0.1600,0.1478,0.0913,-0.0149,0.1676,0.0391,0.0307,0.0750,0.0652,0.0404,0.0389,0.0530,0.0617,0.0640,0.0662,0.0803,0.1389,0.1016,0.0963,0.0959,-0.1530,0.0911,0.1106,0.0485,0.0755,-0.1166,0.0932
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,218600000,199600000,200200000,206400000,-30400000,899100000,377064000,499845000,208026000,216301000,138306000,153000000,62000000,195000000,278000000,176000000,263000000,404000000,340000000,470000000,274000000,-438000000,254000000,-729000000,146000000,138000000,-274000000,110000000
23,Net Income,464400000,424900000,435000000,395300000,413500000,339500000,417400000,434700000,416000000,399300000,1105500000,404900000,421100000,-141100000,1849000000,447500000,980559000,-3920234000,483667000,-904704000,252000000,432000000,399000000,447000000,372000000,442000000,1357000000,417000000,311000000,611000000,-692000000,432000000,1792000000,368000000,791000000,-773000000,1486000000
24,Net Income ratio,0.1142,0.1202,0.1199,0.1083,0.1091,0.0812,0.0939,0.0946,0.0962,0.0998,0.2964,0.0989,0.0613,-0.0123,0.1208,0.0153,0.0212,-0.4948,0.0496,-0.1063,0.0259,0.0464,0.0415,0.0395,0.0449,0.0503,0.1606,0.0560,0.0384,0.0662,-0.0937,0.0574,0.1864,0.0348,0.0643,-0.1042,0.1779
25,EPS,2.21,1.91,1.87,1.67,1.66,1.34,1.64,1.69,1.60,1.62,4.46,1.66,1.66,-0.50,5.20,1.57,3.38,-13.16,1.59,-2.94,0.81,1.39,1.25,1.33,1.02,1.08,3.19,0.98,0.73,1.42,-1.61,1.00,4.16,0.74,1.34,-1.79,0.42
26,EPS Diluted,2.21,1.91,1.87,1.67,1.66,1.34,1.64,1.69,1.60,1.62,4.46,1.66,1.66,-0.50,5.18,1.56,3.35,-13.16,1.58,-2.94,0.75,1.33,1.17,1.30,1.01,1.07,3.17,0.97,0.72,1.42,-1.61,1.00,4.13,0.74,1.33,-1.79,0.42
27,Weighted Average Shares Outstanding,198099548,208429319,215828877,215149701,249096386,253358209,254512195,257218935,260000000,246481481,247869955,243915663,253554217,284095000,285040000,284095000,289776000,297890122,304193082,307722449,311111111,310791367,319200000,336387000,365229000,410000000,426000000,427000000,428000000,429634000,430180000,430606000,430964000,448829000,502000000,531031000,605000000
28,Weighted Average Shares Outstanding Diluted,198099548,208429319,215828877,215149701,249096386,253358209,254512195,257218935,260000000,246481481,247869955,243915663,253554217,284095000,286164000,284095000,292193000,299712080,306118354,364800000,336000000,324812030,341025641,343555000,367681000,413000000,429000000,430000000,431000000,431668000,430180000,433603000,434308000,452465000,505000000,531031000,609000000
