,https://roic.ai/company/PRK,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239000000,266000000,421000000,440000000,352000000,346000000,310000000,274000000,227000000,220000000,229000000,237000000,254000000,281000000,333000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,109500000,106600000,95800000,90400000,94900000,113200000,122300000,180500000,186000000,191900000,249332000,320348000,287920000,264629000,270993000,314459000,334559000,401824000,391339000,367690000,345517000,331880000,285735000,262947000,265143000,265074000,276258000,286424000,310801000,360500000,357720000,345853000
13,Interest Expense (Gain),- -,- -,62100000,56400000,41600000,33800000,35200000,46800000,49300000,77000000,78300000,76100000,110437000,127404000,82588000,61992000,58702000,93895000,121315000,167147000,135466000,94199000,71473000,58646000,50420000,41922000,40099000,37442000,38172000,42665000,43903000,62763000,30090000,15960000
14,Depreciation and Amortization,- -,- -,3200000,1400000,3900000,4600000,2400000,2200000,1900000,4500000,6500000,4900000,6335000,5957000,6597000,4094000,3579000,-1261000,3652000,4392000,11542000,11219000,10548000,11117000,9126000,7652000,7243000,7347000,8396000,8644000,8585000,9119000,10814000,13267000
15,EBITDA,- -,- -,84300000,78400000,69300000,65400000,66600000,81900000,89600000,136100000,145300000,145400000,193710000,244277000,210360000,189275000,191530000,228058000,258044000,224216000,182727000,202553000,181552000,186318000,163877000,151932000,160034000,158368000,169463000,169778000,183787000,196653000,195549000,217462000
16,EBITDA ratio,- -,- -,1.4842,1.3402,1.0862,0.9689,0.9694,1.0328,1.0407,1.0976,1.1033,1.0468,1.1490,1.0256,0.8211,0.7332,0.7251,0.8137,0.9282,0.7320,0.5363,0.5711,0.5164,0.5204,0.5363,0.5162,0.5324,0.5189,0.5349,0.5234,0.4994,0.4979,0.4314,0.4729
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,- -,19000000,20100000,23400000,25500000,29000000,32900000,38400000,54600000,60500000,64400000,76938000,110916000,121175000,123189000,129249000,135424000,133077000,52677000,35719000,97135000,99531000,116555000,104331000,102358000,112692000,113579000,122895000,118469000,131299000,124771000,154645000,188235000
21,Income Before Tax Ratio,- -,- -,0.3345,0.3436,0.3668,0.3778,0.4221,0.4149,0.4460,0.4403,0.4594,0.4636,0.4564,0.4657,0.4730,0.4772,0.4893,0.4832,0.4787,0.1720,0.1048,0.2739,0.2831,0.3256,0.3415,0.3478,0.3749,0.3722,0.3879,0.3652,0.3568,0.3159,0.3412,0.4094
22,Income Tax expense (Gain),- -,- -,5800000,5500000,7300000,8000000,9000000,10800000,12700000,16900000,18900000,18700000,21533000,32554000,35596000,36311000,37742000,40186000,38986000,29970000,22011000,22943000,25314000,34415000,25701000,25131000,28602000,32567000,36760000,34227000,20912000,22071000,26722000,34290000
23,Net Income,10000000,11300000,13200000,15100000,16500000,19000000,20000000,22100000,25700000,37700000,41600000,45700000,55405000,78362000,85579000,86878000,91507000,95238000,94091000,22707000,13708000,74192000,74217000,82140000,78630000,77227000,84090000,81012000,86135000,84242000,110387000,102700000,127923000,153945000
24,Net Income ratio,Infinity,Infinity,0.2324,0.2581,0.2586,0.2815,0.2911,0.2787,0.2985,0.3040,0.3159,0.3290,0.3286,0.3290,0.3341,0.3365,0.3464,0.3398,0.3384,0.0741,0.0402,0.2092,0.2111,0.2294,0.2573,0.2624,0.2797,0.2655,0.2719,0.2597,0.3000,0.2600,0.2822,0.3348
25,EPS,1.42,1.60,1.70,1.94,2.11,2.33,2.43,2.68,3.07,3.65,4.04,4.47,4.87,5.32,5.88,6.01,6.38,6.68,6.75,1.60,0.97,4.82,4.51,5.12,4.88,5.01,5.46,5.27,5.62,5.51,7.13,6.28,7.84,9.44
26,EPS Diluted,1.42,1.60,1.70,1.94,2.11,2.31,2.42,2.68,3.07,3.63,4.02,4.45,4.86,5.31,5.86,5.97,6.32,6.64,6.74,1.60,0.97,4.82,4.51,5.12,4.88,5.01,5.46,5.26,5.59,5.47,7.07,6.28,7.84,9.44
27,Weighted Average Shares Outstanding,7049800,7065326,7746115,7775169,7807177,8146116,8238590,8232016,8357832,10339366,10306517,10231343,11384589,14719159,14563687,14456719,14342790,14257186,13939407,14191875,13965219,14206335,15152692,15400155,15407078,15412365,15394971,15364281,15332553,15295573,15488982,16346442,16314197,16314197
28,Weighted Average Shares Outstanding Diluted,7049800,7065326,7746115,7775169,7807177,8213162,8271025,8261312,8383788,10391062,10353047,10275161,11406912,14745538,14611049,14548947,14478956,14343072,13960089,14191875,13965333,14206335,15155735,15401446,15408141,15412365,15413832,15404740,15405160,15390352,15611489,16346442,16314197,16314197
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/805676/000095015207001594/l24860ae10vk.htm,https://www.sec.gov/Archives/edgar/data/805676/000095015208001570/l30297ae10vk.htm,https://www.sec.gov/Archives/edgar/data/805676/000136231009002764/0001362310-09-002764-index.html,https://www.sec.gov/Archives/edgar/data/805676/000095012310016312/0000950123-10-016312-index.html,https://www.sec.gov/Archives/edgar/data/805676/000114420411011555/v211720_10k.htm,https://www.sec.gov/Archives/edgar/data/805676/000114420412012083/0001144204-12-012083-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567613000024/0000805676-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567614000010/prk-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/805676/000080567615000035/prk-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/805676/000080567616000144/0000805676-16-000144-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567617000028/0000805676-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567618000048/0000805676-18-000048-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567619000040/0000805676-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567620000040/0000805676-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567621000030/0000805676-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/805676/000080567622000034/0000805676-22-000034-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,95300000,64000000,78200000,54900000,64100000,92800000,61500000,93600000,100300000,104200000,109870000,169193000,157138000,169832000,157625000,169990000,177991000,183166000,150299000,116802000,133780000,157486000,201305000,147030000,237699000,149459000,146446000,169112000,167214000,159956000,370474000,219180000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1114454000,1176266000,1301915000,1436266000,1258139000,1093816000,1003421000,1209701000,1059341000,- -
33,Cash and Short-Term Investments,- -,- -,95300000,64000000,78200000,54900000,64100000,92800000,61500000,93600000,100300000,104200000,109870000,169193000,157138000,169832000,157625000,169990000,177991000,183166000,150299000,116802000,133780000,157486000,1315759000,1323296000,1539614000,1585725000,1404585000,1262928000,1170635000,1369657000,1429815000,219180000
34,Net Receivables,- -,- -,9600000,9500000,8300000,7700000,8000000,9100000,8500000,13900000,14400000,14200000,21373000,- -,20189000,19794000,20548000,23306000,26122000,30646000,27930000,24354000,24137000,19697000,19710000,18335000,17677000,18675000,18822000,22164000,22974000,24217000,49364000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5126392000,5188760000,6142734000,6806946000,6817374000,9204388000,1708473000,-6123000,-4841000,198873000,207613000,321644000,419008000,407659000,69806000,6334209000,7269601000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5319688000,5392873000,6356546000,6985175000,6958530000,9362305000,1885656000,1329346000,1336790000,1756164000,1812013000,1745051000,1704100000,1601268000,1463680000,7813388000,7488781000
38,PP&E,- -,- -,16400000,16400000,15900000,16200000,17100000,17200000,16800000,27800000,26800000,26500000,31056000,39910000,38734000,36746000,43179000,47172000,47554000,66634000,68553000,69091000,69567000,53741000,53751000,55278000,55479000,59493000,57971000,55901000,59771000,87036000,103738000,89008000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72334000,72334000,72334000,72334000,72334000,72334000,72334000,72334000,72334000,72334000,112739000,159595000,159595000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21517000,20245000,16531000,11810000,8100000,9013000,8613000,9008000,9266000,9688000,17149000,21593000,21470000,- -
41,Intangible Assets,- -,- -,8700000,7100000,4900000,2500000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69188000,78003000,154760000,93851000,92579000,88865000,84144000,80434000,81347000,80947000,81342000,81600000,82022000,129888000,181188000,181065000,167057000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1383142000,1991226000,1926782000,1667625000,1521764000,1703103000,2059051000,1863560000,2039791000,1708473000,1581751000,1424234000,1500788000,1695126000,1632730000,1562493000,1461427000,1332577000,1180830000,1815408000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1667625000,-1569318000,-1779941000,-2135910000,-1943431000,-4262151000,3240231000,3597521000,3740698000,3609878000,3663380000,3950234000,4133104000,4551954000,5493896000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116360000,78003000,144556000,85545000,81799000,-2063928000,5086589000,5313457000,5301557000,5247092000,5499341000,5722535000,5833520000,6203040000,7094697000,1465633000,2071473000
46,Other Assets,- -,- -,1103700000,1180800000,1232000000,1285300000,1362200000,1476200000,1614800000,2288400000,2460800000,2634300000,3211068000,4569515000,4446625000,5034956000,5412584000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10744654000,11631727000
47,Total Assets,- -,- -,1103700000,1180800000,1232000000,1285300000,1362200000,1476200000,1614800000,2288400000,2460800000,2634300000,3211068000,4569515000,4446625000,5034956000,5412584000,5436048000,5470876000,6501102000,7070720000,7040329000,7298377000,6972245000,6642803000,6638347000,7003256000,7311354000,7467586000,7537620000,7804308000,8558377000,9279021000,9560254000
48,Accounts Payable,- -,- -,- -,4300000,3300000,2300000,2300000,3700000,3900000,6500000,6900000,7400000,11469000,10772000,8074000,6437000,6411000,8943000,13076000,15125000,11335000,9330000,6123000,4916000,3459000,2901000,2551000,2338000,2151000,2278000,2625000,2927000,3860000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,109200000,151600000,246700000,348200000,254456000,318311000,188878000,516759000,278231000,314074000,375773000,759318000,659196000,324219000,663669000,263594000,100000000,- -,- -,140000000,185000000,208000000,57000000,55000000,25000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1877300000,1963100000,2039100000,2443775000,3379617000,3553148000,3482704000,3769558000,- -,4511551000,5105057000,5716069000,5912851000,5806108000,5884790000,5808641000,5903399000,6257149000,6410661000,6493195000,6556241000,6897177000,7516436000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,113100000,2035400000,2216700000,2394700000,2709700000,3708700000,3750100000,4005900000,4054200000,323017000,4900400000,5879500000,6386600000,6246400000,6475900000,6153300000,5912100000,5906300000,6259700000,6552999000,6680346000,6766519000,6956802000,7574363000,28860000,- -
54,Long-Term Debt,- -,- -,- -,7100000,- -,- -,- -,- -,- -,30900000,8400000,100000,181578000,392540000,187226000,485977000,795793000,714784000,604140000,630409000,895558000,729631000,711983000,898432000,561908000,590791000,531602000,483105000,439281000,515000000,415000000,207500000,236327000,426996000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,-40000,-26000,23000,7000,- -,- -,-588809000,-854058000,-652931000,-635283000,-821832000,-481608000,-510491000,-486602000,-438105000,-394281000,-500000000,-400000000,-192500000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,7100000,- -,- -,- -,- -,- -,30900000,8400000,100000,181600000,392500000,187200000,486000000,795800000,714784000,604140000,41600000,41500000,76700000,76700000,76600000,80300000,80300000,45000000,45000000,45000000,15000000,15000000,15000000,236327000,426996000
59,Other Liabilities,- -,- -,1029800000,1104300000,1138100000,1176400000,1248000000,1339800000,1352700000,- -,- -,- -,363216000,- -,374433000,972015000,1591623000,5269385000,37000,- -,- -,- -,- -,- -,160637000,- -,- -,- -,- -,- -,- -,- -,8446232000,8876491000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14482000,16053000,- -
61,Total Liabilities,- -,- -,1029800000,1097200000,1138100000,1176400000,1248000000,1339800000,1465800000,2066200000,2225100000,2394700000,2891316000,4101169000,3937333000,4491915000,4850023000,4877618000,4900437000,5921090000,6428057000,6323065000,6552553000,6229881000,5992437000,5986600000,6304658000,6597999000,6725346000,6781519000,6971802000,7589363000,8238765000,8449495000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95721000,96483000,97290000,98146000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68400000,76869000,105771000,105768000,105895000,208251000,208365000,- -,- -,301210000,- -,- -,- -,302654000,302651000,303104000,303966000,305826000,307726000,358598000,459389000,460687000,461800000
64,Retained Earnings,- -,- -,48800000,58400000,68700000,80300000,93300000,106500000,121800000,154500000,177100000,199700000,270100000,403870000,446300000,486769000,433260000,476889000,519563000,489511000,438504000,423872000,422458000,424557000,441605000,460643000,486541000,507505000,535631000,561908000,614069000,646847000,704764000,776294000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,-23000000,-3000000,11000000,16000000,-2000000,-9000000,-18000000,-35000000,-14000000,-16000000,-18000000,-26000000,-50000000,-10000000,5571000,15155000
66,Other Total Stockholders Equity,- -,- -,25100000,25200000,25200000,28600000,20900000,29900000,27200000,67700000,58600000,- -,- -,- -,-42776000,-49623000,-78950000,-116824000,73876000,93501000,-203772000,277392000,325366000,326807000,-75893000,-76547000,-77047000,-82116000,-81217000,-87533000,-90161000,-127222000,-130766000,-142490000
67,Total Stockholders Equity,- -,- -,73900000,83600000,93900000,108900000,114200000,136400000,149000000,222200000,235700000,239600000,319752000,468346000,509292000,543041000,562561000,558430000,570439000,580012000,642663000,717264000,745824000,742364000,650366000,651747000,698598000,713355000,742240000,756101000,832506000,969014000,1040256000,1110759000
68,Total Liabilities And Stockholders Equity,- -,- -,1103700000,1180800000,1232000000,1285300000,1362200000,1476200000,1614800000,2288400000,2460800000,2634300000,3211068000,4569515000,4446625000,5034956000,5412584000,5436048000,5470876000,6501102000,7070720000,7040329000,7298377000,6972245000,6642803000,6638347000,7003256000,7311354000,7467586000,7537620000,7804308000,8558377000,9279021000,9560254000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,1103700000,1180800000,1232000000,1285300000,1362200000,1476200000,1614800000,2288400000,2460800000,2634300000,3211068000,4569515000,4446625000,5034956000,5412584000,5436048000,5470876000,6501102000,7070720000,7040329000,7298377000,6972245000,6642803000,6638347000,7003256000,7311354000,7467586000,7537620000,7804308000,8558377000,9279021000,9560254000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/805676/000095015207001594/l24860ae10vk.htm,https://www.sec.gov/Archives/edgar/data/805676/000095015208001570/l30297ae10vk.htm,https://www.sec.gov/Archives/edgar/data/805676/000136231009002764/0001362310-09-002764-index.html,https://www.sec.gov/Archives/edgar/data/805676/000095012310016312/0000950123-10-016312-index.html,https://www.sec.gov/Archives/edgar/data/805676/000114420411011555/v211720_10k.htm,https://www.sec.gov/Archives/edgar/data/805676/000114420412012083/0001144204-12-012083-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567613000024/0000805676-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567614000010/prk-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/805676/000080567615000035/prk-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/805676/000080567616000144/0000805676-16-000144-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567617000028/0000805676-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567618000048/0000805676-18-000048-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567619000040/0000805676-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567620000040/0000805676-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567621000030/0000805676-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/805676/000080567622000034/0000805676-22-000034-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,13200000,15100000,16500000,19000000,20000000,22100000,25700000,37700000,41600000,45700000,55405000,78362000,85579000,86878000,91507000,95238000,94091000,22707000,13708000,74192000,74217000,82140000,78630000,77227000,84090000,81012000,86135000,84242000,110387000,102700000,127923000,153945000
74,Depreciation and Amortization,- -,- -,3200000,1400000,3900000,4600000,2400000,2200000,1900000,4500000,6500000,4900000,6335000,5957000,6597000,4094000,3579000,-1261000,3652000,4392000,11542000,11219000,10548000,11117000,9126000,7652000,7243000,7347000,8396000,8644000,8585000,9119000,10814000,13267000
75,Deferred Income Tax,- -,- -,-1600000,-2200000,-1800000,-3000000,400000,-800000,-200000,-400000,800000,4800000,3181000,763000,-3519000,-3661000,-2542000,1990000,156000,-7839000,-1590000,-8932000,-925000,28466000,12717000,-2456000,1563000,-250000,581000,3289000,538000,-844000,-4525000,-3131000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,449000,388000,407000,850000,1259000,1828000,2814000,3942000,5063000,6324000,7272000,8021000
77,Change in Working Capital,- -,- -,-600000,- -,- -,- -,- -,- -,- -,-2035400000,-181300000,-178000000,-315000000,-999000000,-41400000,-255800000,-48300000,9373888000,-4827215000,-15427000,121529000,113555000,2174275000,-7154049000,-315110000,13244000,65974000,-237450000,-194309000,-127124000,-293115000,-755149000,-5976000,1988000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2035400000,-2216700000,-2394700000,-2709700000,-3708700000,-3750100000,-4005900000,-4054200000,5319688000,492473000,477046000,598575000,712130000,2886405000,-4267644000,-4582754000,-4569510000,-4503536000,-4740986000,-4935295000,-5062419000,-5355534000,-6110683000,- -,- -
82,Other Non-Cash Items,- -,- -,4500000,6200000,7700000,-9800000,7300000,8500000,-300000,2038400000,175200000,181900000,308319000,1012099000,33115000,267696000,42468000,-9388853000,4814566000,79355000,-54487000,-118130000,-2132430000,7158669000,319431000,18035000,-37401000,236215000,184270000,114998000,301492000,748864000,-23862000,-16758000
83,Cash Provided by Operating Activities,- -,- -,18700000,20500000,26300000,10800000,30100000,32000000,27100000,44800000,42800000,59300000,58240000,98181000,80372000,99207000,86712000,81002000,85250000,83188000,90702000,71904000,126134000,126731000,105201000,114552000,122728000,88702000,87887000,87991000,132950000,111014000,111646000,157332000
84,CAPEX,- -,- -,-900000,-1400000,-800000,-1700000,-2500000,-2000000,-1300000,-2700000,-3400000,-2900000,-2894000,-5651000,-4454000,-3878000,-6047000,-8193000,-4311000,-16331000,-9436000,-8011000,-7602000,-6618000,-6964000,-8842000,-7444000,-11361000,-7466000,-7018000,-11533000,-14885000,-28632000,-14093000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39227000,5177000,-48836000,- -,- -,- -,- -,-144436000,- -,- -,- -,- -,- -,12270000,-4831000,- -,- -
86,Purchases of Investments,- -,- -,-217000000,-192800000,-231400000,-133200000,-217000000,-107100000,-213300000,-150900000,-296700000,-311500000,-98507000,-991540000,-1962998000,-5016132000,-430633000,304886000,-167050000,-842598000,-695928000,-118667000,-3032907000,-1267676000,-1225686000,-582728000,-361701000,-511161000,-738580000,-150203000,-383095000,-6138000,-364462000,-964714000
87,Sales/Maturities of Investments,- -,- -,199000000,97300000,229500000,148000000,250800000,74600000,141100000,189900000,187200000,314200000,160031000,492500000,2073073000,4400264000,495266000,541368000,312982000,711825000,391170000,671250000,2840895000,1623567000,1347944000,679588000,313651000,360683000,783226000,210628000,452772000,294003000,538008000,235728000
88,Other Investing Activites,- -,- -,7800000,-4500000,-41500000,-79400000,-98600000,-46600000,-101400000,-132400000,-56600000,-200600000,-157824000,148053000,90502000,-49093000,-212474000,-664496000,-103328000,-180684000,-320837000,-549918000,-152466000,-78057000,-165606000,-194767000,-225071000,-233629000,-189740000,-115378000,-26122000,-208070000,-600816000,330938000
89,Cash Used for Investing Activites,- -,- -,-10200000,-100000000,-43400000,-64600000,-64800000,-79100000,-173600000,-93400000,-166100000,-197900000,-96300000,-350987000,200577000,-664961000,-147841000,142531000,47781000,-360293000,-635031000,-5346000,-352080000,271216000,-194748000,-106749000,-280565000,-395468000,-152560000,-61971000,44292000,60079000,-455902000,-412141000
