,https://roic.ai/company/BMI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),400000,100000,1300000,1300000,1400000,1200000,800000,400000,1100000,1800000,2200000,3000000,3700000,5100000,6000000,3786000,1646000,4166000,5774000,8347000,9545000,10921000,10939000,14471000,15553000,15776000,8188000,15439000,13392000,15234000,15214000,17549000,20262000,8062000,14430000,15638000,17739000
23,Net Income,1300000,1200000,1800000,2100000,2400000,2300000,1600000,-3900000,2200000,3200000,3700000,5100000,6500000,8200000,9700000,6941000,3364000,7271000,7577000,9633000,13253000,7548000,16457000,25084000,34170000,28662000,19161000,28032000,24617000,29678000,25938000,32295000,34571000,27790000,47177000,49343000,60884000
24,Net Income ratio,0.0233,0.0197,0.0270,0.0295,0.0332,0.0298,0.0204,-0.0475,0.0260,0.0323,0.0341,0.0440,0.0497,0.0570,0.0643,0.0474,0.0243,0.0435,0.0412,0.0470,0.0612,0.0329,0.0701,0.0897,0.1365,0.1036,0.0729,0.0877,0.0737,0.0814,0.0687,0.0820,0.0859,0.0641,0.1111,0.1160,0.1205
25,EPS,0.06,0.05,0.08,0.09,0.10,0.09,0.06,-0.14,0.08,0.12,0.13,0.69,0.23,0.28,0.35,0.26,0.13,0.29,0.29,0.36,0.49,0.27,0.58,0.86,1.16,0.96,0.64,0.98,0.85,1.03,0.90,1.12,1.20,0.96,1.63,1.70,2.10
26,EPS Diluted,0.06,0.05,0.08,0.09,0.10,0.09,0.06,-0.14,0.08,0.12,0.13,0.68,0.21,0.27,0.33,0.25,0.13,0.28,0.29,0.35,0.47,0.26,0.56,0.84,1.14,0.95,0.64,0.97,0.85,1.03,0.90,1.11,1.19,0.95,1.61,1.69,2.08
27,Weighted Average Shares Outstanding,22608696,24000000,23606557,24347826,24935065,25205479,26122449,27368421,27500000,27526882,27924528,7396924,28480000,28992000,27952000,26464000,25304000,25320000,25800000,26388000,26980000,27736000,28422000,29112000,29612332,29812458,29942000,28664924,28724740,28613010,28758534,28887479,28927487,28993074,29028204,29052301,29052301
28,Weighted Average Shares Outstanding Diluted,22608696,24000000,23606557,24347826,24935065,25205479,26122449,27368421,27500000,27526882,27924528,7563560,31688000,31168000,29824000,27760000,26200000,26432000,26392000,27228000,28044000,28778000,29234000,29674000,29909614,30012172,30098000,28798440,28880712,28756658,28894316,29049801,29111291,29189257,29220165,29229868,29229868
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/9092/000095013706002572/c02859e10vk.htm,https://www.sec.gov/Archives/edgar/data/9092/000095013707003342/c12844e10vk.htm,https://www.sec.gov/Archives/edgar/data/9092/000095013708002959/c24212e10vk.htm,https://www.sec.gov/Archives/edgar/data/9092/000095013709001491/0000950137-09-001491-index.html,https://www.sec.gov/Archives/edgar/data/9092/000095012310015763/0000950123-10-015763-index.html,https://www.sec.gov/Archives/edgar/data/9092/000095012311019728/c62456e10vk.htm,https://www.sec.gov/Archives/edgar/data/9092/000119312512103471/0001193125-12-103471-index.html,https://www.sec.gov/Archives/edgar/data/9092/000000909213000004/0000009092-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/9092/000000909214000004/bmi-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/9092/000000909215000002/bmi-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/9092/000000909216000015/0000009092-16-000015-index.html,https://www.sec.gov/Archives/edgar/data/9092/000000909217000002/0000009092-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/9092/000000909218000002/0000009092-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/9092/000156459019004479/0001564590-19-004479-index.html,https://www.sec.gov/Archives/edgar/data/9092/000156459020005707/0001564590-20-005707-index.html,https://www.sec.gov/Archives/edgar/data/9092/000156459021008150/0001564590-21-008150-index.htm,https://www.sec.gov/Archives/edgar/data/9092/000156459022006284/0001564590-22-006284-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1300000,700000,1200000,800000,1000000,700000,400000,900000,900000,400000,1200000,1100000,1100000,2400000,3800000,4237000,3410000,3779000,2089000,2834000,4403000,3002000,8670000,6217000,13329000,3089000,4975000,6554000,7263000,6656000,8163000,7338000,11164000,13086000,48871000,72273000,87174000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1300000,700000,1200000,800000,1000000,700000,400000,900000,900000,400000,1200000,1100000,1100000,2400000,3800000,4237000,3410000,3779000,2089000,2834000,4403000,3002000,8670000,6217000,13329000,3089000,4975000,6554000,7263000,6656000,8163000,7338000,11164000,13086000,48871000,72273000,87174000
34,Net Receivables,6900000,7700000,8600000,8800000,10500000,11100000,10600000,11200000,11600000,14400000,13700000,15500000,19200000,19800000,24300000,19006000,18700000,22139000,26304000,26879000,30450000,29276000,30638000,35767000,35809000,40429000,41168000,45584000,50133000,53967000,56643000,59818000,58210000,66300000,61365000,61689000,65866000
