,https://roic.ai/company/AAPL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,220200000,263100000,405600000,638800000,792800000,761900000,907200000,1087200000,1381900000,1581347000,1931000000,1496000000,1035000000,955000000,681000000,953000000,466000000,565000000,950000000,1050000000,1312000000,2845000000,4029000000,4704000000,5057000000,9924000000,11717000000,18692000000,20641000000,27219000000,30343000000,29299000000,35673000000,48995000000,45804000000,37445000000,51506000000
35,Inventory,167000000,108700000,225800000,461500000,475400000,355500000,671700000,580100000,1506600000,1088434000,1775000000,662000000,437000000,78000000,20000000,33000000,11000000,45000000,56000000,101000000,165000000,270000000,346000000,509000000,455000000,1051000000,776000000,791000000,1764000000,2111000000,2349000000,2132000000,4855000000,3956000000,4106000000,4061000000,6580000000
36,Other Current Assets,97900000,92900000,110900000,137000000,587900000,911200000,680600000,1392500000,773500000,548815000,566000000,612000000,493000000,365000000,358000000,414000000,330000000,441000000,315000000,440000000,562000000,1284000000,2195000000,4987000000,7289000000,5083000000,6543000000,9041000000,10335000000,14124000000,15085000000,8283000000,13936000000,12087000000,12352000000,11264000000,14111000000
37,Total Current Assets,822100000,1040900000,1307400000,1783000000,2294400000,2403300000,2863600000,3558400000,4338400000,4476452000,5224000000,4515000000,3424000000,3698000000,4285000000,5427000000,5143000000,5388000000,5887000000,7055000000,10300000000,14509000000,21956000000,34690000000,36265000000,41678000000,44988000000,57653000000,73286000000,68531000000,89378000000,106869000000,128645000000,131339000000,162819000000,143713000000,134836000000
38,PP&E,90400000,107300000,130400000,207400000,334200000,398200000,448000000,462200000,659500000,667100000,711000000,598000000,486000000,348000000,318000000,313000000,564000000,621000000,669000000,707000000,817000000,1281000000,1832000000,2455000000,2954000000,4768000000,7777000000,15452000000,16597000000,20624000000,22471000000,27010000000,33783000000,41304000000,37378000000,36766000000,39440000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66000000,85000000,85000000,80000000,69000000,38000000,38000000,207000000,206000000,741000000,896000000,1135000000,1577000000,4616000000,5116000000,5414000000,5717000000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,34000000,24000000,17000000,27000000,139000000,299000000,285000000,247000000,342000000,3536000000,4224000000,4179000000,4142000000,3893000000,3206000000,2298000000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000000,119000000,109000000,97000000,96000000,177000000,337000000,492000000,453000000,1083000000,4432000000,5359000000,5756000000,8758000000,9009000000,8620000000,8015000000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339000000,- -,128000000,39000000,5000000,- -,- -,- -,- -,- -,10528000000,25391000000,55618000000,92122000000,106215000000,130162000000,164065000000,170430000000,194714000000,170799000000,105341000000,100887000000,127877000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,702000000,354000000,264000000,173000000,208000000,- -,266000000,229000000,60000000,86000000,183000000,- -,88000000,138000000,259000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,23700000,11900000,40100000,91700000,115300000,174200000,182000000,203100000,173500000,159194000,-406000000,-103000000,59000000,70000000,11000000,1063000000,-156000000,-98000000,85000000,105000000,155000000,1238000000,1134000000,1797000000,3392000000,2263000000,3556000000,5478000000,5146000000,3764000000,5556000000,8757000000,10162000000,22283000000,32978000000,42522000000,48849000000
45,Total Non-Current Assets,114100000,119200000,170500000,299100000,449500000,572400000,630000000,665300000,833000000,826294000,1007000000,849000000,809000000,591000000,876000000,1376000000,878000000,910000000,928000000,995000000,1251000000,2696000000,3391000000,4882000000,17586000000,33505000000,71383000000,118411000000,133714000000,163308000000,201101000000,214817000000,246674000000,234386000000,175697000000,180175000000,216166000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,936200000,1160100000,1477900000,2082100000,2743900000,2975700000,3493600000,4223700000,5171400000,5302746000,6231000000,5364000000,4233000000,4289000000,5161000000,6803000000,6021000000,6298000000,6815000000,8050000000,11551000000,17205000000,25347000000,39572000000,53851000000,75183000000,116371000000,176064000000,207000000000,231839000000,290479000000,321686000000,375319000000,365725000000,338516000000,323888000000,351002000000
48,Accounts Payable,- -,- -,- -,- -,334200000,340600000,357100000,426900000,742600000,881717000,1165000000,791000000,685000000,719000000,812000000,1157000000,801000000,911000000,1154000000,1451000000,1779000000,3390000000,4970000000,5520000000,5601000000,12015000000,14632000000,21175000000,22367000000,30196000000,35490000000,37294000000,49049000000,55888000000,46236000000,42296000000,54763000000
49,Short-Term Debt,- -,- -,- -,127900000,56800000,122600000,148600000,184500000,823200000,292200000,461000000,186000000,25000000,- -,- -,- -,- -,- -,304000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6308000000,10999000000,11605000000,18473000000,20748000000,16240000000,13769000000,15613000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388000000,488000000,100000000,439000000,210000000,1140000000,1535000000,1200000000,1209000000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,368000000,544000000,501000000,746000000,1410000000,4853000000,10305000000,2984000000,4091000000,5953000000,7435000000,8491000000,8940000000,8080000000,7548000000,7543000000,5522000000,6643000000,7612000000
52,Other Current Liabilities,295400000,328500000,478700000,699200000,504300000,563800000,711400000,814100000,949400000,770388000,699000000,1026000000,1108000000,801000000,737000000,776000000,717000000,747000000,531000000,685000000,1204000000,2335000000,2919000000,3719000000,3376000000,5723000000,9247000000,11414000000,13856000000,18453000000,25181000000,22027000000,25744000000,32687000000,37720000000,42684000000,47493000000
53,Total Current Liabilities,295400000,328500000,478700000,827100000,895300000,1027000000,1217100000,1425500000,2515200000,1944305000,2325000000,2003000000,1818000000,1520000000,1549000000,1933000000,1518000000,1658000000,2357000000,2680000000,3484000000,6471000000,9299000000,14092000000,19282000000,20722000000,27970000000,38542000000,43658000000,63448000000,80610000000,79006000000,100814000000,116866000000,105718000000,105392000000,125481000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,304000000,303000000,949000000,951000000,954000000,300000000,300000000,317000000,316000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16960000000,28987000000,53463000000,75427000000,97207000000,93735000000,91807000000,98667000000,109106000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281000000,355000000,830000000,3029000000,4485000000,1139000000,1686000000,2648000000,2625000000,3031000000,3624000000,2930000000,2836000000,2797000000,- -,- -,- -
56,Deferred Tax Liabilities,90300000,137500000,162800000,251600000,362900000,501800000,509900000,610800000,629800000,670668000,- -,- -,- -,- -,- -,463000000,- -,- -,235000000,294000000,308000000,381000000,619000000,675000000,966000000,- -,8159000000,13847000000,16489000000,20259000000,24062000000,26019000000,31504000000,426000000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-100000,- -,- -,100000,-100000,- -,- -,472000,702000000,354000000,264000000,173000000,208000000,- -,266000000,229000000,- -,- -,12000000,14000000,67000000,746000000,1286000000,5531000000,1941000000,2817000000,3719000000,4567000000,9365000000,10055000000,8911000000,44754000000,50503000000,54490000000,53325000000
58,Total Non-Current Liabilities,90300000,137500000,162700000,251600000,362900000,501900000,509800000,610800000,629800000,975140000,1005000000,1303000000,1215000000,1127000000,508000000,763000000,583000000,545000000,235000000,294000000,601000000,750000000,1516000000,4450000000,6737000000,6670000000,11786000000,19312000000,39793000000,56844000000,90514000000,114431000000,140458000000,141712000000,142310000000,153157000000,162431000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,385700000,466000000,641400000,1078700000,1258200000,1528900000,1726900000,2036300000,3145000000,2919445000,3330000000,3306000000,3033000000,2647000000,2057000000,2696000000,2101000000,2203000000,2592000000,2974000000,4085000000,7221000000,10815000000,18542000000,26019000000,27392000000,39756000000,57854000000,83451000000,120292000000,171124000000,193437000000,241272000000,258578000000,248028000000,258549000000,287912000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,297929000,398000000,439000000,498000000,633000000,1349000000,1502000000,1693000000,1826000000,1926000000,2514000000,3521000000,4355000000,5368000000,7177000000,8210000000,10668000000,13331000000,16422000000,19764000000,23313000000,27416000000,31251000000,35867000000,40201000000,45174000000,50779000000,57365000000
64,Retained Earnings,320300000,474300000,573100000,776500000,1175900000,1312200000,1492000000,1904500000,1842600000,2096206000,2464000000,1634000000,589000000,898000000,1499000000,2285000000,2260000000,2325000000,2394000000,2670000000,4005000000,5607000000,9101000000,13845000000,19538000000,37169000000,62841000000,101289000000,104256000000,87152000000,92284000000,96364000000,98330000000,70400000000,45898000000,14966000000,5562000000
65,Other Comprehensive Income/Loss,-85200000,-114700000,-158700000,-213000000,-309100000,-446700000,-588000000,-673400000,-753100000,-785088000,78000000,-30000000,-74000000,-39000000,106000000,-387000000,-33000000,-56000000,-35000000,-15000000,- -,22000000,63000000,8000000,84000000,-46000000,443000000,499000000,-471000000,1082000000,-345000000,634000000,-150000000,-3454000000,-584000000,-406000000,163000000
66,Other Total Stockholders Equity,315400000,334500000,422100000,439900000,618900000,581300000,862700000,956300000,936900000,774254000,- -,15000000,187000000,150000000,150000000,707000000,- -,- -,-62000000,-93000000,-60000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,550500000,694100000,836500000,1003400000,1485700000,1446800000,1766700000,2187400000,2026400000,2383301000,2901000000,2058000000,1200000000,1642000000,3104000000,4107000000,3920000000,4095000000,4223000000,5076000000,7466000000,9984000000,14532000000,21030000000,27832000000,47791000000,76615000000,118210000000,123549000000,111547000000,119355000000,128249000000,134047000000,107147000000,90488000000,65339000000,63090000000
68,Total Liabilities And Stockholders Equity,936200000,1160100000,1477900000,2082100000,2743900000,2975700000,3493600000,4223700000,5171400000,5302746000,6231000000,5364000000,4233000000,4289000000,5161000000,6803000000,6021000000,6298000000,6815000000,8050000000,11551000000,17205000000,25347000000,39572000000,53851000000,75183000000,116371000000,176064000000,207000000000,231839000000,290479000000,321686000000,375319000000,365725000000,338516000000,323888000000,351002000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,936200000,1160100000,1477900000,2082100000,2743900000,2975700000,3493600000,4223700000,5171400000,5302746000,6231000000,5364000000,4233000000,4289000000,5161000000,6803000000,6021000000,6298000000,6815000000,8050000000,11551000000,17205000000,25347000000,39572000000,53851000000,75183000000,116371000000,176064000000,207000000000,231839000000,290479000000,321686000000,375319000000,365725000000,338516000000,323888000000,351002000000
