,https://roic.ai/company/CVS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4774900000,5262400000,5930300000,6780400000,7554000000,8686800000,9886200000,10432800000,10435400000,11285600000,9689100000,5528100000,12738200000,15274000000,- -,20088000000,22241000000,24182000000,- -,26588000000,37006200000,43814000000,76330000000,87471900000,98729000000,96413000000,107100000000,123133000000,126761000000,139367000000,153290000000,177526000000,184765000000,194579000000,256776000000,268706000000,292111000000
2,COGS,2853900000,3141100000,3567800000,4085600000,4564100000,5372400000,6163900000,6529200000,6664400000,7252600000,6544100000,3920700000,9294100000,11144000000,- -,14726000000,16545000000,18113000000,- -,19725000000,27105000000,31875000000,60222000000,69181500000,78349000000,76156000000,86539000000,100627000000,102978000000,114000000000,126762000000,148669000000,156220000000,163041000000,211248000000,219660000000,175803000000
3,Gross Profit,1921000000,2121300000,2362500000,2694800000,2989900000,3314400000,3722300000,3903600000,3771000000,4033000000,3145000000,1607400000,3444100000,4130000000,- -,5362000000,5696000000,6069000000,- -,6863000000,9901200000,11939000000,16108000000,18290400000,20380000000,20257000000,20561000000,22506000000,23783000000,25367000000,26528000000,28857000000,28545000000,31538000000,45528000000,49046000000,116308000000
4,Gross Profit Ratio,0.4023,0.4031,0.3984,0.3974,0.3958,0.3815,0.3765,0.3742,0.3614,0.3574,0.3246,0.2908,0.2704,0.2704,- -,0.2669,0.2561,0.2510,- -,0.2581,0.2676,0.2725,0.2110,0.2091,0.2064,0.2101,0.1920,0.1828,0.1876,0.1820,0.1731,0.1626,0.1545,0.1621,0.1773,0.1825,0.3982
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1408900000,1573700000,1766900000,2023000000,2231200000,2535800000,2914200000,3341700000,2956100000,3216000000,2722600000,1174100000,2575400000,2949000000,- -,3742000000,4253000000,4552000000,- -,5098000000,7292600000,8764000000,- -,12244200000,- -,14092000000,14231000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1408900000,1573700000,1766900000,2023000000,2231200000,2535800000,2914200000,3341700000,2956100000,3216000000,2722600000,1174100000,2575400000,2949000000,- -,3742400000,4247100000,4552300000,- -,5097700000,7292600000,8764100000,11314400000,12244200000,- -,14092000000,14231000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,63100000,64100000,72000000,82200000,97800000,114400000,138500000,201000000,191600000,206300000,228400000,133700000,226200000,408000000,- -,296600000,678900000,309700000,- -,341300000,589100000,732900000,-400000,- -,13942000000,- -,- -,15278000000,15746000000,16568000000,17074000000,18519000000,19028000000,21368000000,33541000000,35135000000,37066000000
10,Operating Expenses,1472000000,1637800000,1838900000,2105200000,2329000000,2650200000,3052700000,3542700000,3147700000,3422300000,2951000000,1307800000,2801600000,3357000000,- -,4039000000,4926000000,4862000000,- -,5439000000,7881700000,9497000000,11314000000,12244200000,13942000000,14092000000,14231000000,15278000000,15746000000,16568000000,17074000000,18519000000,19028000000,21368000000,33541000000,35135000000,37066000000
11,COGS and Expenses,4325900000,4778900000,5406700000,6190800000,6893100000,8022600000,9216600000,10071900000,9812100000,10674900000,9495100000,5228500000,12095700000,14501000000,- -,18765000000,21471000000,22975000000,- -,25164000000,34986700000,41372000000,71536000000,81425700000,92291000000,90248000000,100770000000,115905000000,118724000000,130568000000,143836000000,167188000000,175248000000,184409000000,244789000000,254795000000,212869000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,3000000,4000000,4000000,8000000,15000000,21000000,20000000,21000000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61000000,- -,-79000000,-61000000,-50000000,- -,-48000000,- -,-216000000,-435000000,- -,530000000,539000000,588000000,561000000,517000000,615000000,859000000,1078000000,1062000000,2619000000,3035000000,2907000000,2503000000
14,Depreciation and Amortization,63100000,64100000,72000000,82200000,97800000,114400000,138500000,201000000,191600000,206300000,228400000,133700000,226200000,249700000,- -,296600000,320800000,310300000,- -,341700000,589100000,733300000,1094600000,1274200000,1389000000,1469000000,1568000000,1753000000,1870000000,1931000000,2092000000,2475000000,2479000000,2718000000,4371000000,4441000000,- -
15,EBITDA,444700000,496300000,548100000,624700000,703900000,701700000,728100000,460100000,743800000,732500000,-610900000,372900000,381600000,899700000,- -,1460600000,968800000,1416300000,- -,1668700000,2498100000,2743300000,5018600000,6678900000,7820000000,7625000000,7875000000,8632000000,9907000000,10223000000,11574000000,12187000000,11800000000,6745000000,16406000000,17096000000,12923000000
16,EBITDA ratio,0.0931,0.0943,0.0924,0.0921,0.0932,0.0808,0.0736,0.0441,0.0713,0.0649,-0.0631,0.0675,0.0300,0.0589,- -,0.0727,0.0436,0.0586,- -,0.0628,0.0675,0.0626,0.0657,0.0764,0.0792,0.0791,0.0735,0.0701,0.0782,0.0734,0.0755,0.0686,0.0639,0.0347,0.0639,0.0636,0.0442
17,Operating Income,449000000,483500000,523600000,589600000,660900000,664200000,669600000,360900000,623300000,610700000,194000000,299600000,642500000,930500000,- -,1322700000,770600000,1206200000,- -,341700000,2019500000,2441600000,4793300000,6046200000,6438000000,6165000000,6330000000,7228000000,8037000000,8799000000,9454000000,10338000000,9517000000,4021000000,11987000000,13911000000,13193000000
18,Operating Income ratio,0.0940,0.0919,0.0883,0.0870,0.0875,0.0765,0.0677,0.0346,0.0597,0.0541,0.0200,0.0542,0.0504,0.0609,- -,0.0658,0.0346,0.0499,- -,0.0129,0.0546,0.0557,0.0628,0.0691,0.0652,0.0639,0.0591,0.0587,0.0634,0.0631,0.0617,0.0582,0.0515,0.0207,0.0467,0.0518,0.0452
19,Total Other Income Expenses (Gains),-57800000,-51300000,-47500000,-47100000,-54800000,-76900000,-80000000,-79200000,-71100000,-84500000,-991800000,103800000,-487500000,-219500000,- -,-79700000,-60600000,-50200000,- -,1034300000,-110500000,-215600000,-434300000,-509500000,-525000000,-536000000,-584000000,-905000000,-509000000,-1121000000,-838000000,-1701000000,-1249000000,-2615000000,-2990000000,-4141000000,-2773000000
20,Income Before Tax,391200000,432200000,476100000,542500000,606100000,587300000,589600000,281700000,552200000,526200000,-797800000,403400000,155000000,711000000,- -,1243000000,710000000,1156000000,- -,1376000000,1909000000,2226000000,4359000000,5536700000,5913000000,5629000000,5746000000,6323000000,7528000000,7678000000,8616000000,8637000000,8268000000,1406000000,8997000000,9770000000,10420000000
21,Income Before Tax Ratio,0.0819,0.0821,0.0803,0.0800,0.0802,0.0676,0.0596,0.0270,0.0529,0.0466,-0.0823,0.0730,0.0122,0.0465,- -,0.0619,0.0319,0.0478,- -,0.0518,0.0516,0.0508,0.0571,0.0633,0.0599,0.0584,0.0537,0.0514,0.0594,0.0551,0.0562,0.0487,0.0447,0.0072,0.0350,0.0364,0.0357
22,Income Tax expense (Gain),171400000,193900000,190700000,188000000,208000000,202000000,242900000,125700000,220400000,218700000,-182100000,163800000,117700000,315000000,- -,497000000,296000000,439000000,- -,528000000,684300000,857000000,1722000000,2192600000,2205000000,2190000000,2258000000,2441000000,2928000000,3033000000,3386000000,3317000000,1637000000,2002000000,2366000000,2569000000,2522000000
23,Net Income,210200000,238300000,285400000,354500000,398100000,385300000,346700000,133400000,331800000,307500000,-657200000,75400000,37700000,396000000,- -,746000000,413000000,717000000,- -,847000000,1224700000,1369000000,2637000000,3212100000,3696000000,3427000000,3461000000,3877000000,4592000000,4644000000,5237000000,5317000000,6622000000,-594000000,6634000000,7179000000,7898000000
