,https://roic.ai/company/ITIC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6200000,8900000,10000000,9100000,8900000,9800000,10300000,14300000,2600000,16900000,17365950,22991182,32390516,48476263,47366559,42229768,64472445,73247340,90829871,79841176,87863878,84661716,84942287,71123261,71308160,71309355,90685156,115079092,126251497,123119286,127200072,138492414,161649296,156259000,183502000,236408000,329498000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1654000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0070,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,1100000,1500000,6000000,2600000,- -,7900000,3669995,5780048,10065249,17399629,17045552,15470852,28074489,32006188,39113544,29152645,30309405,26714784,28424960,28266083,25725746,56184484,27741817,31034987,34815911,36096070,39724215,43172685,54167318,52365000,55312000,61880000,77252000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27717807,29254311,1544588,49596250,- -,- -,- -,- -,- -,68643220,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,1100000,1500000,6000000,2600000,- -,7900000,3669995,5780048,10065249,17399629,17045552,15470852,28074489,32006188,39113544,29152645,30309405,26714784,28424960,55983890,54980057,57729072,77338067,31034987,34815911,36096070,39724215,43172685,122810538,52365000,55312000,61880000,77252000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38690595,40285216,44575040,18016110,10019943,5270928,3661933,67965013,70184089,73903930,69275785,66827315,8189462,76635000,88688000,-59609000,- -
