,https://roic.ai/company/RDI,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,3200000,3200000,3400000,3400000,3400000,3300000,3300000,3300000,3300000,3300000,5800000,6610280,8737500,6003924,6375000,6705882,6680986,7536170,9980946,21821236,21860222,21948065,22249967,22674818,22478145,22477471,22767735,22781392,22993135,23028596,23520271,23749221,23495618,23521157,23247969,23208991,22784122,22215511,21809402
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716634/000095015003000386/0000950150-03-000386-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000095012904001315/0000950129-04-001315-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000095012905002846/0000950129-05-002846-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000095012906002759/0000950129-06-002759-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663407000012/0000716634-07-000012-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663408000009/0000716634-08-000009-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663409000010/0000716634-09-000010-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663410000003/0000716634-10-000003-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663411000002/0000716634-11-000002-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/716634/000071663414000004/0000716634-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000156276215000083/0001562762-15-000083-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663416000067/0000716634-16-000067-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663417000007/0000716634-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663418000006/0000716634-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663419000007/0000716634-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663420000003/0000716634-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663421000005/0000716634-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663422000009/0000716634-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,113500000,110800000,75300000,20000000,48000000,114200000,157800000,168300000,255300000,110300000,146000000,4805000,16291000,6356000,4364000,4400000,24732000,16010000,20876000,19286000,21735000,12292000,8548000,11008000,20782000,30874000,24758000,34568000,31597000,38531000,37696000,50248000,19702000,19017000,13668000,13127000,12135000,26826000,83251000
32,Short-Term Investments,1956600000,2637400000,2928500000,3137000000,3667800000,4406000000,4703000000,5374300000,4703800000,4367200000,3972000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000,29000,401000,8436000,4533000,3100000,3120000,2985000,2874000,8055000,55000,54000,51000,50000,46000,42000,47000,26000,23000
33,Cash and Short-Term Investments,2070100000,2748200000,3003800000,3157000000,3715800000,4520200000,4860800000,5542600000,4959100000,4477500000,4118000000,4805000,16291000,6356000,4364000,4400000,24732000,16010000,20876000,19286000,21820000,12321000,8949000,19444000,25315000,33974000,27878000,37553000,34471000,46586000,37751000,50302000,19753000,19067000,13714000,13169000,12182000,26852000,83274000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1219000,437000,311000,925000,600000,95000,1430000,3662000,3765000,4787000,7145000,5272000,6612000,5671000,7868000,9458000,5470000,6973000,8514000,9087000,11348000,12173000,10248000,14736000,10749000,8754000,8010000,5360000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,333000,452000,518000,804000,468000,606000,654000,797000,860000,989000,1035000,918000,941000,1010000,1122000,1391000,1432000,1419000,1674000,1059000,1408000
36,Other Current Assets,66000000,22300000,58600000,27400000,9900000,48300000,32000000,49100000,73400000,136400000,154800000,-24000,172000,133000,-689000,- -,3170000,2061000,4761000,4894000,3068000,4000000,996000,3629000,3859000,24099000,3253000,60905000,9993000,9700000,7338000,21271000,3873000,41935000,3593000,4921000,4389000,20546000,10264000
37,Total Current Assets,2136100000,2770500000,3062400000,3184400000,3725700000,4568500000,4892800000,5591700000,5032500000,4613900000,4272800000,6000000,16900000,6800000,4600000,5000000,27997000,19531000,29632000,28397000,30193000,24270000,15685000,30291000,35499000,66738000,41449000,104917000,52472000,65718000,55117000,83931000,36921000,72641000,33475000,30258000,26999000,56467000,100306000
38,PP&E,29800000,29100000,26800000,25900000,40300000,73400000,48800000,47600000,48300000,46600000,49200000,19858000,22193000,14433000,13652000,8000000,7731000,19820000,74878000,101481000,122546000,133660000,197347000,211141000,258013000,220765000,279425000,255952000,307126000,202778000,191660000,186889000,210298000,211886000,264724000,257667000,488017000,573628000,227367000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5090000,- -,14653000,17919000,19100000,34964000,37411000,21535000,22277000,22898000,22159000,21281000,19715000,19828000,20276000,19445000,26448000,28116000,26758000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,16600000,29400000,25400000,20600000,2100000,- -,- -,- -,- -,- -,- -,10847000,20660000,19402000,12248000,25773000,8788000,7954000,8448000,25118000,22655000,20156000,17999000,15661000,13440000,11486000,9889000,10037000,8542000,7369000,4320000,3971000,3258000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,16600000,29400000,25400000,20600000,2100000,- -,- -,- -,- -,- -,- -,10847000,20660000,19402000,17338000,25773000,23441000,25873000,27548000,60082000,60066000,41691000,40276000,38559000,35599000,32767000,29604000,29865000,28818000,26814000,30768000,32087000,30016000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10570000,11253000,8677000,8553000,7573000,7007000,6208000,5909000,6142000,5959000,5907000,5863000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12399000,8989000,5566000,15967000,25649000,28667000,24908000,26235000,3444000,3362000,2220000
44,Other Non-Current Assets,41000000,42000000,50800000,63700000,59700000,- -,22400000,29000000,20300000,17200000,65400000,14042000,707000,9059000,10608000,22000000,11478000,13724000,45425000,33492000,52789000,46524000,16584000,21926000,25011000,22491000,14907000,16536000,9814000,103991000,91292000,75025000,66411000,56798000,64959000,92095000,119854000,18762000,-253142000
45,Total Non-Current Assets,70800000,71100000,77600000,89600000,100000000,73400000,87800000,106000000,94000000,84400000,116700000,33900000,22900000,23492000,24260000,30000000,19209000,44391000,140963000,154375000,192673000,205957000,237372000,258940000,310572000,303338000,364968000,325432000,378292000,362870000,331690000,317655000,338170000,333125000,389551000,408770000,647990000,633702000,6461000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,593857000
47,Total Assets,2206900000,2841600000,3140000000,3274000000,3825700000,4641900000,4980600000,5697700000,5126500000,4698300000,4389500000,39900000,39800000,30292000,28860000,35000000,47206000,63922000,170595000,182772000,222866000,230227000,253057000,289231000,346071000,370076000,406417000,430349000,430764000,428588000,386807000,401586000,375091000,405766000,423026000,439028000,674989000,690169000,687702000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,2254000,5852000,12395000,13183000,13222000,15341000,13538000,13539000,12331000,13170000,22199000,21687000,23067000,25566000,25046000,27435000,32929000,37007000,47870000,34815000,38152000,41350000,- -
49,Short-Term Debt,122700000,42100000,107800000,108000000,442400000,607600000,622200000,594200000,531200000,327000000,407800000,950000,- -,- -,- -,- -,128000,151000,4892000,2119000,1930000,610000,1776000,7237000,5395000,1347000,21914000,108124000,29630000,34569000,81438000,44004000,20900000,6467000,14009000,36293000,57852000,65047000,35086000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6140000,23872000,14858000,15234000,8308000,6003000,5275000,3523000,2938000,1710000,140000,82000,52000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1131000,1150000,1561000,2227000,2319000,2565000,3214000,5645000,6968000,8727000,10271000,11587000,11864000,14239000,14591000,10758000,9850000,9264000,11324000,10133000,9996000
52,Other Current Liabilities,1988500000,2709200000,2913100000,3017700000,3220700000,3847500000,4163300000,4825000000,4314200000,4088100000,3734300000,7250000,5900000,2100000,1100000,100000,28000,2766000,10666000,11821000,12683000,11900000,12334000,13947000,8214000,13941000,6597000,24013000,14995000,15411000,8563000,7072000,7015000,11754000,8717000,5156000,3809000,4077000,61897000
53,Total Current Liabilities,2111200000,2751300000,3020900000,3125700000,3663100000,4455100000,4785500000,5419200000,4845400000,4415100000,4142100000,8200000,5900000,2100000,1100000,1500000,2410000,8769000,29084000,28273000,29396000,30078000,29967000,37288000,29154000,34103000,57678000,162551000,77963000,87133000,126911000,92750000,75435000,65986000,80446000,85528000,111137000,120607000,106979000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,60000000,60000000,60000000,60000000,14123000,16439000,10379000,9485000,9200000,10872000,15221000,37490000,48121000,69215000,82642000,107544000,122975000,171800000,237815000,205079000,120697000,179984000,169961000,94719000,127197000,122035000,143314000,122602000,132438000,398849000,459090000,418562000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,577000,41000,- -,- -,- -,5083000,4596000,4398000,18000,32000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6968000,2267000,12191000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,12200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-223000,-239000,121000,-97000,600000,441000,750000,8125000,10176000,11276000,12027000,13063000,18706000,20920000,30505000,25852000,32154000,35639000,40540000,43430000,44258000,35829000,45453000,38719000,40483000,25387000,29299000,57101000
58,Total Non-Current Liabilities,12200000,- -,- -,- -,- -,- -,- -,60000000,60000000,60000000,60000000,13900000,16200000,10500000,9700000,9800000,11313000,15971000,45615000,58297000,80491000,94669000,120607000,141681000,192720000,268320000,238476000,155159000,227814000,210501000,138149000,176538000,162460000,193165000,161339000,172953000,424236000,488389000,475663000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19406000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7933000,7697000,7165000,11994000,6167000,6086000,5991000,249689000,241554000,- -
61,Total Liabilities,2123400000,2751300000,3020900000,3125700000,3663100000,4455100000,4785500000,5479200000,4905400000,4475100000,4202100000,22074000,22095000,12568000,10806000,11300000,13723000,24740000,74699000,86570000,109887000,124747000,150574000,178969000,221874000,302423000,296154000,317710000,305777000,297634000,265060000,269288000,237895000,259151000,241785000,258481000,535373000,608996000,582642000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,67000,67000,67000,67000,100000,67000,100000,218000,218000,219000,220000,230000,231000,231000,231000,230000,231000,235000,238000,240000,243000,246000,247000,248000,249000,248000,248000,- -
64,Retained Earnings,55800000,62700000,88700000,117700000,134200000,158300000,166400000,189700000,192400000,194400000,127300000,-47540000,-46142000,-39948000,-39618000,-33900000,-24444000,-27986000,-32558000,-40512000,-46440000,-54903000,-53914000,-50058000,-52670000,-71205000,-63385000,-76035000,-66079000,-66993000,-57952000,-32251000,-9478000,1680000,32679000,47616000,20647000,-44553000,-12632000
65,Other Comprehensive Income/Loss,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1200000,-752000,-1135000,-739000,8042000,31196000,32386000,28575000,33393000,46177000,7210000,41514000,57120000,58937000,61369000,41515000,28039000,11806000,12075000,20991000,6115000,5589000,12502000,- -
66,Other Total Stockholders Equity,27700000,27600000,30600000,30500000,28400000,28500000,28700000,28800000,28700000,28800000,60000000,65311000,63795000,57605000,57605000,58700000,58612000,68149000,124204000,123517000,123516000,124307000,124513000,124093000,127624000,129600000,130530000,130471000,130659000,132242000,133337000,131655000,130291000,128195000,122992000,122230000,108865000,109572000,12632000
67,Total Stockholders Equity,83500000,90300000,119100000,148200000,162600000,186800000,195100000,218500000,221100000,223200000,187400000,17838000,17720000,17724000,18054000,23700000,33483000,39128000,91125000,91265000,108491000,102010000,99404000,107659000,121362000,65836000,108889000,111787000,123752000,126856000,117140000,127686000,132865000,142197000,176910000,176210000,135349000,77769000,105060000
68,Total Liabilities And Stockholders Equity,2206900000,2841600000,3140000000,3273900000,3825700000,4641900000,4980600000,5697700000,5126500000,4698300000,4389500000,39912000,39815000,30292000,28860000,35000000,47206000,63868000,165824000,177835000,218378000,226757000,249978000,286628000,343236000,368259000,405043000,429497000,429529000,424490000,382200000,396974000,370760000,401348000,418695000,434691000,670722000,686765000,687702000
69,Minority Interest,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,-12000,-15000,- -,- -,- -,- -,54000,4771000,4937000,4488000,3470000,3079000,2603000,2835000,1817000,1374000,852000,1235000,4098000,4607000,4612000,4331000,4418000,4331000,4337000,4267000,3404000,- -
70,Total Liabilities & Equity,2206900000,2841600000,3140000000,3274000000,3825700000,4641900000,4980600000,5697700000,5126500000,4698300000,4389500000,39900000,39800000,30292000,28860000,35000000,47206000,63922000,170595000,182772000,222866000,230227000,253057000,289231000,346071000,370076000,406417000,430349000,430764000,428588000,386807000,401586000,375091000,405766000,423026000,439028000,674989000,690169000,687702000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716634/000095015003000386/0000950150-03-000386-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000095012904001315/0000950129-04-001315-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000095012905002846/0000950129-05-002846-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000095012906002759/0000950129-06-002759-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663407000012/0000716634-07-000012-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663408000009/0000716634-08-000009-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663409000010/0000716634-09-000010-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663410000003/0000716634-10-000003-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663411000002/0000716634-11-000002-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/716634/000071663414000004/0000716634-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000156276215000083/0001562762-15-000083-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663416000067/0000716634-16-000067-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663417000007/0000716634-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663418000006/0000716634-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663419000007/0000716634-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663420000003/0000716634-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663421000005/0000716634-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/716634/000071663422000009/0000716634-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,29000000,28200000,24100000,8100000,23300000,2700000,2000000,-67200000,-174825000,1398000,6426000,1530000,5700000,9487000,-3542000,-4572000,-7954000,-5928000,-8463000,989000,3856000,-2103000,-18535000,6094000,-12650000,9956000,-914000,9041000,25701000,22773000,9403000,30999000,14366000,-26429000,-65200000,34814000
74,Depreciation and Amortization,- -,- -,- -,2880000,3010000,4140000,5960000,7620000,10080000,9340000,23090000,276000,420000,395000,345000,700000,536000,657000,2044000,8705000,12003000,12899000,12384000,13212000,12174000,22207000,15168000,15914000,17792000,16779000,15610000,15760000,15481000,17486000,18348000,23436000,23699000,23363000,- -
75,Deferred Income Tax,- -,- -,- -,8780000,1120000,-2840000,-7160000,-2190000,-13280000,-19970000,14490000,- -,- -,- -,- -,-4400000,3273000,-443000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15028000,1929000,2198000,-14029000,-4067000,-5060000,4073000,-1719000,23115000,401000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,916000,821000,939000,1278000,950000,1413000,1458000,609000,1000000,1458000,1463000,1421000,- -
