,https://roic.ai/company/AES,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,190200000,333500000,401000000,518700000,532700000,685000000,835000000,1411000000,2398000000,3253000000,6691000000,9327000000,8632000000,8415000000,9486000000,11086000000,12299000000,13588000000,16070000000,14119000000,16647000000,17274000000,18141000000,15891000000,17146000000,14963000000,13586000000,10530000000,10736000000,10189000000,9660000000,11141000000
2,COGS,- -,- -,- -,- -,225600000,350000000,437000000,867000000,1391000000,1971000000,4409000000,7025000000,- -,- -,- -,- -,- -,10179000000,12363000000,10624000000,12683000000,13140000000,14427000000,12644000000,14058000000,12097000000,11153000000,8066000000,8163000000,7840000000,6967000000,8430000000
3,Gross Profit,- -,- -,- -,- -,307100000,335000000,398000000,544000000,1007000000,1282000000,2282000000,2302000000,- -,8415000000,- -,11086000000,12299000000,3409000000,3707000000,3495000000,3964000000,4134000000,3714000000,3247000000,3088000000,2866000000,2433000000,2464000000,2573000000,2349000000,2693000000,2711000000
4,Gross Profit Ratio,- -,- -,- -,- -,0.5765,0.4891,0.4766,0.3855,0.4199,0.3941,0.3411,0.2468,- -,1.0000,- -,1.0000,1.0000,0.2509,0.2307,0.2475,0.2381,0.2393,0.2047,0.2043,0.1801,0.1915,0.1791,0.2340,0.2397,0.2305,0.2788,0.2433
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,31600000,32000000,35000000,45000000,56000000,71000000,85000000,120000000,112000000,157000000,182000000,221000000,305000000,379000000,371000000,345000000,392000000,391000000,301000000,220000000,187000000,196000000,194000000,215000000,192000000,196000000,165000000,166000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,31600000,32000000,35000000,45000000,56000000,71000000,85000000,120000000,112000000,157000000,182000000,221000000,305000000,379000000,371000000,345000000,392000000,391000000,301000000,220000000,187000000,196000000,194000000,215000000,192000000,196000000,165000000,166000000
9,Other Expenses,- -,- -,- -,- -,43400000,55000000,85000000,138000000,197000000,286000000,582000000,131000000,8925000000,5982000000,6714000000,7908000000,8898000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000000,- -,7000000,- -,- -,- -
10,Operating Expenses,- -,- -,- -,- -,75000000,87000000,120000000,183000000,253000000,357000000,667000000,251000000,9037000000,6139000000,6896000000,8129000000,9203000000,379000000,371000000,345000000,392000000,391000000,301000000,220000000,187000000,196000000,246000000,215000000,199000000,196000000,165000000,166000000
11,COGS and Expenses,- -,- -,- -,- -,300600000,437000000,557000000,1050000000,1644000000,2328000000,5076000000,7276000000,9037000000,6139000000,6896000000,8129000000,9203000000,10558000000,12734000000,10969000000,13075000000,13531000000,14728000000,12864000000,14245000000,12293000000,11399000000,8281000000,8362000000,8036000000,7132000000,8596000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245000000,- -,- -,280000000,- -,391000000,443000000,500000000,540000000,348000000,411000000,400000000,349000000,275000000,365000000,524000000,464000000,244000000,310000000,318000000,268000000,298000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1299000000,- -,- -,1986000000,- -,1896000000,1802000000,1788000000,1844000000,1515000000,1526000000,1603000000,1572000000,1482000000,1471000000,1436000000,1431000000,1170000000,1056000000,1050000000,1038000000,911000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,942000000,1001000000,1049000000,1178000000,1262000000,1394000000,1294000000,1245000000,1144000000,1176000000,1169000000,1003000000,1045000000,1068000000,1056000000
15,EBITDA,15500000,42600000,55800000,71300000,143600000,164000000,185000000,241000000,456000000,339000000,2192000000,503000000,-3536000000,1777000000,635000000,2991000000,2466000000,3320000000,4853000000,3821000000,3020000000,3559000000,2762000000,3233000000,3904000000,3351000000,1289000000,2168000000,3970000000,2750000000,2368000000,1425000000
