,https://roic.ai/company/WY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0522,0.0707,0.1033,0.1293,0.0843,0.1111,0.0713,0.0874,0.1028,0.1173,0.1606,0.0963,0.0765,0.0714,0.1029,0.1049,0.0616,0.0574,0.0588,0.1171,0.0601,0.0544,0.0249,-0.3157,-0.0809,0.0714,0.0956,0.1041,0.0876,0.1783,0.1298,0.1367,0.1572,0.1865,0.0993,0.2270,0.3571
19,Total Other Income Expenses (Gains),32100000,20800000,-8900000,-444100000,-337600000,-403100000,-798200000,-242400000,-173100000,-300000000,-649000000,-350000000,-319000000,-306000000,-292000000,-354000000,-380000000,-692000000,-732000000,-708000000,-469000000,-366000000,-347000000,-176000000,-395000000,-372000000,-337000000,-296000000,-313000000,-307000000,-416000000,-366000000,-415000000,-587000000,-864000000,-728000000,-327000000
20,Income Before Tax,303700000,420600000,713100000,849000000,514100000,599800000,-177800000,563300000,808500000,920000000,1244000000,720000000,539000000,463000000,970000000,1323000000,516000000,371000000,436000000,1945000000,890000000,826000000,59000000,-2707000000,-842000000,96000000,257000000,439000000,434000000,1013000000,503000000,504000000,716000000,807000000,-213000000,982000000,3316000000
21,Income Before Tax Ratio,0.0583,0.0744,0.1020,0.0849,0.0509,0.0665,-0.0204,0.0611,0.0847,0.0885,0.1055,0.0648,0.0481,0.0430,0.0791,0.0828,0.0355,0.0200,0.0219,0.0858,0.0393,0.0377,0.0036,-0.3376,-0.1523,0.0147,0.0413,0.0622,0.0509,0.1368,0.0710,0.0792,0.0995,0.1079,-0.0325,0.1304,0.3251
22,Income Tax expense (Gain),103600000,143900000,266500000,284600000,173000000,206100000,-76900000,191300000,281200000,331000000,445000000,257000000,197000000,169000000,354000000,483000000,162000000,130000000,148000000,662000000,324000000,471000000,8000000,-888000000,-274000000,-1187000000,-62000000,55000000,-129000000,185000000,-3000000,89000000,134000000,59000000,-137000000,- -,709000000
23,Net Income,200100000,276700000,446600000,564400000,341100000,393700000,-100900000,372000000,579400000,589000000,799000000,463000000,342000000,294000000,527000000,840000000,354000000,241000000,277000000,1283000000,717000000,453000000,790000000,-1176000000,-545000000,1281000000,331000000,385000000,563000000,1826000000,506000000,1027000000,582000000,748000000,-76000000,982000000,2607000000
24,Net Income ratio,0.0384,0.0490,0.0639,0.0564,0.0338,0.0436,-0.0116,0.0404,0.0607,0.0566,0.0678,0.0417,0.0305,0.0273,0.0430,0.0526,0.0243,0.0130,0.0139,0.0566,0.0317,0.0207,0.0484,-0.1467,-0.0986,0.1955,0.0532,0.0545,0.0660,0.2467,0.0714,0.1614,0.0809,0.1001,-0.0116,0.1304,0.2556
25,EPS,0.23,0.34,0.57,1.07,0.62,0.75,-0.20,0.73,1.13,1.14,1.57,0.94,0.69,0.59,1.02,1.49,0.64,0.44,0.50,2.18,1.20,0.74,1.44,-2.23,-1.03,4.00,0.62,0.71,0.95,3.20,0.89,1.40,0.77,0.99,-0.10,1.07,3.49
26,EPS Diluted,0.23,0.34,0.57,1.07,0.62,0.75,-0.20,0.73,1.12,1.14,1.57,0.94,0.68,0.59,1.02,1.49,0.64,0.44,0.50,2.17,1.19,0.74,1.44,-2.23,-1.03,3.99,0.61,0.71,0.95,3.18,0.89,1.39,0.77,0.99,-0.10,1.07,3.49
27,Weighted Average Shares Outstanding,486930000,489395000,506105000,526492537,546634615,526336898,504500000,508196721,511837456,514860140,508269720,494658120,497093023,496621622,514648438,564516129,549689441,552752294,554000000,588532110,610833333,612162162,548611111,528145000,528355000,319976000,537534000,539140000,566329000,556705000,516371000,718560000,753085000,754556000,745897000,746931000,746931000
