,https://roic.ai/company/WY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/106535/000010653595000002/0000106535-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653596000008/0000106535-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653597000007/0000106535-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653598000004/0000106535-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653599000007/0000106535-99-000007-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653500000007/0000106535-00-000007-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653501500006/0000106535-01-500006-index.html,https://www.sec.gov/Archives/edgar/data/106535/000089102002000172/v79391e10-k405.htm,https://www.sec.gov/Archives/edgar/data/106535/000089102003000649/0000891020-03-000649-index.html,https://www.sec.gov/Archives/edgar/data/106535/000095012404000703/0000950124-04-000703-index.html,https://www.sec.gov/Archives/edgar/data/106535/000119312505041798/0001193125-05-041798-index.html,https://www.sec.gov/Archives/edgar/data/106535/000119312506036731/d10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000119312507044292/d10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000119312508042058/d10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000119312509039546/0001193125-09-039546-index.html,https://www.sec.gov/Archives/edgar/data/106535/000119312510041278/0001193125-10-041278-index.html,https://www.sec.gov/Archives/edgar/data/106535/000119312511047563/d10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000010653512000016/0000106535-12-000016-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653513000011/0000106535-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653514000010/wy-123113x10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000010653515000006/wy-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000010653516000046/0000106535-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653517000007/0000106535-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653518000013/0000106535-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653519000014/0000106535-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/106535/000156459020004822/0001564590-20-004822-index.html,https://www.sec.gov/Archives/edgar/data/106535/000156459021006960/0001564590-21-006960-index.htm,https://www.sec.gov/Archives/edgar/data/106535/000156459022005707/0001564590-22-005707-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,341100000,393700000,-100900000,372000000,579400000,589000000,799000000,463000000,342000000,294000000,527000000,840000000,354000000,241000000,277000000,1283000000,717000000,453000000,790000000,-1176000000,-545000000,1281000000,331000000,385000000,563000000,1826000000,506000000,1027000000,582000000,748000000,-76000000,982000000,2607000000
74,Depreciation and Amortization,- -,- -,- -,- -,481300000,468300000,501300000,502700000,486900000,534000000,621000000,617000000,628000000,616000000,640000000,859000000,876000000,1225000000,1318000000,1322000000,1337000000,1283000000,974000000,- -,508000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,472000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,11000000,75400000,-43000000,125300000,131400000,127000000,103000000,181000000,75000000,160000000,185000000,193000000,58000000,57000000,18000000,136000000,-424000000,-174000000,-237000000,-1005000000,66000000,-1257000000,-26000000,109000000,-29000000,205000000,- -,-159000000,44000000,72000000,-169000000,-56000000,14000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000000,47000000,26000000,24000000,25000000,37000000,42000000,40000000,31000000,60000000,40000000,42000000,30000000,30000000,30000000
77,Change in Working Capital,- -,- -,- -,- -,51400000,- -,- -,- -,- -,311000000,280000000,151000000,168000000,-239000000,938000000,-936000000,525000000,-304000000,602000000,648000000,-523000000,-465000000,-749000000,1994000000,350000000,-1184000000,-443000000,-142000000,216000000,917000000,-816000000,-883000000,134000000,-887000000,942000000,54000000,53000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,- -,74000000,-11000000,27000000,-410000000,- -,- -,31000000,-9000000,-150000000,-181000000,- -,-101000000,- -,- -,- -,- -,-33000000,-27000000,29000000,17000000,-54000000,-35000000,62000000,13000000,- -,- -
79,Inventory,- -,- -,- -,- -,-68000000,-52600000,3200000,-174500000,-246400000,16000000,-159000000,-41000000,18000000,21000000,-367000000,-145000000,- -,17000000,199000000,-269000000,-193000000,-315000000,-47000000,228000000,376000000,-30000000,-46000000,-54000000,-13000000,-66000000,10000000,61000000,-39000000,-14000000,-23000000,-25000000,-77000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,311000000,591000000,742000000,910000000,671000000,1609000000,673000000,1198000000,894000000,1496000000,2144000000,1621000000,1156000000,407000000,2401000000,2751000000,1567000000,1124000000,982000000,1198000000,2115000000,1299000000,416000000,550000000,-337000000,605000000,659000000,99000000
82,Other Non-Cash Items,- -,- -,- -,- -,-82800000,593200000,895900000,34300000,-336400000,87000000,-247000000,-114000000,-168000000,291000000,-789000000,473000000,-695000000,291000000,-401000000,-1189000000,641000000,512000000,-186000000,-1194000000,-567000000,1880000000,404000000,192000000,212000000,-1900000000,1343000000,690000000,401000000,1137000000,239000000,47000000,455000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,802000000,1530600000,1253300000,1034300000,861300000,1648000000,1556000000,1298000000,1045000000,1122000000,1501000000,1429000000,1118000000,1510000000,1814000000,2200000000,1748000000,1609000000,633000000,-1334000000,-162000000,744000000,291000000,581000000,1004000000,1088000000,1064000000,735000000,1201000000,1112000000,966000000,1529000000,3159000000
84,CAPEX,- -,- -,- -,- -,-887100000,-906100000,-663400000,-616200000,-967500000,-1102000000,-1073000000,-1327000000,-669000000,-1109000000,-505000000,-848000000,-685000000,-930000000,-608000000,-492000000,-861000000,-874000000,-680000000,-608000000,-239000000,-286000000,-241000000,-256000000,-261000000,-354000000,-443000000,-510000000,-419000000,-427000000,-384000000,-281000000,-590000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-774000000,-392000000,-6119000000,-8000000,-17000000,-64000000,-318000000,1415000000,- -,- -,- -,- -,80000000,-1561000000,735000000,-17000000,2916000000,511000000,- -,- -,101000000,- -
86,Purchases of Investments,- -,- -,- -,- -,-15800000,-1518600000,-1765700000,-4556600000,-776400000,- -,-28000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-701000000,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,756700000,1280100000,4276100000,669500000,- -,214000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6983000000,92000000,195000000,- -,13000000,22000000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,242200000,149800000,102900000,-476400000,484600000,-164000000,49000000,163000000,196000000,292000000,299000000,162000000,195000000,165000000,263000000,108000000,1376000000,20000000,91000000,-216000000,414000000,234000000,363000000,-29000000,-29000000,-20000000,-27000000,153000000,275000000,-13000000,571000000,84000000,-325000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-660700000,-1518200000,-1046100000,-1373100000,-589800000,-1266000000,-838000000,-1164000000,-473000000,-817000000,-206000000,-1460000000,-882000000,-6884000000,-353000000,-401000000,451000000,-1172000000,826000000,5458000000,263000000,143000000,122000000,-192000000,-1829000000,361000000,-487000000,2559000000,367000000,-440000000,187000000,185000000,-325000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8322000000,-898000000,-1892000000,-2196000000,- -,-1616000000,-1424000000,-884000000,-680000000,-583000000,-187000000,-1567000000,- -,- -,-2423000000,-931000000,-271000000,-2104000000,-2272000000,-375000000
91,Common Stock Issued,- -,- -,- -,- -,40000000,- -,- -,27100000,20600000,- -,19000000,- -,- -,- -,- -,13000000,- -,- -,- -,- -,- -,202000000,- -,- -,- -,- -,- -,- -,897000000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-227900000,-500000,- -,- -,16000000,- -,-25000000,39000000,-23000000,97000000,-808000000,30000000,67000000,60000000,1134000000,149000000,-672000000,-152000000,- -,-2000000,- -,-37000000,- -,- -,-203000000,-518000000,-2003000000,- -,-366000000,-60000000,- -,-100000000
93,Dividends Paid,- -,- -,- -,- -,-267600000,-257800000,-241800000,-244000000,-245800000,-247000000,-379000000,-317000000,-317000000,-319000000,-321000000,-363000000,-351000000,-353000000,-355000000,-372000000,-466000000,-538000000,-531000000,-507000000,-127000000,-608000000,-323000000,-334000000,-481000000,-607000000,-663000000,-954000000,-941000000,-995000000,-1013000000,-381000000,-884000000
94,Other Financing Activites,- -,- -,- -,- -,121700000,427500000,435700000,464100000,-410700000,-199000000,-537000000,195000000,-243000000,-50000000,537000000,-331000000,166000000,13900000000,-188000000,326000000,221000000,-563000000,711000000,-13000000,487000000,-1000000,16000000,77000000,1913000000,106000000,36000000,1750000000,452000000,470000000,1829000000,1295000000,29000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-105900000,-58200000,193400000,247200000,-635900000,-430000000,-897000000,-147000000,-521000000,-392000000,313000000,-1489000000,-155000000,5292000000,-1381000000,-804000000,-2292000000,-1571000000,-1588000000,-1944000000,-526000000,-1289000000,-927000000,-444000000,762000000,-704000000,-1145000000,-3630000000,-1420000000,-1162000000,-1348000000,-1358000000,-1330000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-105900000,-58200000,193400000,247200000,-635900000,-48000000,- -,-13000000,51000000,-87000000,1608000000,-1520000000,81000000,-82000000,80000000,995000000,-93000000,-861000000,-129000000,2180000000,-425000000,-402000000,-514000000,-55000000,-63000000,745000000,-568000000,-336000000,148000000,-490000000,-195000000,356000000,1504000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,112000000,- -,21000000,84000000,13000000,1636000000,123000000,196000000,120000000,195000000,1166000000,951000000,243000000,94000000,2294000000,1869000000,1467000000,953000000,898000000,835000000,1580000000,1012000000,676000000,824000000,334000000,139000000,495000000,1999000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,38400000,261000000,215300000,615900000,524300000,160000000,263000000,34000000,33000000,100000000,28000000,1643000000,115000000,202000000,115000000,171000000,1044000000,1104000000,223000000,114000000,2294000000,1869000000,1467000000,953000000,898000000,835000000,1580000000,1012000000,676000000,824000000,334000000,139000000,495000000
100,Free Cash Flow,- -,- -,- -,- -,-85100000,624500000,589900000,418100000,-106200000,546000000,483000000,-29000000,376000000,13000000,996000000,581000000,433000000,544000000,1172000000,1678000000,855000000,735000000,-91000000,-1942000000,-401000000,458000000,50000000,325000000,743000000,734000000,621000000,225000000,782000000,685000000,582000000,1248000000,2569000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106535/000010653595000002/0000106535-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653596000008/0000106535-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653597000007/0000106535-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653598000004/0000106535-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653599000007/0000106535-99-000007-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653500000007/0000106535-00-000007-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653501500006/0000106535-01-500006-index.html,https://www.sec.gov/Archives/edgar/data/106535/000089102002000172/v79391e10-k405.htm,https://www.sec.gov/Archives/edgar/data/106535/000089102003000649/0000891020-03-000649-index.html,https://www.sec.gov/Archives/edgar/data/106535/000095012404000703/0000950124-04-000703-index.html,https://www.sec.gov/Archives/edgar/data/106535/000119312505041798/0001193125-05-041798-index.html,https://www.sec.gov/Archives/edgar/data/106535/000119312506036731/d10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000119312507044292/d10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000119312508042058/d10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000119312509039546/0001193125-09-039546-index.html,https://www.sec.gov/Archives/edgar/data/106535/000119312510041278/0001193125-10-041278-index.html,https://www.sec.gov/Archives/edgar/data/106535/000119312511047563/d10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000010653512000016/0000106535-12-000016-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653513000011/0000106535-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653514000010/wy-123113x10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000010653515000006/wy-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000010653516000046/0000106535-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653517000007/0000106535-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653518000013/0000106535-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653519000014/0000106535-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/106535/000156459020004822/0001564590-20-004822-index.html,https://www.sec.gov/Archives/edgar/data/106535/000156459021006960/0001564590-21-006960-index.htm,https://www.sec.gov/Archives/edgar/data/106535/000156459022005707/0001564590-22-005707-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
