,https://roic.ai/company/LOGI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0541,0.0832,0.0777,0.0540,0.0935,0.1040,0.1330,0.1401,0.1396,0.1403,0.1360,0.1431,0.1316,0.0810,0.0786,0.0950,0.0709,-0.0880,0.0688,0.0316,0.0869,0.1195,0.1127,0.1215,0.1338,0.2343
17,Operating Income,9800000,21200000,16200000,22300000,40970000,204392000,97218000,123882000,145554000,171674000,198911000,230862000,286680000,109654000,78364000,142656000,71981000,-252434000,75986000,15300000,129058000,211860000,229733000,263194000,276495000,1148125000
18,Operating Income ratio,0.0276,0.0512,0.0415,0.0498,0.0665,0.2685,0.1030,0.1126,0.1147,0.1158,0.1107,0.1117,0.1209,0.0496,0.0398,0.0604,0.0311,-0.1202,0.0357,0.0076,0.0640,0.0954,0.0895,0.0944,0.0929,0.2186
19,Total Other Income Expenses (Gains),-600000,1700000,700000,-13900000,-3415000,-147238000,-3523000,-330000,115000,3932000,10943000,24695000,-23866000,17146000,5259000,5744000,19319000,-1266000,1614000,137783000,2414000,3129000,2532000,7939000,47831000,-5000
20,Income Before Tax,9200000,22900000,16900000,8400000,37555000,57154000,93695000,123552000,145669000,175606000,209854000,255557000,262814000,126800000,83623000,148400000,91300000,-253700000,77600000,153083000,131472000,214989000,232265000,271133000,324326000,1148120000
21,Income Before Tax Ratio,0.0259,0.0554,0.0433,0.0187,0.0610,0.0751,0.0993,0.1123,0.1148,0.1184,0.1168,0.1237,0.1109,0.0574,0.0425,0.0628,0.0394,-0.1208,0.0365,0.0764,0.0651,0.0968,0.0905,0.0972,0.1090,0.2186
22,Income Tax expense (Gain),1000000,1800000,1400000,1300000,7511000,12086000,18739000,24709000,13516000,26340000,28749000,25709000,31788000,19761000,18666000,19988000,19819000,-25588000,3278000,4490000,3110000,9113000,23723000,13560000,-125397000,200863000
23,Net Income,8200000,21100000,15500000,7100000,30044000,45068000,74956000,98843000,132153000,149266000,181105000,229848000,231026000,107000000,64957000,128500000,71500000,-228100000,74300000,9283000,119317000,205876000,208542000,257573000,449723000,947257000
24,Net Income ratio,0.0231,0.0510,0.0397,0.0158,0.0488,0.0592,0.0794,0.0898,0.1042,0.1007,0.1008,0.1112,0.0975,0.0484,0.0330,0.0544,0.0309,-0.1086,0.0349,0.0046,0.0591,0.0927,0.0812,0.0924,0.1511,0.1804
25,EPS,0.06,3.00,2.05,0.92,1.89,2.67,0.42,0.54,0.73,0.84,1.00,1.26,1.27,0.60,0.37,0.73,0.41,-1.44,0.47,0.83,0.73,1.18,1.27,1.56,2.70,5.62
26,EPS Diluted,0.06,3.00,1.96,0.90,1.72,2.40,0.38,0.49,0.67,0.77,0.92,1.20,1.23,0.59,0.36,0.72,0.41,-1.44,0.46,0.81,0.72,1.16,1.23,1.52,2.66,5.51
27,Weighted Average Shares Outstanding,136666667,7008320,7552928,7734440,15907960,16890496,179715412,183955064,181384000,177008000,181362000,182635000,181362000,178811000,177279000,176928000,174648000,158468000,160619000,163536000,163296000,162058000,164038000,165609000,166837000,168523000
28,Weighted Average Shares Outstanding Diluted,136666667,138823529,7908228,7965348,17503976,18776068,203756240,205637856,200640000,198248000,198770000,190991000,187942000,182911000,179340000,178790000,175591000,158468000,162526000,166174000,165792000,165540000,168971000,168965000,169381000,171775000
