,https://roic.ai/company/CRVL,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,28900000,46900000,61800000,80600000,95800000,109100000,121700000,141700000,165500000,186765000,209554000,235912000,282776000,305279000,291000000,266504000,274581000,301894000,310076000,337968000,380668000,412668000,429310000,478816000,492625000,503584000,518686000,558350000,595740000,592225000,552644000
2,COGS,24700000,38800000,51700000,64900000,76600000,85900000,95100000,110300000,129800000,145745000,172010000,193225000,230947000,253846000,246341000,221060000,208746000,223829000,236334000,252429000,284098000,318826000,337650000,370335000,392656000,399040000,413894000,451097000,470931000,466304000,429020000
3,Gross Profit,4200000,8100000,10100000,15700000,19200000,23200000,26600000,31400000,35700000,41020000,37544000,42687000,51829000,51433000,44659000,45444000,65835000,78065000,73742000,85539000,96570000,93842000,91660000,108481000,99969000,104544000,104792000,107253000,124809000,125921000,123624000
4,Gross Profit Ratio,0.1453,0.1727,0.1634,0.1948,0.2004,0.2126,0.2186,0.2216,0.2157,0.2196,0.1792,0.1809,0.1833,0.1685,0.1535,0.1705,0.2398,0.2586,0.2378,0.2531,0.2537,0.2274,0.2135,0.2266,0.2029,0.2076,0.2020,0.1921,0.2095,0.2126,0.2237
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2400000,4300000,4900000,6100000,7200000,8100000,8600000,11000000,12600000,14752000,16389000,18783000,25081000,26067000,28144000,29590000,35383000,39720000,42133000,42056000,59167000,50405000,47765000,51974000,54405000,58484000,57243000,59350000,63296000,65210000,64449000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2400000,4300000,4900000,6100000,7200000,8100000,8600000,11000000,12600000,14752000,16389000,18783000,25081000,26067000,28144000,29590000,35383000,39720000,42133000,42056000,59167000,50405000,47765000,51974000,54405000,58484000,57243000,59350000,63296000,65210000,64449000
9,Other Expenses,700000,1100000,1100000,2400000,2400000,3000000,4200000,5300000,6300000,6965000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
