,https://roic.ai/company/EVC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,44820000,58999000,154021000,208908000,238469000,237956000,259053000,280964000,291752000,250046000,232335000,189231000,200476000,194396000,223253000,223916000,242038000,254134000,258514000,536034000,297815000,273575000,344026000,760192000
2,COGS,15794000,24441000,56208000,100347000,113930000,106961000,112574000,120285000,123798000,99608000,100801000,83902000,84802000,88590000,92256000,103686000,110274000,117565000,122975000,163829000,170338000,156169000,211837000,466517000
3,Gross Profit,29026000,34558000,97813000,108561000,124539000,130995000,146479000,160679000,167954000,150438000,131534000,105329000,115674000,105806000,130997000,120230000,131764000,136569000,135539000,372205000,127477000,117406000,132189000,293675000
4,Gross Profit Ratio,0.6476,0.5857,0.6351,0.5197,0.5222,0.5505,0.5654,0.5719,0.5757,0.6016,0.5661,0.5566,0.5770,0.5443,0.5868,0.5369,0.5444,0.5374,0.5243,0.6944,0.4280,0.4292,0.3842,0.3863
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,57163000,61364000,- -,- -,- -,- -,- -,- -,- -,14918000,18416000,- -,55794000,51327000,56700000,65335000,71341000,77053000,78400000,82032000,76211000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,57163000,61364000,- -,- -,- -,- -,- -,- -,- -,14918000,18416000,- -,55794000,51327000,56700000,65335000,71341000,77053000,78400000,82032000,76211000,56585000
9,Other Expenses,40068000,62545000,72017000,120017000,109983000,110200000,105990000,115903000,279035000,84185000,694694000,59311000,57275000,70833000,16426000,14953000,14663000,15989000,15342000,16411000,15086000,10654000,10387000,59864000
10,Operating Expenses,40068000,62545000,129180000,181381000,109983000,110200000,105990000,115903000,279035000,84185000,694694000,74229000,75691000,70833000,72220000,66280000,71363000,81324000,86683000,93464000,93486000,92686000,86598000,116449000
11,COGS and Expenses,55862000,86986000,185388000,281728000,223913000,217161000,218564000,236188000,402833000,183793000,795495000,158131000,160493000,159423000,164476000,169966000,181637000,198889000,209658000,257293000,263824000,248855000,298435000,582966000
12,Interest Income ,- -,- -,5918000,1287000,153000,145000,456000,966000,1602000,4809000,1894000,459000,260000,3000,86000,44000,50000,45000,300000,774000,3973000,3353000,1748000,245000
13,Interest Expense (Gain),8244000,- -,69511000,22265000,24982000,26892000,28282000,29848000,29431000,49405000,43093000,27948000,24429000,37650000,35407000,24631000,13904000,13047000,15469000,16709000,15743000,13683000,8265000,-7020000
14,Depreciation and Amortization,10934000,15723000,72017000,122425000,46501000,46343000,45989000,48371000,45183000,24767000,23412000,21033000,19229000,18653000,16426000,14953000,14663000,15989000,15342000,16411000,16273000,16648000,17282000,- -
15,EBITDA,15686000,-24355000,46354000,55896000,60716000,76470000,87479000,66224000,-64448000,13008000,-532137000,-3008000,22196000,53893000,71546000,39272000,74133000,71075000,64337000,292222000,52054000,18777000,23143000,46889000
