,https://roic.ai/company/TM,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1145546937800,1411640243745,1513874577888,1645758703743,1560824112694,1533316922426,1344519283296,1925081277714,2258256185440,2427802074090,2767535995850,2693793620800,1730730483480,1884793731990,1856780509580,1733423775850,2006219577740,2217984967800,2476229665440,2486588927920,2534781000000,2119660000000,1910083000000,1839462000000,2102309000000,2598660000000,2642281000000,2943682000000,2868485000000,3090495000000,2976351000000,2964759000000,2634625000000
11,COGS and Expenses,7568440620520,8558558871615,9369077949408,9947252279397,9991293078998,9218782274770,8018766366100,10478308665294,11558474075736,11025006724935,11862212571050,11618885935000,12566586360960,13189435920440,13966377622920,15415451170750,16854646469080,19196445677850,21667156848000,23903978805720,20990581000000,18803457000000,18525409000000,18228026000000,20743304000000,23399799000000,24483957000000,25549147000000,25602821000000,26979648000000,27758136000000,27487123000000,25016845000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138467000000,78224000000,90771000000,99865000000,98673000000,115410000000,147122000000,157862000000,158983000000,179541000000,225495000000,232870000000,105600000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46882000000,33409000000,29318000000,22922000000,22967000000,19630000000,22871000000,35403000000,29353000000,27586000000,28078000000,32217000000,42421000000
14,Depreciation and Amortization,295642661580,339756171615,383896459872,472128938730,482293178367,459615099370,336769179418,555378226704,608233898488,651715356840,853757285350,796033688600,798779283180,807825703620,854480032460,956734828350,996300502260,1213629961950,1379911587840,1483996431720,1495170000000,1414569000000,1175573000000,1067830000000,1105109000000,1250853000000,1409075000000,1625837000000,1610950000000,1734033000000,1792375000000,1605383000000,1644290000000
15,EBITDA,940692973590,1197144713280,1117433833536,922620206940,818930637217,709051531217,633181007585,1000454070717,1346957474168,1467198020205,1720733577350,1671701572200,2018891307930,1784712660120,2098861557020,2775020993900,2822797806640,3385240164450,3917289999360,4100807716680,1048673000000,1564770000000,1300253000000,1636583000000,2641925000000,3861410000000,4498753000000,4852203000000,4100312000000,4760008000000,4363270000000,4397213000000,4581948000000
16,EBITDA ratio,0.1170,0.1301,0.1132,0.0908,0.0805,0.0758,0.0765,0.0924,0.1102,0.1246,0.1365,0.1360,0.1510,0.1250,0.1380,0.1627,0.1524,0.1606,0.1639,0.1567,0.0511,0.0826,0.0685,0.0881,0.1197,0.1503,0.1652,0.1708,0.1486,0.1620,0.1444,0.1469,0.1684
17,Operating Income,468885403430,643654011450,500585875392,218553052293,181218719528,136112614671,260711426675,351673855524,663712435120,749829341700,741336183750,676222757800,804832552140,1090790646530,1248038694380,1644286990600,1669722863060,1882062175500,2234344548480,2259547345240,-461011000000,147516000000,468279000000,355627000000,1320888000000,2292112000000,2750564000000,2853971000000,1994372000000,2399862000000,2467545000000,2442869000000,2197748000000
18,Operating Income ratio,0.0583,0.0699,0.0507,0.0215,0.0178,0.0145,0.0315,0.0325,0.0543,0.0637,0.0588,0.0550,0.0602,0.0764,0.0820,0.0964,0.0901,0.0893,0.0935,0.0864,-0.0225,0.0078,0.0247,0.0191,0.0599,0.0892,0.1010,0.1005,0.0723,0.0817,0.0816,0.0816,0.0808
19,Total Other Income Expenses (Gains),176164908580,213734530215,232951498272,231938215917,155418739322,113323817176,35700401492,93401988489,75011140560,65653321665,125640108250,199445125800,415279472610,-113903690030,-3657169820,97477069250,82354836480,209392658550,143505149760,166018548600,-99370000000,143952000000,95011000000,77246000000,82761000000,148968000000,142264000000,129410000000,199453000000,220567000000,-182080000000,111738000000,734606000000
20,Income Before Tax,645050312010,857388541665,733537373664,450491268210,336637458850,249436431847,296411828167,445075844013,738723575680,815482663365,866976292000,875667883600,1220112024750,976886956500,1244381524560,1741764059850,1752077699540,2091454834050,2377849698240,2425565893840,-560381000000,291468000000,563290000000,432873000000,1403649000000,2441080000000,2892828000000,2983381000000,2193825000000,2620429000000,2285465000000,2554607000000,2932354000000
21,Income Before Tax Ratio,0.0803,0.0932,0.0743,0.0443,0.0331,0.0267,0.0358,0.0411,0.0604,0.0693,0.0688,0.0712,0.0912,0.0684,0.0818,0.1021,0.0946,0.0992,0.0995,0.0927,-0.0273,0.0154,0.0297,0.0233,0.0636,0.0950,0.1062,0.1050,0.0795,0.0892,0.0756,0.0854,0.1077
22,Income Tax expense (Gain),298089796280,415643116545,301448805504,212590112859,160828412591,123728896637,161887323997,185433095826,353493094408,357386711265,420745499950,409165631600,533192107560,421722763670,507402819220,672018383300,656908500360,796727884050,896494814880,907169222320,-56442000000,-92664000000,-312821000000,262272000000,551686000000,767808000000,893469000000,878269000000,628900000000,504406000000,659944000000,683430000000,649976000000
23,Net Income,346960515730,441745425120,432088568160,237901155351,175809046259,125707535210,134524504170,259642748187,385230481272,458095952100,446230792050,466502252000,686919917190,555164192830,736978705340,1146267782250,1169588804020,1374882318450,1640883596640,1709642062640,-436937000000,209456000000,408183000000,283559000000,962163000000,1823119000000,2173338000000,2312694000000,1831109000000,2493983000000,1882873000000,2076183000000,2245261000000
24,Net Income ratio,0.0432,0.0480,0.0438,0.0234,0.0173,0.0134,0.0162,0.0240,0.0315,0.0389,0.0354,0.0379,0.0514,0.0389,0.0484,0.0672,0.0631,0.0652,0.0687,0.0653,-0.0213,0.0111,0.0215,0.0153,0.0436,0.0710,0.0798,0.0814,0.0664,0.0849,0.0623,0.0694,0.0825
25,EPS,200.09,251.13,223.32,123.28,91.76,66.94,69.98,132.80,200.52,239.56,235.80,248.66,363.58,305.38,420.48,687.24,712.51,841.46,1021.97,1083.21,-278.26,133.58,260.34,180.42,607.64,1150.60,1376.04,1482.72,1210.94,1684.00,1301.10,1471.22,1606.46
26,EPS Diluted,200.09,251.13,223.32,123.28,91.76,66.94,69.98,132.80,200.52,239.56,235.80,248.66,363.58,305.38,420.48,687.16,712.37,841.19,1021.39,1082.79,-278.26,133.58,260.32,180.40,607.56,1149.84,1375.32,1470.72,1198.44,1665.56,1290.22,1459.00,1589.34
27,Weighted Average Shares Outstanding,1734028777,1759030303,1934876543,1929693878,1915930233,1877941176,1922222222,1955080645,1921111111,1912222222,1890178500,1874702564,1867931000,1827652000,1776801000,1694537000,1648046000,1626725000,1605211500,1588722500,1570208500,1568019165,1567940269,1571660570,1583454416,1584494177,1579414843,1555653000,1504044000,1473682500,1435767000,1399459000,1397644000
28,Weighted Average Shares Outstanding Diluted,1734028777,1759030303,1934876543,1929693878,1915930233,1877941176,1922222222,1955080645,1921111111,1912222222,1890178500,1874702564,1867970500,1827653000,1776812000,1694688500,1648377000,1627249500,1606117500,1589331000,1570208500,1568019165,1568004763,1571834812,1583650997,1585541467,1580241689,1572473500,1527913000,1497383000,1459337000,1423009000,1420613500
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094517/999999999702047625/9999999997-02-047625-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312503027032/0001193125-03-027032-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312504113310/0001193125-04-113310-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312505130486/0001193125-05-130486-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312506135772/0001193125-06-135772-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312507141459/0001193125-07-141459-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312508140299/0001193125-08-140299-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312509136292/0001193125-09-136292-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312510146673/0001193125-10-146673-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000094787111000488/0000947871-11-000488-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312512220104/0001193125-12-220104-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312513205853/0001193125-13-205853-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312514188542/0001193125-14-188542-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312515178184/0001193125-15-178184-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312516586299/0001193125-16-586299-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312517164880/0001193125-17-164880-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312518156689/0001193125-18-156689-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312519140376/0001193125-19-140376-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312520177015/0001193125-20-177015-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312521197902/0001193125-21-197902-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1939814886870,1363697227995,1230980285472,1493011845921,1050298201645,944086230565,1478896907789,1033473028464,1736755465484,1236672744600,1317851599900,1480373996600,1537782535380,1652866148440,1562555298900,1706317852850,1481529193760,1572504732000,1896671511360,1620799704200,2489458000000,2258470000000,2284583000000,1679200000000,1718297000000,2041170000000,2284557000000,2939428000000,2995075000000,3052269000000,3574704000000,4190518000000,5100857000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226509465300,661837225800,496746384030,619093801820,648616763560,509904113050,605865659000,636181742250,461266552800,673746145880,495326000000,1793165000000,1225435000000,1261371000000,1552363000000,2227084000000,2931420000000,2543423000000,2904252000000,2669604000000,2253512000000,1506951000000,4215457000000
33,Cash and Short-Term Investments,1939814886870,1363697227995,1230980285472,1493011845921,1050298201645,944086230565,1478896907789,1033473028464,1736755465484,1236672744600,1544361065200,2142211222400,2034528919410,2271959950260,2211172062460,2216221965900,2087394852760,2208686474250,2357938064160,2294545850080,2984784000000,4051635000000,3510018000000,2940571000000,3270660000000,4268254000000,5215977000000,5482851000000,5899327000000,5721873000000,5828216000000,5697469000000,9316314000000
34,Net Receivables,966272728660,1094942379705,1026977136000,1097759537742,1046243614185,997745727388,1239025115286,1254045663819,1405295346356,1179643658175,2601167056300,2693793620800,3320596353870,3976395097220,4411608561900,4489470623650,5057745074760,5905955833650,6533608025280,6832087045960,5616877000000,6456148000000,5892157000000,6523271000000,7522012000000,8016348000000,8799230000000,8364239000000,8749454000000,9057206000000,9588661000000,9273919000000,9827389000000
35,Inventory,334897581150,338325491145,405263098272,421972315263,389720544675,398907317879,480374303619,530809466058,560627818192,741497904570,755984272200,765104794800,891848293440,959342864220,1006783459480,1068598887500,1304809440480,1624176107550,1800412309920,1816930926480,1459394000000,1422373000000,1304242000000,1622282000000,1715786000000,1894704000000,2137618000000,2061511000000,2388617000000,2539789000000,2656396000000,2434918000000,2888028000000
36,Other Current Assets,1111805268760,2375492720385,2193319894080,2168887128687,2026525492376,2353211589623,1919639618561,2232383565951,2126912421004,3267999559740,728712627850,484997936000,740642679210,844508805660,832890933200,953919982500,976355190300,1017655382700,1069219404000,1084853939200,1237874000000,1143448000000,1123338000000,1235065000000,1276432000000,1538400000000,1783572000000,2300952000000,796297000000,833788000000,805964000000,1236225000000,745069000000
37,Total Current Assets,4352790465440,5172457819230,4856540413824,5181630827613,4512787852881,4693950865455,5117935945255,5050711724292,5829591051036,6425813867085,5630225021550,6086107574000,6987616245930,8052206717360,8462455017040,8728211459550,9426304558300,10756473798150,11761177803360,12028417761720,11298929000000,13073604000000,11829755000000,12321189000000,13784890000000,15717706000000,17936397000000,18209553000000,17833695000000,18152656000000,18879237000000,18642531000000,22776800000000
38,PP&E,1377448937900,1554830050785,1988282875008,2476695571875,2554144690559,2630782096304,3049032014938,3513375612414,4086782706388,4648835446500,4902107844450,4511713850400,4537429524600,5094033521330,5107532586680,5281901857200,5787142988480,7080626284650,8044889269920,7774653616480,7401681000000,6710901000000,6309160000000,6235380000000,6851239000000,7641298000000,9295719000000,9740417000000,10197109000000,10267673000000,10685494000000,10601525000000,11801296000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1108634000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1108634000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2102874000000,4135599000000,5398518000000,5974559000000,7279865000000,9194821000000,10323586000000,10071411000000,10525567000000,11162240000000,10793649000000,11472104000000,13244717000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336224000000
44,Other Non-Current Assets,1437159024580,1712402762550,2156583060960,1926671019273,2312224528768,2324821571491,2431748572393,2896072113672,2765992484884,2894109682275,5123139162850,5317098134800,5798275005060,6110261775670,6209638407920,7730609239600,9085947460660,10951389055350,12705389847840,12500050034920,8258553000000,6429183000000,6280733000000,6119837000000,7567323000000,8883648000000,10174128000000,9406216000000,10193815000000,10725680000000,11578569000000,11964276000000,12999467000000
45,Total Non-Current Assets,2814607962480,3267232813335,4144865935968,4403366591148,4866369219327,4955603667795,5480780587331,6409447726086,6852775191272,7542945128775,10025247007300,9828811985200,10335704529660,11204295297000,11317170994600,13012511096800,14873090449140,18032015340000,20750279117760,20274703651400,17763108000000,17275683000000,17988411000000,18329776000000,21698427000000,25719767000000,29793433000000,29218044000000,30916491000000,32155593000000,33057712000000,34037905000000,39490338000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7167398427920,8439690632565,9001406349792,9584997418761,9379157072208,9649554533250,10598716532586,11460159450378,12682366242308,13968758995860,15655472028850,15914919559200,17323320775590,19256502014360,19779626011640,21740722556350,24299395007440,28788489138150,32511456921120,32303121413120,29062037000000,30349287000000,29818166000000,30650965000000,35483317000000,41437473000000,47729830000000,47427597000000,48750186000000,50308249000000,51936949000000,52680436000000,62267138000000
48,Accounts Payable,- -,681216983790,688722572736,817878785574,745862703201,762346801039,870884164857,836012592531,1040253507040,1059982394220,1223055840500,1256062451200,1313054925240,1416951271190,1503096796020,1686092664150,1854056149400,2090748619350,2207363695200,2202213612240,1299455000000,1956505000000,1503072000000,2242583000000,2113778000000,2213218000000,2410588000000,2389515000000,2566382000000,2586657000000,2645984000000,2434180000000,2953716000000
49,Short-Term Debt,942031700220,1307094029400,654094833600,1036519898154,827413260982,1075739525467,1126938641773,1334692031589,1701527461188,1535672850930,1762415129850,2102034486600,2222558586480,2976647656840,3060933166120,3269182820900,3527532162560,4766360712750,5854020419520,6198324946920,6317184000000,5497997000000,5951836000000,5963269000000,6793956000000,7780483000000,8963492000000,8521088000000,9244131000000,9341190000000,9599234000000,9860071000000,12212059000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51298000000,153387000000,112801000000,133778000000,156266000000,594829000000,348786000000,343325000000,223574000000,462327000000,320998000000,218117000000,350880000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1020527144450,705690751830,1286933308224,1127171673600,1009613617474,982074122372,1137643578232,1526840303058,1929878207236,1937085750735,2075145863750,1637895572000,2116752489450,2261460076850,2359228453560,2539407970900,2833628325500,3191501931750,3682945382880,3483099062880,2972654000000,3231712000000,3336082000000,3575722000000,4004786000000,4686984000000,5057416000000,5213853000000,5508452000000,5869044000000,5981720000000,5608126000000,6294691000000
53,Total Current Liabilities,1962558844670,2694001765020,2629750714560,2981570357328,2582889581657,2820160448878,3135466384862,3697544927178,4671659175464,4532740995885,5060616834100,4995992509800,5652366001170,6655059004880,6923258415700,7494683455950,8215216637460,10048611263850,11744329497600,11883637622040,10589293000000,10686214000000,10790990000000,11781574000000,12912520000000,14680685000000,16431496000000,16124456000000,17318965000000,17796891000000,18226938000000,17902377000000,21460466000000
54,Long-Term Debt,1221969514990,1222516461615,1483768295136,1575738195537,1732002393275,1674302303732,1937204699934,1966935992886,1874993818252,2807388205695,2961414760050,2820591810000,3138367736220,3713233713020,4060874178840,4189533160300,5007560096280,5651600839200,6251428358880,5953335413040,6301469000000,7015409000000,6449220000000,6042277000000,7337824000000,8546910000000,10014395000000,9772065000000,9911596000000,10006374000000,10550945000000,10692898000000,13447575000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216505892700,583333322600,563080123050,465848813950,364065356920,767931649300,810465955880,1095221297250,1309808497440,1093728203960,642293000000,813221000000,810127000000,908883000000,1385927000000,1811846000000,2298469000000,2046089000000,1423726000000,1118165000000,1014851000000,1043169000000,1247220000000
57,Other Non-Current Liabilities,265773223330,265832607330,283514614176,283906365288,293157343325,301373233395,341106449880,351063385011,394749221716,467106148485,659878521150,639950666400,577456636830,885843750350,1132660885220,780859089500,730255776600,820974588750,765832080000,906172113920,928245000000,904000000000,847805000000,851753000000,1074190000000,1179045000000,1338141000000,1876580000000,1912823000000,1956717000000,2077078000000,2304310000000,1823550000000
58,Total Non-Current Liabilities,1487742738320,1488349068945,1767282909312,1859644560825,2025159736600,1975675537127,2278311149814,2317999377897,2269743039968,3274494354180,3837799173900,4043875799000,4278904496100,5064926277320,5557600420980,5738323899100,6548281828760,7567796725200,8327068936320,7953235730920,7872007000000,8732630000000,8107152000000,7802913000000,9797941000000,11537801000000,13651005000000,13694734000000,13248145000000,13081256000000,13642874000000,14040377000000,16518345000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360891000000
61,Total Liabilities,3450301582990,4182350833965,4397033623872,4841214918153,4608049318257,4795835986005,5413777534676,6015544305075,6941402215432,7807235350065,8898416008000,9039868308800,9931270497270,11719985282200,12480858836680,13233007355050,14763498466220,17616407989050,20071398433920,19836873352960,18461300000000,19418844000000,18898142000000,19584487000000,22710461000000,26218486000000,30082501000000,29819190000000,30567110000000,30878147000000,31869812000000,31942754000000,37978811000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,392163863950,384299212000,404181812850,396071174200,389665545660,391680587350,396439883420,397834281000,396229736160,395154058920,- -,- -,- -,397050000000,397050000000,397050000000,397050000000,397050000000,397050000000,397050000000,397050000000,397050000000,397050000000
64,Retained Earnings,3289078590990,3680105888970,3991894589952,4118126741514,4144428582140,4221046402535,4474291920679,4709640777678,4867975460824,5163161944725,5737525246700,5959412138600,6594658202610,6787304245930,7166519195340,8213094669000,9318535534000,10480461552900,11741855270880,12349187534000,11531622000000,11568602000000,11835665000000,11917074000000,12689206000000,14116295000000,15591947000000,16794240000000,17601070000000,19473464000000,21987515000000,23427613000000,24104176000000
65,Other Comprehensive Income/Loss,-2066792387980,-2309513998710,-2554664211744,-2875809952641,-3169428337614,-3474440114323,-4064307542267,-4417471732158,-4761808702972,-5226007066335,-5859116289850,-5856041815800,-6459090199860,-7106553561510,-593051376940,-201834872800,-80531877860,438206221350,699970521120,-240003991880,-1107781000000,-846835000000,-1144721000000,-1178833000000,-356123000000,528161000000,1477545000000,610768000000,640922000000,435699000000,-916650000000,-1166273000000,-14566638000000
66,Other Total Stockholders Equity,2494810641920,2869594962705,3147471255456,3477702014286,3769710011067,4079106155848,4708850124867,5080014308916,5560615459556,6134466438630,6307014344000,6203246906000,6663892466340,7168755343230,25954108400,-335487923900,-602755906060,-735169502700,-1025036784000,-691594386240,- -,- -,- -,-585030000000,-582098000000,-572358000000,-678411000000,-1055123000000,-1124230000000,-1570231000000,-2119763000000,-2597772000000,13469959000000
67,Total Stockholders Equity,3717096844930,4240186852965,4584701633664,4720018803159,4744710255593,4825712444060,5118834503279,5372183354436,5666782217408,6071621317020,6577587164800,6690916440800,7203642281940,7245577201850,6989087472460,8067452459650,9031687633500,10581332552550,11813018744160,11812743214800,10061207000000,10359723000000,10332371000000,10550261000000,12148035000000,14469148000000,16788131000000,16746935000000,17514812000000,18735982000000,19348152000000,20060618000000,23404547000000
68,Total Liabilities And Stockholders Equity,7167398427920,8422537686930,8981735257536,9561233721312,9352759573850,9621548430065,10532612037955,11387727659511,12608184432840,13878856667085,15476003172800,15730784749600,17134912779210,18965562484050,19469946309140,21300459814700,23795186099720,28197740541600,31884417178080,31649616567760,28522507000000,29778567000000,29230513000000,30134748000000,34858496000000,40687634000000,46870632000000,46566125000000,48081922000000,49614129000000,51217964000000,52003372000000,61383358000000
69,Minority Interest,- -,17152945635,19671092256,23763697449,26397498358,28006103185,66104494631,72431790867,74181809468,89902328775,179468856050,184134809600,188407996380,290939530310,309679702500,440262741650,504208907720,590748596550,627039743040,653504845360,539530000000,570720000000,587653000000,516217000000,624821000000,749839000000,859198000000,861472000000,668264000000,694120000000,718985000000,677064000000,883780000000
70,Total Liabilities & Equity,7167398427920,8439690632565,9001406349792,9584997418761,9379157072208,9649554533250,10598716532586,11460159450378,12682366242308,13968758995860,15655472028850,15914919559200,17323320775590,19256502014360,19779626011640,21740722556350,24299395007440,28788489138150,32511456921120,32303121413120,29062037000000,30349287000000,29818166000000,30650965000000,35483317000000,41437473000000,47729830000000,47427597000000,48750186000000,50308249000000,51936949000000,52680436000000,62267138000000
