,https://roic.ai/company/SHW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2194900000,1552900000,1792700000,1950500000,2123500000,2266700000,2541400000,2747800000,2949300000,3100100000,3273800000,4132900000,4881100000,4934400000,5003800000,5211624000,5066005000,5184788000,5407764000,6113789000,7190661000,7809759000,8005292000,7979727000,7094249000,7776424000,8765699000,9534462000,10185532000,11129533000,11339304000,11855602000,14983788000,17534493000,17900800000,18361700000,19944600000
2,COGS,1375300000,892300000,1028200000,1150000000,1233200000,1293400000,1452400000,1523100000,1641900000,1712200000,1799200000,2301600000,2645200000,2656600000,2599500000,2743983000,2846376000,2846201000,2952469000,3412378000,4110296000,4395119000,4406965000,4480927000,3831080000,4295346000,5021137000,5328236000,5568966000,5965049000,5780078000,5933337000,8202577000,10115931000,9864700000,9679100000,11401900000
3,Gross Profit,819600000,660600000,764500000,800500000,890300000,973300000,1089000000,1224700000,1307400000,1387900000,1474600000,1831300000,2235900000,2277800000,2404300000,2467641000,2219629000,2338587000,2455295000,2701411000,3080365000,3414640000,3598327000,3498800000,3263169000,3481078000,3744562000,4206226000,4616566000,5164484000,5559226000,5922265000,6781211000,7418562000,8036100000,8682600000,8542700000
4,Gross Profit Ratio,0.3734,0.4254,0.4265,0.4104,0.4193,0.4294,0.4285,0.4457,0.4433,0.4477,0.4504,0.4431,0.4581,0.4616,0.4805,0.4735,0.4381,0.4510,0.4540,0.4419,0.4284,0.4372,0.4495,0.4385,0.4600,0.4476,0.4272,0.4412,0.4532,0.4640,0.4903,0.4995,0.4526,0.4231,0.4489,0.4729,0.4283
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1018500000,1075400000,1309100000,1573500000,1598300000,1673400000,1740367000,1729855000,1784527000,1881664000,2068936000,2326220000,2512927000,2597468000,2643580000,2568395000,2728122000,2963545000,3259648000,3467681000,3822966000,3913518000,4159435000,4785415000,5033780000,5274900000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",652900000,493700000,585500000,628600000,685600000,745700000,825900000,914700000,981300000,1018500000,1075400000,1309100000,1573500000,1598300000,1673400000,1740367000,1729855000,1784527000,1881664000,2068936000,2326220000,2512927000,2597468000,2643580000,2568395000,2728122000,2963545000,3259648000,3467681000,3822966000,3913518000,4159435000,4785415000,5033780000,5274900000,5477900000,5572500000
9,Other Expenses,26300000,24600000,28900000,36900000,42000000,44500000,47900000,66300000,55100000,60500000,77900000,103600000,139200000,147900000,155800000,160030000,- -,- -,- -,- -,- -,- -,- -,19319000,- -,3803000,- -,6736000,-2751000,36046000,31071000,42932000,222207000,494409000,335800000,350500000,305500000
