,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2007,,,,,5650000,1605000,1495000,3100000,,8750000,8750000,,-1760000,190000,-8560000,-Infinity,-8750000,-Infinity,-1760000,-10510000,-Infinity,,-10510000,-Infinity,-0.41,-0.41,25377500,25377500,10640000,,10640000,590000,130000,,11360000,700000,,,,,,150000,850000,,12210000,2190000,,,,100000,2290000,8210000,,,4470000,12680000,,,14970000,,210000,-37410000,-1530000,35960000,-2770000,12200000,10000,12210000,-10510000,190000,,,-2260000,,,,9070000,4360000,-8220000,-1432000,,,,13772000,12340000,,,4490000,,-1160000,3330000,,7450000,9910000,2460000,-8570000
2008,,,,,15387000,7731000,570000,8301000,,23688000,23688000,,,1204000,-22484000,-Infinity,-23688000,-Infinity,4882000,-18806000,-Infinity,1344000,-20150000,-Infinity,-1.05,-1.05,19022711,19022711,3385000,,3385000,17000,,979000,4381000,,,,,,,10000,10000,,4391000,455000,,,,3351000,3806000,,,,1382000,1382000,,,5188000,,2457000,-180441000,-426000,177613000,-797000,4391000,,4391000,-20150000,1204000,,,-8495000,,,-1636000,575000,2043000,-25398000,-154000,,,,430000,276000,-12513000,,,,42000,-12471000,,-37593000,3385000,40978000,-25552000
2009,,,,,,1930000,,1930000,,1930000,1930000,,,7000,-1923000,-Infinity,-1930000,-Infinity,254000,-1676000,-Infinity,,-1676000,-Infinity,-0.03,-0.03,49909705,49909705,1002000,,1002000,45000,,256000,1303000,,,,,,,9000,9000,,1312000,140000,,,,2346000,2486000,,,,2000,2000,,,2488000,,2975000,-182117000,-44000,178010000,-1176000,1312000,,1312000,-1676000,7000,,217000,-1758000,,,-315000,-1183000,-589000,-3799000,-6000,,,,503000,497000,,,,,919000,919000,,-2383000,1002000,3385000,-3805000
2010,,,,,,,,,2512000,2512000,2512000,,,9000,-2503000,-Infinity,-2512000,-Infinity,,,,,-2315000,-Infinity,-0.04,-0.04,50764987,50764987,33000,,33000,37000,,12000,82000,,,,,,,,,,82000,658000,,,,1317000,1975000,,,,,,,,1975000,,6000,-184432000,-53000,182586000,-1893000,82000,,82000,-2315000,9000,,80000,-710000,,,518000,-1893000,366000,-2570000,,,,,59000,59000,,,,,1542000,1542000,,-969000,33000,1002000,-2570000
2011,,,,,192853,,,,143458,336311,336311,81450,18917,11298,-325013,-Infinity,-336311,-Infinity,,,,,-273778,-Infinity,0.39,0.39,664528,664528,244088,,244088,107987,,,352076,,,,,,,59117,59117,,411193,101419,,,,669207,770625,,,,46506,46506,,,817131,,22859,-2669207,-24172,2264582,-405938,411193,-0,411193,-273778,11298,,-126379,1474450,-6306,,-28902,-418550,-1595312,-509721,,,,,,,,-311613,,,823174,511561,,1839,244088,242249,-509721
2012,,,,,180000,880000,,880000,20000,1080000,1080000,,,10000,-1070000,-Infinity,-1080000,-Infinity,10000,-1070000,-Infinity,-340000,-720000,-Infinity,-0.46,-0.46,1550000,1550000,10000,,10000,10000,,40000,60000,50000,,,,,,-10000,40000,,100000,490000,150000,,,320000,960000,,,,70000,70000,,,1030000,,30000,-7870000,-40000,6950000,-930000,100000,,100000,-720000,10000,,,-481450,,,-70000,-900000,631450,-560000,,,,,,,,,130000,,200000,330000,,-230000,10000,240000,-560000
2013,,,,,,240000,,240000,,240000,240000,,-40000,,40000,Infinity,-240000,-Infinity,320000,80000,Infinity,,80000,Infinity,0.05,0.05,1630000,1630000,,,,10000,,20000,30000,,,,,,,,,,30000,490000,120000,,,310000,920000,,,,,,,,920000,,30000,-8850000,,7930000,-890000,30000,,30000,80000,,,,10000,,,,-890000,-300000,-210000,,,,,80000,80000,,,,,120000,120000,,-10000,,10000,-210000
2014,,,,,78000,,,,586000,664000,664000,,,1000,-663000,-Infinity,-664000,-Infinity,196000,-468000,-Infinity,,-468000,-Infinity,-0.60,-0.60,819518,819518,645000,,645000,,,110000,755000,,,,,,,24000,24000,,779000,192000,,,,109000,301000,,,,,,,,301000,,15000,-3873000,-1000,4337000,478000,779000,,779000,-468000,1000,,57000,1344000,,,-100000,454000,-1667000,-733000,-25000,,,,,-25000,,,,,1507000,1507000,-108000,641000,645000,4000,-758000
2015,,,,,301000,1351000,243000,1594000,,1895000,1895000,,1019000,8000,-1887000,-Infinity,-1895000,-Infinity,-1542000,-3437000,-Infinity,,-3437000,-Infinity,-3.30,-3.30,1020924,1020924,919000,1808000,2727000,90000,,860000,3677000,,,,,,,61000,61000,,3738000,193000,,,,6158000,6351000,,,,,,,,6351000,,15000,-7310000,-10000,4692000,-2613000,3738000,,3738000,-3437000,8000,,398000,-3128000,,,2000,-2674000,4720000,-1439000,-47000,,,,,-47000,-125000,,,,1888000,1763000,-3000,274000,919000,645000,-1486000
2016,,,,,727000,1628000,231000,1859000,,2586000,2586000,,528000,24000,-2562000,-Infinity,-2586000,-Infinity,-1748000,-4334000,-Infinity,,-4334000,-Infinity,-4.05,-4.05,1089705,1089705,34000,,34000,1382000,,81000,1497000,,,,,579000,,74000,653000,,2150000,229000,,,,396000,625000,,,,,,,,625000,,17000,-11644000,-33000,13185000,1525000,2150000,,2150000,-4334000,24000,,-23000,3546000,,,294000,872000,-1372000,-2159000,-36000,,,,,-36000,-25000,,,,1339000,1314000,-4000,-885000,34000,919000,-2195000
