,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Forex Rate
1996,100000,,,,,,,,400000,400000,400000,,,,-300000,-3.0000,-300000,-3.0000,100000,,,,-300000,-3.0000,-0.03,-0.03,10000000,10000000,200000,2200000,2400000,100000,,100000,2600000,1500000,,,,,,300000,1800000,,4400000,300000,,,,,300000,,,,,,,,300000,,,-6500000,,10600000,4100000,4400000,,4400000,-300000,,,,,,,,,-100000,-400000,-1300000,,-2200000,,-100000,-3600000,,4100000,,,,4100000,,100000,200000,100000,-1700000,0.7308
1997,100000,,,,,,,,500000,500000,500000,,,,-1400000,-14.0000,-1400000,-14.0000,-800000,,,,-1400000,-14.0000,-0.09,-0.09,15555556,15555556,1100000,,1100000,100000,,500000,1700000,2100000,,,,,,300000,2400000,,4100000,100000,,,,200000,300000,,,,100000,100000,,,400000,,,-7800000,,11500000,3700000,4100000,,4100000,-1400000,,,,,,,,,800000,-600000,-1700000,,-100000,2200000,100000,500000,,1000000,,,,1000000,,900000,1100000,200000,-2300000,0.7203
1998,100000,,,,,,,,700000,700000,700000,,,,-1300000,-13.0000,-1300000,-13.0000,-600000,,,,-1300000,-13.0000,-0.08,-0.08,16250000,16250000,700000,,700000,200000,,,900000,3800000,,,,,,300000,4100000,,5000000,200000,,,,,200000,,,,,,,,200000,,,-9100000,,13900000,4800000,5000000,,5000000,-1300000,,,,,,,,,900000,-400000,-2300000,,,,,-2300000,,2300000,,,,2300000,,-400000,700000,1100000,-2700000,0.6384
1999,100000,,,,,,,,600000,600000,600000,,,,-1300000,-13.0000,-1200000,-12.0000,-700000,,,,-1300000,-13.0000,-0.07,-0.07,18571429,18571429,500000,,500000,200000,,,700000,4600000,,,,,,100000,4700000,,5400000,300000,,,,,300000,,,,,,,,300000,,,-10400000,,15500000,5100000,5400000,,5400000,-1300000,,800000,,,,,,,,-500000,-1200000,,,,,-1200000,,1500000,,,,1500000,,-200000,500000,700000,-1700000,0.6702
2000,1,,,,,,,,465866,465866,465866,,,2896,-1291895,-1291895.0000,-1356638,-1356638.0000,-833176,,,,-1294791,-1294791.0000,-0.06,-0.06,21430231,21430231,251488,,251488,152936,,,404424,4423314,,21178,21178,,,156155,4600647,,5005071,321294,,,,29641,350935,,,,,,,,350935,,,-11678517,-19385,16352038,4654136,5005071,,5005071,-1294791,2896,,,,,,,,965572,-326323,-1561461,,,,922415,-639046,,725000,,,,725000,,-240369,251488,491857,-1887784,0.6792
2001,1,,,,,,,,534600,534600,534600,,,3893,-471066,-471066.0000,-640234,-640234.0000,54210,,,,-474959,-474959.0000,-0.02,-0.02,18946600,18946600,753773,,753773,203010,,,956783,5019054,,21596,21596,,,187125,5227775,,6184558,231417,,,,283039,514456,,,,,,,,514456,,,-12153476,-21927,17845505,5670102,6184558,,6184558,-474959,3893,,,8624,,,,8624,-3893,-466335,-2828528,,-100000,,2547223,-381305,,1349925,,,,1349925,,502285,753773,251488,-3294863,0.6446
2002,60602,,,,,,,,458982,458982,458982,,,4002,-1040261,-17.1655,-960253,-15.8452,-643558,,,,-1044263,-17.2315,-0.04,-0.04,24655248,24655248,116577,,116577,37779,,,154356,4855501,,20247,20247,,,121193,4996941,,5151297,165327,,,,16611,181938,,,,,,,,181938,,,-13197739,-24580,18191678,4969359,5151297,,5151297,-1044263,4002,,,676530,,,,676530,-4002,-367733,-1040855,,,,511392,-529463,,260000,,,,260000,,-637196,116577,753773,-1408588,0.6415
2003,2685,,,,,,,,313562,313562,313562,,,2901,-901702,-335.8294,-930353,-346.5002,-590114,,,,-904603,-336.9099,-0.04,-0.04,25192316,25192316,131686,,131686,53292,,,184978,4462602,,,,,,23143,4485745,,4670723,304960,,,,10606,315566,,,,,,,,315566,,,-14102342,87797,,4355157,4670723,,4670723,-904603,2901,,,749454,,,,749454,-2901,-155149,-256264,,,145775,22747,-87742,,202604,,,55396,258000,,15109,131686,116577,-411413,0.7212
2004,1478,,,,,,,,433443,433443,433443,,,1376,-1668802,-1129.0947,-1689031,-1142.7815,-1222772,,,,-1670178,-1130.0257,-0.06,-0.06,29216958,29216958,257020,,257020,36307,,,293327,3556153,,,,,,69643,3625796,,3919123,193147,,,,,193147,,,,,,,,193147,,,-15772520,108798,,3725976,3919123,,3919123,-1670178,1376,,,1118708,,,,1118708,-1376,-551470,-318509,,,23213,22500,-272796,,491808,,,457792,949600,,125334,257020,131686,-869979,0.7619
2005,414,,,,,,,,329375,329375,329375,,,1753,-607072,-1466.3575,-658382,-1590.2947,49557,-608825,-1470.5918,-136092,-472733,-1141.8671,-0.02,-0.02,34078392,34078392,431420,,431420,32785,,,464205,3825370,,,,,,22143,3847513,,4311718,178962,,,,,178962,,,,,,,,178962,,,-16245253,146294,,4132756,4311718,,4311718,-472733,1753,,,303159,,,,303159,-1753,-169574,-400675,,,59544,40000,-301131,,645105,,,,645105,,174400,431420,257020,-570249,0.8415
