,0
Name,ALEXCO RESOURCE CORP.
Currency,USD
Sector,Basic Materials
Industry,Other Precious Metals & Mining
Country,CA
IPO,"Jan 26, 2006"
Insider Percentage,3.28%
Institution Percentage,31.60%
