,0
Name,EQUITY DISTRIBUTION ACQUISITION CORP.
Currency,USD
Sector,Financial Services
Industry,Shell Companies
Country,US
IPO,"Nov 6, 2020"
Insider Percentage,- -
Institution Percentage,92.79%
