,0
Name,ACCO BRANDS CORPORATION
Currency,USD
Sector,Industrials
Industry,Business Equipment & Supplies
Country,US
IPO,"Aug 5, 2005"
Insider Percentage,3.03%
Institution Percentage,88.17%
