,0
Name,CHINA LIFE INSURANCE COMPANY LIMITED
Currency,USD
Sector,Financial Services
Industry,Insurance—Life
Country,CN
IPO,"Dec 17, 2003"
Insider Percentage,- -
Institution Percentage,1.04%
