,0
Name,VASTA PLATFORM LIMITED
Currency,USD
Sector,Consumer Defensive
Industry,Education & Training Services
Country,BR
IPO,"Jul 6, 2020"
Insider Percentage,1.01%
Institution Percentage,102.56%
