,0
Name,ELBIT SYSTEMS LTD.
Currency,USD
Sector,Industrials
Industry,Aerospace & Defense
Country,IL
IPO,"Jun 1, 2010"
Insider Percentage,44.38%
Institution Percentage,18.27%
