,0
Name,"FRANCHISE GROUP, INC."
Currency,USD
Sector,Consumer Cyclical
Industry,Specialty Retail
Country,US
IPO,"Jun 8, 2012"
Insider Percentage,6.54%
Institution Percentage,72.28%
