,0
Name,"NATURAL ALTERNATIVES INTERNATIONAL, INC."
Currency,USD
Sector,Consumer Defensive
Industry,Packaged Foods
Country,US
IPO,"Jan 13, 1997"
Insider Percentage,24.65%
Institution Percentage,28.98%
