,0
Name,"REVOLUTION MEDICINES, INC."
Currency,USD
Sector,Healthcare
Industry,Biotechnology
Country,US
IPO,"Feb 13, 2020"
Insider Percentage,1.97%
Institution Percentage,100.41%
