,0
Name,JEWETT-CAMERON TRADING COMPANY LTD.
Currency,USD
Sector,Basic Materials
Industry,Lumber & Wood Production
Country,US
IPO,"Apr 12, 1996"
Insider Percentage,46.53%
Institution Percentage,17.47%
