,0
Name,"GORES TECHNOLOGY PARTNERS II, INC."
Currency,USD
Sector,Financial Services
Industry,Shell Companies
Country,US
IPO,"May 3, 2021"
Insider Percentage,- -
Institution Percentage,79.06%
