,0
Name,EQUITRANS MIDSTREAM CORPORATION
Currency,USD
Sector,Energy
Industry,Oil & Gas Midstream
Country,US
IPO,"Oct 31, 2018"
Insider Percentage,5.66%
Institution Percentage,96.93%
