,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Forex Rate,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2004,,,,,,,,,1943789.0,1943789,1943789,,,4339.0,-2017913,-inf,-1943789.0,-inf,3745076,1801287.0,inf,-575000.0,-1226287,-inf,-0.04,-0.04,28876451,28876451,157502.0,2790302.0,2947804.0,278814.0,,1169800.0,4396418.0,21026490.0,,,,,,1749450.0,22775940.0,,27172358.0,176353.0,,,,,176353.0,,,,1293450.0,1293450.0,,,1469803.0,,,-17351832.0,824051.0,,25702555.0,27172358.0,,27172358.0,-1226287,4339.0,,,-199216,,,,,-343181,-1764345.0,-6714026,,-1739302.0,,224999.0,-8228329,,8241374.0,,,,8241374,,-1751299,1327300.0,3078599.0,-8478371.0,0.8312,3.45,3.57,2.85,3.38,3.38,514700.0,0,0,3.38
2005,,,,,,,,,2100791.0,2100791,2100791,,,7215.0,-2081609,-inf,-2100791.0,-inf,4078872,1978081.0,inf,-820800.0,-1157281,-inf,-0.04,-0.04,30682026,30682026,293107.0,6031854.0,6324961.0,543122.0,,4028248.0,10896331.0,24438948.0,,,,,,1749449.0,26188397.0,,37084728.0,293120.0,,,,,293120.0,,,,1406733.0,1406733.0,,,1699853.0,,,-18509113.0,959543.0,,35384875.0,37084728.0,,37084728.0,-1157281,7215.0,,,275745,,,,1.0,-346166,-1220487.0,-3842958,,-3241551.0,,-1.0,-7084510,,11299051.0,,,,11299051,,2994054,4321354.0,1327300.0,-5063445.0,0.8601,3.215,3.745,2.91,3.25,3.25,815350.0,0,0,3.25
2006,,,,,,,,,4747724.0,4747724,4747724,,,2611.0,-3923195,-inf,-4747724.0,-inf,9954409,5206685.0,inf,-1906685.0,-3300000,-inf,0.1,0.1,33458517,33458517,5578691.0,165001.0,5743692.0,904437.0,,206815.0,6854944.0,53318952.0,,,,,,1069899.0,54388851.0,,61243795.0,435148.0,,,,,435148.0,,,,1529948.0,1529948.0,,,1965096.0,,,-21809113.0,14293675.0,,59278700.0,61243796.0,-1.0,61243795.0,-3300000,2611.0,,,76062,,,,,891019,-2330308.0,-30921,,,5871753.0,-14592074.0,-8751242,,12545702.0,,,,12545702,,1464152,5785506.0,4321354.0,-2361229.0,0.8579,11.405,12.325,9.36,12.065,12.065,4323000.0,0,0,12.065
2007,,,,,,,,,6688504.0,6688504,6688504,,,24761.0,-6367900,-inf,-6688504.0,-inf,526720,-6161784.0,-inf,-620000.0,-5541784,-inf,-0.15,-0.15,35991034,35991034,13480147.0,11798188.0,25278335.0,420069.0,,,25698404.0,62858158.0,,,,,,1305171.0,64163329.0,,89861733.0,678827.0,,,,,678827.0,,,586562.0,1849475.0,2436037.0,,,3114864.0,,,-27350897.0,4341793.0,,86746869.0,89861733.0,,89861733.0,-5541784,24761.0,,,-188980,,,,,2355935,-3350068.0,-8525224,,-11557493.0,,-200000.0,-20282717,,31327426.0,,,,31327426,,7694641,13480147.0,5785506.0,-11875292.0,1.0035,18.635,25.595,17.975,21.965000000000003,21.965000000000003,7624700.0,0,0,21.965000000000003
2008,,,,,,,,,5594818.0,5594818,5594818,621099.0,,40754.0,-25445135,-inf,-5594818.0,-inf,20890495,15295677.0,inf,5005989.0,10289688,inf,0.28,0.27,37327201,37867620,8098982.0,30986380.0,39085362.0,237894.0,,,39323256.0,69153904.0,,,,1324400.0,,,70478304.0,,109801560.0,3368963.0,,5326034.0,,5326034.0,8694997.0,,,,1998988.0,1998988.0,,,10693985.0,,,-17061209.0,-105293.0,,99107575.0,109801560.0,,109801560.0,10289688,40754.0,,1852004.0,5850796,182175.0,,,,-20585444,-2552202.0,-14706219,,-19357358.0,,16145269.0,-3212089,,383126.0,,,,383126,,-5381165,8098982.0,13480147.0,-17258421.0,0.8218,21.26,23.785,18.25,20.18,20.18,5008150.0,0,0,20.18
2009,,,,,,,,,5049583.0,5049583,5049583,477813.0,,39349.0,-5074435,-inf,-5049583.0,-inf,542014,-4507569.0,-inf,171000.0,-4678569,-inf,-0.12,-0.12,37485977,37485977,285280.0,9799526.0,10084806.0,465579.0,,,10550385.0,91298970.0,,,,1551915.0,,,92850885.0,,103401270.0,1375746.0,,34000.0,,34000.0,1409746.0,,,137000.0,2256293.0,2393293.0,,,3803039.0,,,-21739778.0,172840.0,,99598231.0,103401270.0,,103401270.0,-4678569,39349.0,171000.0,1481466.0,-5636268,-127685.0,,,,90310,-8532712.0,-21666928,,-474402.0,21893464.0,-21666928.0,-247866,,966876.0,,,,966876,,-7813702,285280.0,8098982.0,-30199640.0,0.9507,24.37,29.285,19.685,24.74,24.74,7142600.0,0,0,24.74
2010,,,,,,,,,5975360.0,5975360,5975360,439701.0,,35989.0,-17765669,-inf,-5975360.0,-inf,12265999,6290639.0,inf,2750912.0,3539727,inf,0.09,0.09,40130184,41083647,1044369.0,31641229.0,32685598.0,3130442.0,,,35816040.0,128688251.0,,,,12550552.0,,1077611.0,142316414.0,,178132454.0,3725301.0,,43712.0,,43712.0,3769013.0,,,78218.0,1343069.0,1421287.0,,,5190300.0,,,-18200051.0,846738.0,,172942154.0,178132454.0,,178132454.0,3539727,35989.0,-303000.0,452829.0,-1813764,-2738500.0,,,,-10537047,-8625266.0,-37763017,,-31709805.0,,-27583309.0,-59293114,,68677469.0,,,,68677469,,759089,1044369.0,285280.0,-46388283.0,1.0027,28.06,31.07,24.915,28.815,28.815,7345450.0,0,0,28.815
2011,,,,,,,,,19840000.0,19840000,19840000,653000.0,25000.0,31000.0,-19156000,-inf,-19840000.0,-inf,240000,-19600000.0,-inf,498000.0,-20098000,-inf,-0.48,-0.48,41950424,41950424,7063000.0,51613000.0,58676000.0,1232000.0,,,59908000.0,167223000.0,,,,,,1588000.0,168811000.0,,228719000.0,2934000.0,,,,5260000.0,8194000.0,,,1122000.0,2041000.0,3163000.0,,,11357000.0,,239662000.0,-40828000.0,-90000.0,18618000.0,217362000.0,228719000.0,,228719000.0,-20098000,31000.0,498000.0,14917000.0,1152000,1899000.0,,,,272000,-3228000.0,-41305000,,-20317000.0,830000.0,-30302000.0,-49789000,,59036000.0,,,,59036000,,6019000,7063000.0,1044000.0,-44533000.0,0.9807,29.055,31.16,26.045,28.185,28.185,6297300.0,0,0,28.185
2012,,,,,,15832000.0,,15832000.0,,15832000,15832000,412000.0,41000.0,13000.0,-9668000,-inf,-15832000.0,-inf,5947000,-9885000.0,-inf,2624000.0,-12509000,-inf,-0.29,-0.29,43620685,43620685,2284000.0,49757000.0,52041000.0,1911000.0,,,53952000.0,208098000.0,,,,,,1553000.0,209651000.0,,263603000.0,3928000.0,,97000.0,,6635000.0,10563000.0,,,2451000.0,2059000.0,4510000.0,,,15073000.0,,272536000.0,-53337000.0,170000.0,29161000.0,248530000.0,263603000.0,,263603000.0,-12509000,13000.0,2578000.0,10691000.0,613000,-679000.0,,1273000.0,,-5571000,-4185000.0,-48724000,,,6142000.0,1355000.0,-41227000,,40633000.0,,,,40633000,,-4779000,2284000.0,7063000.0,-52909000.0,1.0067,16.885,19.475,15.69,17.015,17.015,6732750.0,0,0,17.015
2013,,,,,,11831000.0,,11831000.0,,11831000,11831000,336000.0,21000.0,,-5129000,-inf,-11831000.0,-inf,4142000,-7689000.0,-inf,5960000.0,-13649000,-inf,-0.3,-0.3,45651239,45651239,1063000.0,27199000.0,28262000.0,4974000.0,,154000.0,33390000.0,235434000.0,,,,,,1553000.0,236987000.0,,270377000.0,1890000.0,,1096000.0,,6591000.0,8481000.0,,,6792000.0,1349000.0,8141000.0,,,16622000.0,,283544000.0,-66986000.0,1146000.0,36051000.0,253755000.0,270377000.0,,270377000.0,-13649000,,5960000.0,7038000.0,-1256000,1218000.0,,-2150000.0,,-3797000,-5704000.0,-34556000,,-14000000.0,35153000.0,2000000.0,-11403000,,15886000.0,,,,15886000,,-1221000,1063000.0,2284000.0,-40260000.0,0.9413,11.7,13.645,9.415,11.32,11.32,9141050.0,0,0,11.32
